,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,Gene200,group
Cell1,0.9999999,1.0,1.0,0.9957069,1.0,1.0,0.5712147,0.9999695,1.0,1.0,0.9999979,1.0,0.9999888,1.0,1.0,0.99999994,1.0,1.0,0.99999994,1.0,1.0,0.9923943,1.0,0.9999494,1.0,0.9999082,0.99999374,1.0,0.99882567,0.9999999,1.0,0.99956137,1.0,1.0,0.9999989,0.976129,0.66732585,0.99998885,0.99999964,0.99999994,1.0,1.0,1.0,0.9999997,1.0,1.0,1.0,0.99991614,1.0,0.9984895,0.9999999,0.99999994,0.99999976,1.0,1.0,0.9999998,1.0,0.9999999,0.99996763,1.0,1.0,0.9999999,1.0,0.9999999,1.0,1.0,0.9999992,1.0,0.999812,1.0,1.0,1.0,0.99999994,1.0,0.6770913,0.77871585,1.0,1.0,0.9999999,0.9999822,0.9999988,1.0,0.9999995,0.9999999,0.9999999,1.0,0.99999183,0.99999994,0.99999994,0.9999983,0.99999994,0.9999995,1.0,1.0,1.0,1.0,1.0,1.0,0.54664844,0.99994934,1.0,1.0,1.0,1.0,0.9998016,0.99999964,0.99999976,0.9999999,1.0,1.0,0.99890697,0.9999998,1.0,0.62096703,0.53149587,0.9972877,0.9999982,0.9999961,1.0,0.9999994,1.0,1.0,1.0,0.99999994,1.0,0.99981874,1.0,0.9999958,1.0,0.99978894,0.99999946,0.9998613,1.0,0.99999964,0.99999684,0.9992063,0.50271195,1.0,0.99999946,1.0,0.99999744,1.0,0.9999974,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,0.92191404,0.9999899,1.0,1.0,1.0,0.9999998,0.9951601,1.0,1.0,1.0,0.99999994,0.9999996,1.0,0.9260648,0.99999964,1.0,0.99999994,1.0,0.99981254,0.8066334,0.9995272,1.0,1.0,0.7209099,0.9999993,0.99998844,1.0,1.0,0.9999994,0.99921954,0.9997895,0.99997425,0.9999997,1.0,1.0,0.99996406,0.9999095,1.0,0.9999993,0.99766403,0.9965752,0.9999989,1.0,0.9999996,0.9999998,0.9999997,0.9999994,0.9963155,Group1
Cell2,0.99999684,0.9999998,0.99999994,0.98448014,1.0,0.9999991,0.57469594,0.9996153,1.0,0.99999994,0.9999485,0.9999999,0.99981827,0.99999964,0.99999994,0.99999547,0.99999976,1.0,0.99999595,0.999999,1.0,0.9763083,0.99999887,0.99943763,0.9999983,0.9991215,0.99988234,0.9999989,0.9940854,0.99999475,0.9999983,0.9971664,0.99999976,0.9999992,0.9999688,0.94524586,0.6428841,0.99981934,0.99998623,0.999996,0.9999993,0.9999997,1.0,0.9999886,0.9999995,0.99999946,0.99999976,0.9991793,0.9999997,0.99286336,0.99999505,0.9999957,0.99999046,0.9999998,0.999998,0.9999918,0.99999946,0.9999942,0.999598,0.9999994,1.0,0.9999946,1.0,0.9999965,0.99999976,0.99999833,0.9999759,0.99999833,0.99849725,0.9999991,0.99999994,1.0,0.99999785,0.99999994,0.6504775,0.7329003,0.9999996,0.99999946,0.99999404,0.9997429,0.9999659,0.999999,0.9999836,0.99999344,0.9999934,1.0,0.99985707,0.9999972,0.99999726,0.9999551,0.99999624,0.9999831,0.99999964,0.9999996,0.99999994,0.99999845,0.999998,0.9999996,0.55137867,0.99943733,1.0,0.9999985,0.99999917,0.99999905,0.99843496,0.99998665,0.99998945,0.9999936,0.9999978,0.9999968,0.9943937,0.9999914,0.9999991,0.60732627,0.54282725,0.9889642,0.9999546,0.9999181,0.9999985,0.9999801,0.9999999,0.99999964,0.99999964,0.9999961,0.9999992,0.9985375,1.0,0.99991333,0.9999989,0.9983611,0.9999812,0.9988032,0.99999845,0.9999855,0.99993,0.9955854,0.51850396,0.9999975,0.99998206,0.9999977,0.9999399,1.0,0.99993914,0.99999845,1.0,0.99999636,0.99999654,0.9999999,0.99999976,0.99999976,0.9999999,0.8718092,0.9998325,1.0,0.9999999,0.9999971,0.9999919,0.9830381,0.99999774,0.9999998,0.9999994,0.9999955,0.99998444,0.99999994,0.876682,0.9999858,0.99999946,0.99999577,0.99999857,0.9985005,0.7571148,0.9970031,1.0,0.99999905,0.6851447,0.99997646,0.99981374,1.0,1.0,0.9999797,0.99564064,0.9983642,0.9996611,0.9999887,0.9999997,0.9999997,0.99956477,0.99913085,0.9999977,0.9999765,0.9901249,0.98687565,0.9999682,0.9999983,0.99998474,0.99999213,0.9999886,0.99998015,0.98614377,Group4
Cell3,0.9999834,0.9999987,0.9999994,0.9750939,0.99999976,0.99999446,0.5881845,0.99896187,1.0,0.99999934,0.9998167,0.9999988,0.999456,0.9999973,0.9999994,0.9999776,0.9999981,0.99999994,0.9999796,0.9999939,0.9999999,0.96427184,0.9999932,0.99855995,0.99999034,0.9978852,0.9996261,0.9999933,0.98909694,0.9999744,0.9999902,0.99420553,0.9999982,0.99999523,0.999881,0.927243,0.6446178,0.9994588,0.9999413,0.9999797,0.99999535,0.99999774,0.9999998,0.99995005,0.99999666,0.9999963,0.99999833,0.9980056,0.9999978,0.987191,0.9999757,0.9999785,0.9999572,0.99999875,0.99998873,0.9999623,0.9999964,0.9999722,0.99892175,0.99999595,0.99999976,0.99997365,0.9999997,0.99998176,0.99999815,0.9999905,0.9999049,0.9999906,0.9966425,0.99999434,0.99999934,1.0,0.999988,0.99999946,0.6511563,0.72291213,0.9999971,0.99999654,0.9999714,0.99926656,0.99987155,0.99999374,0.99993175,0.999969,0.99996865,1.0,0.9995578,0.99998516,0.99998534,0.99983704,0.99998075,0.9999297,0.99999744,0.999997,0.9999993,0.9999912,0.9999887,0.99999726,0.5661886,0.9985593,0.9999996,0.9999915,0.9999947,0.99999404,0.996523,0.9999428,0.9999533,0.9999697,0.9999879,0.9999832,0.9895866,0.9999608,0.99999434,0.6140897,0.5600219,0.9813924,0.9998355,0.99972636,0.99999136,0.9999191,0.99999905,0.9999974,0.99999756,0.9999803,0.99999505,0.99672,0.9999995,0.9997127,0.9999933,0.99638224,0.9999231,0.99724007,0.999991,0.9999386,0.9997611,0.9915182,0.538005,0.99998647,0.9999262,0.9999873,0.99979055,1.0,0.9997882,0.9999912,1.0,0.9999814,0.9999822,0.99999905,0.99999803,0.99999833,0.99999905,0.8509061,0.99949306,1.0,0.9999996,0.99998444,0.99996287,0.9731308,0.9999876,0.9999988,0.9999961,0.9999777,0.9999348,0.9999994,0.855691,0.9999396,0.9999963,0.99997884,0.9999918,0.9966488,0.7443958,0.9939196,0.99999976,0.9999942,0.6811337,0.99990666,0.9994444,0.99999964,0.99999994,0.99991775,0.99160945,0.99638814,0.9990692,0.99995035,0.99999785,0.99999803,0.9988453,0.9979046,0.9999873,0.99990684,0.983081,0.9784186,0.9998789,0.9999903,0.9999357,0.99996364,0.9999501,0.9999194,0.9773938,Group4
Cell4,0.9999964,0.9999998,0.99999994,0.98391765,1.0,0.999999,0.57633805,0.99958813,1.0,0.99999994,0.9999439,0.9999998,0.99980414,0.9999996,0.99999994,0.999995,0.9999997,1.0,0.9999955,0.99999887,1.0,0.9755464,0.99999875,0.99939984,0.9999981,0.9990661,0.99987274,0.99999875,0.9938172,0.99999416,0.9999981,0.9970185,0.9999997,0.99999917,0.99996585,0.94394326,0.6416667,0.9998053,0.99998486,0.9999955,0.99999917,0.99999964,1.0,0.9999874,0.99999946,0.99999934,0.99999976,0.99912703,0.99999964,0.9925523,0.9999945,0.99999523,0.99998945,0.9999998,0.99999774,0.9999909,0.9999994,0.99999356,0.9995698,0.9999993,1.0,0.999994,0.99999994,0.99999607,0.9999997,0.99999815,0.9999736,0.99999815,0.99841,0.999999,0.9999999,1.0,0.99999756,0.99999994,0.6492064,0.7311445,0.9999995,0.9999994,0.9999934,0.9997238,0.99996275,0.99999887,0.999982,0.9999927,0.9999926,1.0,0.9998456,0.9999969,0.9999969,0.999951,0.9999958,0.9999814,0.9999996,0.9999995,0.9999999,0.9999983,0.99999774,0.9999995,0.5508862,0.99939954,0.9999999,0.99999833,0.99999905,0.9999989,0.9983447,0.9999853,0.9999884,0.9999929,0.99999756,0.9999964,0.9941367,0.99999046,0.999999,0.6063761,0.5437309,0.98852843,0.99995047,0.99991107,0.99999833,0.9999781,0.9999999,0.9999996,0.99999964,0.9999957,0.9999991,0.99845225,0.9999999,0.999906,0.99999875,0.9982673,0.9999794,0.9987312,0.9999983,0.999984,0.99992394,0.9953732,0.518293,0.9999972,0.9999803,0.9999974,0.9999346,1.0,0.9999338,0.9999983,1.0,0.99999595,0.9999961,0.9999999,0.9999997,0.99999976,0.9999999,0.8699179,0.9998194,1.0,1.0,0.9999967,0.99999106,0.9824379,0.99999744,0.9999998,0.99999934,0.999995,0.9999829,0.99999994,0.87481016,0.9999844,0.99999934,0.9999953,0.9999984,0.99841344,0.75526077,0.9968483,1.0,0.9999989,0.6836453,0.9999742,0.9997993,1.0,1.0,0.9999777,0.9954306,0.9982705,0.9996367,0.9999875,0.99999964,0.9999997,0.9995345,0.99907595,0.9999974,0.99997425,0.98972464,0.9863791,0.9999652,0.9999981,0.9999832,0.99999124,0.9999874,0.9999782,0.98562664,Group3
Cell5,1.0,1.0,1.0,0.99984205,1.0,1.0,0.6175188,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996015,1.0,0.9999999,1.0,0.9999997,1.0,1.0,0.9999805,1.0,1.0,0.999996,1.0,1.0,1.0,0.9974263,0.7516387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997,1.0,0.99997073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,1.0,1.0,1.0,1.0,1.0,0.76471543,0.8820578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57154477,0.9999999,1.0,1.0,1.0,1.0,0.99999887,1.0,1.0,1.0,1.0,1.0,0.9999826,1.0,1.0,0.6860044,0.5515734,0.9999248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999905,1.0,1.0,1.0,0.99999875,1.0,0.9999994,1.0,1.0,1.0,0.9999896,0.50110304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98129916,1.0,1.0,1.0,1.0,1.0,0.9998083,1.0,1.0,1.0,1.0,1.0,1.0,0.98296756,1.0,1.0,1.0,1.0,0.999999,0.9076956,0.99999547,1.0,1.0,0.81970716,1.0,1.0,1.0,1.0,1.0,0.9999899,0.99999875,0.99999994,1.0,1.0,1.0,0.99999994,0.9999997,1.0,1.0,0.9999409,0.9998904,1.0,1.0,1.0,1.0,1.0,1.0,0.9998766,Group1
Cell6,0.9999999,1.0,1.0,0.9942146,1.0,1.0,0.5726225,0.99994487,1.0,1.0,0.9999956,1.0,0.9999785,1.0,1.0,0.9999998,1.0,1.0,0.9999998,0.99999994,1.0,0.990101,1.0,0.9999112,0.99999994,0.9998445,0.99998754,1.0,0.9982896,0.99999976,0.99999994,0.9993226,1.0,1.0,0.9999976,0.97107273,0.66304594,0.99997866,0.99999917,0.9999998,1.0,1.0,1.0,0.99999934,1.0,1.0,1.0,0.9998572,1.0,0.99783266,0.99999976,0.9999998,0.99999946,1.0,0.99999994,0.9999996,1.0,0.9999997,0.9999417,1.0,1.0,0.99999976,1.0,0.9999998,1.0,1.0,0.9999983,1.0,0.99969476,1.0,1.0,1.0,0.99999994,1.0,0.6722989,0.7695509,1.0,1.0,0.9999997,0.99996674,0.9999974,1.0,0.9999989,0.99999964,0.99999964,1.0,0.9999841,0.9999999,0.9999999,0.9999963,0.9999998,0.9999989,1.0,1.0,1.0,0.9999999,0.99999994,1.0,0.5493359,0.9999111,1.0,1.0,1.0,1.0,0.9996788,0.99999917,0.9999994,0.9999997,0.99999994,0.9999999,0.99840117,0.9999995,1.0,0.61925745,0.5352026,0.9962423,0.99999624,0.9999921,1.0,0.9999986,1.0,1.0,1.0,0.9999998,1.0,0.999705,1.0,0.9999915,1.0,0.9996596,0.99999875,0.9997707,1.0,0.9999991,0.9999935,0.99881667,0.5080273,0.9999999,0.9999988,0.9999999,0.99999464,1.0,0.9999946,0.9999999,1.0,0.9999998,0.9999999,1.0,1.0,1.0,1.0,0.9125132,0.99998057,1.0,1.0,0.9999999,0.9999996,0.9935249,0.99999994,1.0,1.0,0.9999998,0.99999905,1.0,0.91685295,0.9999991,1.0,0.9999998,0.9999999,0.9996956,0.79670274,0.9992731,1.0,1.0,0.7139864,0.99999833,0.9999778,1.0,1.0,0.9999986,0.99883527,0.99966043,0.999953,0.99999934,1.0,1.0,0.9999356,0.9998465,0.9999999,0.99999833,0.99673456,0.9953213,0.99999756,0.99999994,0.99999905,0.9999996,0.99999934,0.9999987,0.9949886,Group1
Cell7,0.9999861,0.999999,0.9999995,0.97636217,0.9999998,0.99999547,0.592046,0.9990691,1.0,0.99999946,0.99984056,0.99999905,0.9995177,0.99999785,0.9999995,0.99998116,0.9999985,0.99999994,0.99998295,0.99999505,0.99999994,0.9658596,0.99999446,0.99870133,0.999992,0.99807996,0.9996706,0.9999945,0.98980796,0.99997854,0.9999919,0.9946445,0.99999857,0.99999607,0.99989724,0.9295085,0.6446677,0.9995202,0.99994993,0.99998295,0.9999962,0.99999815,0.9999998,0.9999575,0.9999973,0.99999696,0.9999987,0.9981911,0.9999982,0.9879913,0.99997956,0.99998194,0.9999637,0.999999,0.9999907,0.9999681,0.9999971,0.9999766,0.9990325,0.9999967,0.9999998,0.9999779,0.99999976,0.99998474,0.9999985,0.9999922,0.99991816,0.9999922,0.9969267,0.99999535,0.99999946,1.0,0.99999005,0.9999996,0.6513188,0.72421825,0.9999976,0.9999972,0.99997586,0.9993463,0.99988896,0.9999949,0.9999416,0.9999739,0.99997354,1.0,0.99960935,0.9999876,0.9999878,0.99985856,0.9999839,0.99993986,0.9999979,0.9999976,0.9999994,0.9999927,0.99999064,0.9999978,0.56483775,0.99870074,0.99999964,0.99999297,0.99999565,0.9999951,0.99681544,0.9999512,0.99996036,0.9999744,0.99999,0.999986,0.9902738,0.9999668,0.99999535,0.61360246,0.5613022,0.9824352,0.9998571,0.99976027,0.9999929,0.9999306,0.9999992,0.9999979,0.99999803,0.9999835,0.999996,0.9969989,0.99999964,0.9997481,0.9999945,0.99668413,0.99993414,0.9974824,0.9999926,0.9999476,0.9997912,0.99210715,0.53614587,0.99998873,0.9999368,0.99998945,0.9998174,1.0,0.9998153,0.9999927,1.0,0.99998444,0.9999851,0.9999992,0.99999845,0.9999987,0.9999992,0.85344094,0.99955106,1.0,0.99999964,0.999987,0.9999686,0.97446275,0.9999897,0.99999905,0.99999684,0.9999813,0.99994427,0.9999995,0.8582389,0.9999485,0.999997,0.9999823,0.9999932,0.99693257,0.7459983,0.9943754,0.9999998,0.9999953,0.6817973,0.9999197,0.99950725,0.9999997,1.0,0.9999294,0.99219364,0.9966896,0.99916697,0.9999578,0.9999983,0.9999984,0.99896264,0.99809784,0.99998945,0.9999199,0.9840571,0.9795721,0.9998954,0.999992,0.99994504,0.99996924,0.99995756,0.9999309,0.97858363,Group1
Cell8,1.0,1.0,1.0,0.9986852,1.0,1.0,0.6093962,0.99999684,1.0,1.0,0.9999999,1.0,0.99999905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973559,1.0,0.9999941,1.0,0.99998784,0.9999995,1.0,0.9997292,1.0,1.0,0.99991834,1.0,1.0,0.9999999,0.9892378,0.7010635,0.99999905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999891,1.0,0.99963206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,0.9999709,1.0,1.0,1.0,1.0,1.0,0.71224225,0.82293046,1.0,1.0,1.0,0.99999833,0.99999994,1.0,1.0,1.0,1.0,1.0,0.99999934,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55799466,0.9999941,1.0,1.0,1.0,1.0,0.9999689,1.0,1.0,1.0,1.0,1.0,0.99975187,1.0,1.0,0.6470294,0.55216557,0.99924904,0.9999999,0.99999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99997216,1.0,0.9999997,1.0,0.9999665,1.0,0.9999799,1.0,1.0,0.9999998,0.999832,0.5046279,1.0,1.0,1.0,0.9999998,1.0,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95298964,0.99999917,1.0,1.0,1.0,1.0,0.99847794,1.0,1.0,1.0,1.0,1.0,1.0,0.95610917,1.0,1.0,1.0,1.0,0.999971,0.8511047,0.9999106,1.0,1.0,0.7613438,0.99999994,0.99999905,1.0,1.0,1.0,0.9998354,0.99996656,0.99999744,1.0,1.0,1.0,0.9999961,0.999988,1.0,1.0,0.9993741,0.999002,0.9999999,1.0,1.0,1.0,1.0,1.0,0.9989089,Group3
Cell9,1.0,1.0,1.0,0.9998178,1.0,1.0,0.6346555,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99954695,1.0,0.9999998,1.0,0.9999996,1.0,1.0,0.99997675,1.0,1.0,0.9999951,1.0,1.0,1.0,0.9971607,0.747677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,1.0,0.9999653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999875,1.0,1.0,1.0,1.0,1.0,0.760689,0.8783107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56957245,0.9999998,1.0,1.0,1.0,1.0,0.9999986,1.0,1.0,1.0,1.0,1.0,0.99997926,1.0,1.0,0.6825662,0.56154525,0.99991214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999988,1.0,1.0,1.0,0.99999845,1.0,0.9999992,1.0,1.0,1.0,0.9999875,0.50022155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98003715,1.0,1.0,1.0,1.0,1.0,0.9997795,1.0,1.0,1.0,1.0,1.0,1.0,0.9817889,1.0,1.0,1.0,1.0,0.99999875,0.90429795,0.9999945,1.0,1.0,0.8155924,1.0,1.0,1.0,1.0,1.0,0.99998784,0.99999845,0.9999999,1.0,1.0,1.0,0.9999999,0.9999996,1.0,1.0,0.99993074,0.9998728,1.0,1.0,1.0,1.0,1.0,1.0,0.9998571,Group4
Cell10,0.99999946,1.0,1.0,0.9910552,1.0,0.9999999,0.5701272,0.99987084,1.0,1.0,0.99998707,1.0,0.9999452,0.9999999,1.0,0.9999992,0.99999994,1.0,0.9999993,0.9999999,1.0,0.9854332,0.9999998,0.99980056,0.99999976,0.9996677,0.9999667,0.9999998,0.9970477,0.99999905,0.99999976,0.99873,1.0,0.9999999,0.9999927,0.9615493,0.65326166,0.9999456,0.99999714,0.9999993,0.9999999,0.99999994,1.0,0.9999977,0.99999994,0.99999994,1.0,0.9996926,0.99999994,0.99633765,0.9999991,0.9999992,0.99999815,1.0,0.9999997,0.9999984,0.99999994,0.9999989,0.99986416,0.99999994,1.0,0.999999,1.0,0.9999994,1.0,0.99999976,0.9999946,0.99999976,0.9993857,0.9999999,1.0,1.0,0.99999964,1.0,0.6618213,0.75315267,1.0,0.99999994,0.9999989,0.9999186,0.99999195,0.9999999,0.9999965,0.99999875,0.99999875,1.0,0.9999584,0.9999995,0.9999995,0.9999889,0.99999934,0.99999636,0.9999999,0.9999999,1.0,0.99999976,0.9999997,0.9999999,0.5490579,0.99980044,1.0,0.99999976,0.9999999,0.9999999,0.9993565,0.99999726,0.9999979,0.9999988,0.99999964,0.99999946,0.99722356,0.99999833,0.9999999,0.61295724,0.53607905,0.9939577,0.9999888,0.999978,0.99999976,0.99999565,1.0,1.0,1.0,0.99999934,0.9999999,0.9994045,1.0,0.9999765,0.9999998,0.9993216,0.9999959,0.9995266,0.99999976,0.99999696,0.9999816,0.99788904,0.511414,0.9999996,0.9999961,0.99999964,0.99998456,1.0,0.9999843,0.99999976,1.0,0.9999994,0.9999994,1.0,1.0,1.0,1.0,0.8960119,0.9999501,1.0,1.0,0.9999995,0.99999845,0.9900915,0.99999964,1.0,0.99999994,0.9999992,0.9999967,1.0,0.900642,0.999997,0.99999994,0.9999993,0.99999976,0.99938726,0.7792629,0.9986458,1.0,0.9999999,0.70062697,0.9999947,0.9999437,1.0,1.0,0.9999955,0.9979193,0.99932307,0.99988824,0.99999774,0.99999994,1.0,0.9998512,0.99967176,0.99999964,0.99999475,0.9946822,0.9926249,0.99999255,0.99999976,0.9999968,0.9999985,0.9999977,0.99999565,0.9921497,Group3
