,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,Gene200,group
Cell1,6.683382,8.62785,8.98725,2.1546564,9.737279,7.5030494,0.42130283,4.322492,12.073832,8.86711,5.2852926,8.504945,4.6519356,8.194546,9.281566,6.6285934,7.842485,10.310992,6.7324753,7.5703096,9.875602,1.9402819,7.5649586,3.7610724,7.3005686,3.6572204,4.832238,7.2898593,2.6321845,6.4742675,7.2013946,2.9200325,8.434081,7.7874556,5.726209,1.2520785,0.25495207,4.4092035,6.1288285,6.371517,7.7801228,8.211588,9.718186,6.307882,7.807581,7.870686,8.219557,3.7334547,8.074985,2.722066,6.625848,6.5678782,6.206295,8.320297,7.078071,6.4174705,7.7676897,6.640086,4.1101336,7.9010696,9.409248,6.600311,9.764379,6.910744,8.114567,7.4153066,5.687114,7.332687,3.3936415,7.774492,8.750537,12.905361,7.17499,9.129688,0.23756385,0.42027795,8.305828,7.886589,6.503344,4.4595714,5.501752,7.7215514,5.8538113,6.475921,6.267302,12.058519,4.6648374,6.7878394,6.949858,5.3579955,7.0079093,6.0039854,8.225213,8.037148,9.0076885,7.5719886,6.9391727,8.098284,-0.15387708,3.8082502,9.252266,7.22809,7.3586555,7.411803,3.504462,5.9295945,6.33325,6.50417,7.1959996,6.775498,2.542163,6.1569014,7.4452505,0.13316295,-0.0151777975,2.4414232,5.3878303,4.82172,7.4062705,5.8817286,8.655807,8.188967,7.835885,6.850228,7.5047884,3.208237,9.384852,5.0400553,7.477352,3.6717546,5.8177447,3.5346386,7.0687876,6.176209,4.904358,2.8826842,-0.067910396,7.1437383,5.845798,6.898857,5.0538063,12.067873,4.9981008,7.2873297,10.442461,6.4101906,6.7918997,8.563278,8.516022,8.286845,8.690877,0.81990343,4.7399073,12.220626,9.457761,6.9236364,6.1260986,2.1080525,7.114149,8.815885,7.6924953,6.553557,5.9170933,8.973059,0.94886255,6.0437136,7.8116493,6.543013,7.1280217,3.272537,0.41429573,3.0439992,9.728432,7.4988523,0.46701732,5.7376447,4.7939253,9.057585,9.933708,5.867849,2.876706,3.4708042,4.132525,5.93011,8.189007,8.032377,3.9170856,3.81431,7.066943,5.542605,2.212627,2.0798683,5.5009775,7.0799365,5.908759,6.36041,6.1027203,5.741371,1.9017744,Group1
Cell2,6.4670134,8.642621,9.012063,2.023023,9.6902685,7.372333,0.50011826,4.308704,12.054688,8.813322,5.297318,8.480424,4.697445,8.189068,9.26097,6.672056,7.710612,10.265867,6.734954,7.522108,9.740848,1.8818175,7.666563,3.7028098,7.1941476,3.6397622,4.802725,7.3852854,2.603447,6.3499703,7.2396555,2.8069391,8.370885,7.644496,5.725273,1.3484093,0.22949964,4.487542,6.060689,6.3220487,7.720092,8.10147,9.69491,6.2065377,7.8414774,7.9053817,8.170988,3.7687225,8.09835,2.7876306,6.693321,6.5588923,6.2155867,8.424078,7.014536,6.3570375,7.779979,6.5640426,4.204067,7.8846593,9.385912,6.597184,9.705618,6.9016314,8.029545,7.394157,5.793091,7.3176355,3.496661,7.8553953,8.740325,12.795782,7.131288,9.061979,0.2268804,0.47000483,8.304763,7.8547587,6.54978,4.498819,5.485487,7.7260056,5.722367,6.481457,6.3729706,12.083282,4.611688,6.7631655,6.804326,5.417261,6.9676046,6.0538297,8.238155,8.125305,9.000714,7.45308,6.954218,7.957755,-0.061039057,3.7906845,9.22717,7.153111,7.413667,7.488988,3.5693223,5.882272,6.2826447,6.413247,7.1505184,6.66961,2.528978,6.046639,7.3644667,0.07095669,0.032462057,2.4480908,5.3647265,4.7833447,7.5531273,5.866634,8.596009,8.226401,7.836555,6.8067913,7.48991,3.1973457,9.327628,5.0331807,7.457001,3.6327605,5.832,3.4450276,7.1469817,6.29688,4.9017124,2.958999,0.00025963783,7.092239,5.977115,6.9344707,5.1877565,11.971042,5.062141,7.289628,10.293394,6.423925,6.7787275,8.545837,8.579363,8.23317,8.769067,0.7919284,4.675417,12.264212,9.4773,6.962439,6.034869,2.1676075,7.1450677,8.906521,7.529388,6.46079,5.8016653,8.972242,1.0280964,6.035549,7.7515492,6.4501457,7.093045,3.2840598,0.4877511,2.9855535,9.889496,7.5749226,0.45859256,5.7328362,4.728493,8.970723,9.952163,5.75902,2.918735,3.5087519,4.1088934,6.0066085,8.212134,8.014107,3.864183,3.8656664,7.119316,5.587795,2.243286,2.1326761,5.441391,7.1192985,5.9476933,6.1858535,6.031711,5.702923,1.9917026,Group4
Cell3,6.6269546,8.6121235,8.969214,2.1908972,9.686508,7.4602346,0.5465726,4.362035,11.996788,8.827208,5.3183208,8.479219,4.7044325,8.179154,9.2455015,6.651155,7.794287,10.252279,6.741165,7.551324,9.79638,2.0017173,7.591125,3.795561,7.2680674,3.7055264,4.8594885,7.3182473,2.692301,6.4486437,7.213895,2.950499,8.397771,7.7367387,5.7487974,1.3702955,0.3513179,4.4751782,6.125225,6.3699317,7.7544656,8.16446,9.67484,6.291632,7.809777,7.872186,8.190829,3.796494,8.0700445,2.8092222,6.6556745,6.57556,6.2248397,8.335914,7.0617733,6.4119043,7.7639766,6.626521,4.1852365,7.8867426,9.370466,6.6092744,9.709671,6.9133024,8.076428,7.406759,5.7424493,7.3271995,3.4821057,7.7913213,8.725474,12.788774,7.163222,9.081702,0.3386312,0.53681105,8.290113,7.8678374,6.528658,4.5130377,5.5230575,7.7161646,5.8352404,6.489336,6.3139386,11.994912,4.687459,6.7875385,6.910791,5.404158,6.9996414,6.037732,8.21491,8.052264,8.979786,7.531704,6.948578,8.043688,-0.01585666,3.8542838,9.215283,7.206123,7.373863,7.4328933,3.5798016,5.9352093,6.33189,6.488144,7.183384,6.750945,2.608294,6.140208,7.4183164,0.22027701,0.10718638,2.5150216,5.4087677,4.84646,7.4484053,5.89775,8.61723,8.186569,7.827664,6.8433566,7.496801,3.2651784,9.336236,5.0710344,7.468125,3.7133656,5.843546,3.563054,7.0952697,6.2287107,4.938622,2.9706926,0.06141294,7.1300874,5.9064035,6.9150486,5.126952,11.967544,5.0510383,7.2877355,10.350525,6.4270473,6.794999,8.538818,8.516567,8.255583,8.693297,0.90713054,4.758003,12.160278,9.43116,6.94042,6.1155887,2.2025082,7.125735,8.820194,7.637125,6.536244,5.9024024,8.947522,1.0664331,6.0594177,7.785504,6.525826,7.1195755,3.3352687,0.53805685,3.0890691,9.7403965,7.5183163,0.56536084,5.7588983,4.810937,9.004906,9.899721,5.855874,2.9544873,3.5385456,4.1719236,5.972972,8.182304,8.015542,3.950873,3.8809905,7.085684,5.5817947,2.2968373,2.172712,5.50926,7.0945697,5.9406357,6.321354,6.0986404,5.752448,2.0084283,Group4
Cell4,6.2574105,8.907936,9.303066,1.8911268,9.8586035,7.340541,0.7361888,4.4405766,12.318944,8.952776,5.4959426,8.668828,4.94804,8.407943,9.471113,6.955116,7.682865,10.448336,6.942055,7.6483274,9.745016,1.8849967,8.077311,3.739859,7.204791,3.752428,4.914096,7.7792344,2.675831,6.311454,7.523366,2.7243438,8.484501,7.5946712,5.907381,1.6330373,0.26440585,4.796048,6.1225176,6.423813,7.8276944,8.121845,9.9079895,6.2085714,8.128045,8.194627,8.308451,3.9829674,8.369825,3.0408378,7.02195,6.7411838,6.425956,8.852852,7.102569,6.4388165,8.024759,6.620255,4.536703,8.077364,9.593196,6.7912054,9.852127,7.0899887,8.0958185,7.568925,6.1776104,7.50247,3.8333826,8.230666,8.960431,12.903503,7.2587852,9.179815,0.28952742,0.6507895,8.534067,8.0179,6.8361845,4.7339797,5.634343,7.955051,5.65886,6.689649,6.7675743,12.4306755,4.6750727,6.9196963,6.73421,5.706979,7.098485,6.3375273,8.492591,8.519187,9.2317,7.44499,7.188997,7.9182663,0.19109601,3.9059234,9.428224,7.222162,7.732096,7.8505235,3.835581,5.9799867,6.381547,6.438691,7.275023,6.6716104,2.6292558,6.0289516,7.426481,0.033792168,0.20127305,2.584235,5.498493,4.8776836,8.046934,6.0247006,8.720162,8.526705,8.0605135,6.9288206,7.678237,3.314231,9.470077,5.191386,7.6344266,3.7047756,6.044653,3.4183507,7.5041246,6.7183123,5.0654573,3.2355852,0.20710742,7.2043476,6.4126987,7.2075863,5.613777,12.087583,5.3543115,7.506591,10.280796,6.646485,6.9571867,8.748764,8.934902,8.362168,9.156033,0.8324317,4.718634,12.65035,9.766936,7.2420707,6.0527763,2.3981051,7.413223,9.319436,7.439536,6.4836392,5.769753,9.21429,1.2746646,6.209762,7.8596005,6.4726095,7.2362566,3.4447136,0.713509,3.0090666,10.453002,7.935939,0.5297508,5.907797,4.770915,9.050843,10.248491,5.73874,3.1300707,3.723258,4.218571,6.3395886,8.485256,8.205692,3.9142847,4.111966,7.4273663,5.854163,2.4208052,2.349836,5.507923,7.402867,6.20891,6.049752,6.087607,5.814037,2.2761142,Group3
Cell5,6.9111075,8.605942,8.950009,2.3764405,9.755497,7.636652,0.47300285,4.3977966,12.027634,8.905926,5.320545,8.522081,4.6659636,8.198799,9.282324,6.6122794,7.9716353,10.318067,6.7531,7.6250305,9.974276,2.0965924,7.4785495,3.887466,7.4145746,3.7468448,4.9140434,7.213766,2.7491765,6.6186147,7.180633,3.111844,8.488834,7.9279566,5.7664804,1.2737042,0.40765765,4.396247,6.2258773,6.4470043,7.842569,8.314204,9.714344,6.433308,7.7810364,7.8423586,8.264023,3.772132,8.054001,2.748695,6.5869446,6.601998,6.2290874,8.219503,7.155283,6.502542,7.7621655,6.7362394,4.0873585,7.9204216,9.410505,6.628377,9.793232,6.9393854,8.195108,7.4470563,5.62724,7.360037,3.373999,7.7041755,8.750176,12.930839,7.231924,9.177339,0.37663105,0.4994155,8.304106,7.9207134,6.486272,4.482642,5.560138,7.7241654,6.0150256,6.4978523,6.1982474,11.971183,4.7716565,6.833156,7.1064587,5.347528,7.064368,5.991853,8.211602,7.9557066,9.000077,7.6933346,6.9445767,8.231418,-0.10600537,3.8955102,9.257745,7.3136387,7.3195353,7.350913,3.5189815,6.010273,6.4104323,6.616568,7.2542663,6.8975735,2.6459637,6.2931995,7.5327277,0.32250342,0.07303628,2.5281544,5.454523,4.912051,7.279794,5.9328084,8.703735,8.15286,7.8402,6.9122133,7.5291667,3.2990012,9.418453,5.097127,7.507336,3.781443,5.8422017,3.6942806,7.0125475,6.0944986,4.9596586,2.8965573,0.0018114895,7.208532,5.759446,6.885531,4.9779034,12.095007,4.9890084,7.299066,10.545372,6.4254665,6.826307,8.572789,8.450154,8.335026,8.608158,0.96576375,4.856192,12.112899,9.41781,6.906899,6.244959,2.1503706,7.101733,8.719391,7.85354,6.666887,6.062176,8.960208,0.99155515,6.0856156,7.8736463,6.65661,7.1774974,3.3411226,0.47116286,3.182273,9.550652,7.4375935,0.60020936,5.78138,4.910216,9.124466,9.88701,6.0075154,2.922996,3.5112433,4.2202096,5.8940587,8.166386,8.051337,4.03588,3.8365006,7.0350738,5.542393,2.280477,2.1290069,5.6002135,7.0601196,5.908466,6.553994,6.2029004,5.816757,1.9188287,Group1
Cell6,6.6299253,8.560702,8.916373,2.1559677,9.655209,7.4433894,0.45011464,4.303405,11.966133,8.794717,5.2561717,8.437757,4.6312685,8.1315975,9.205664,6.5853047,7.77891,10.222447,6.6864967,7.512913,9.788732,1.946726,7.513125,3.7467554,7.2441106,3.6455867,4.806759,7.2409368,2.6318283,6.4265776,7.1513815,2.9132946,8.3662815,7.7241025,5.6915827,1.2720577,0.2818317,4.3925104,6.0871415,6.3277483,7.7198987,8.144603,9.637206,6.262933,7.7504935,7.812908,8.15474,3.722888,8.01446,2.724148,6.5834723,6.523356,6.1665683,8.259927,7.025726,6.372774,7.7102637,6.592277,4.097425,7.841068,9.331789,6.555634,9.681567,6.8623066,8.049609,7.360671,5.65686,7.279218,3.389439,7.7195077,8.681073,12.784857,7.122268,9.053788,0.26518428,0.44803306,8.241773,7.826186,6.461593,4.4408684,5.469123,7.6643634,5.8129363,6.432981,6.230419,11.952608,4.6403995,6.740232,6.8959637,5.3297796,6.9572177,5.9680557,8.162592,7.979435,8.9354105,7.511976,6.8912983,8.031474,-0.1179896,3.79489,9.176533,7.1736126,7.3074636,7.360819,3.497594,5.8909445,6.289875,6.4573646,7.142972,6.725048,2.5434048,6.113347,7.388084,0.16008186,0.017467584,2.4445431,5.356249,4.7960353,7.3579087,5.844808,8.585603,8.127659,7.777254,6.80122,7.449363,3.2019658,9.306426,5.013037,7.422039,3.6591642,5.7826324,3.5217533,7.021754,6.140916,4.879043,2.8833292,-0.033909496,7.0910864,5.814665,6.8521976,5.0318036,11.95739,4.9741654,7.235016,10.3485985,6.3683014,6.744668,8.495685,8.451935,8.221074,8.625341,0.84024656,4.7141967,12.113558,9.381324,6.8768115,6.083595,2.1169174,7.0648613,8.749379,7.629485,6.5061207,5.8760843,8.9014015,0.9716723,6.0052,7.751063,6.495693,7.076156,3.2663555,0.4429906,3.0378547,9.654105,7.446835,0.49210355,5.7027454,4.767564,8.981803,9.851802,5.827644,2.8761597,3.463332,4.115243,5.896002,8.127172,7.970809,3.901186,3.803412,7.018982,5.511767,2.2192376,2.0888069,5.466766,7.031349,5.8735147,6.312173,6.0612254,5.705194,1.9141078,Group1
Cell7,6.7480965,8.634678,8.987851,2.2689493,9.737575,7.5449753,0.53021765,4.391382,12.0387535,8.880087,5.3376465,8.518808,4.7082634,8.209997,9.284402,6.6585016,7.879984,10.30328,6.7665873,7.600039,9.886033,2.0474603,7.574265,3.8436294,7.3419056,3.735598,4.896394,7.303727,2.7259505,6.529211,7.224277,3.0214508,8.454193,7.827215,5.77438,1.3473758,0.3803783,4.4643183,6.180755,6.417612,7.808636,8.241125,9.715493,6.3619323,7.822873,7.8850164,8.240565,3.8035896,8.088104,2.8017168,6.6525083,6.6057825,6.246582,8.319102,7.1165466,6.464444,7.786477,6.6861887,4.167155,7.9219813,9.410735,6.636975,9.765916,6.944034,8.14198,7.443428,5.7211866,7.3610897,3.4590974,7.7838,8.759126,12.871424,7.2094436,9.141023,0.36120448,0.53318614,8.319173,7.9098063,6.5345373,4.519354,5.555052,7.7420335,5.918113,6.5130806,6.29358,12.017642,4.7344875,6.8249187,7.0012827,5.402904,7.0441546,6.0414577,8.23773,8.041916,9.012361,7.6113677,6.9687743,8.133512,-0.039111573,3.8846025,9.256115,7.2661037,7.377123,7.426518,3.5736413,5.9813647,6.380017,6.5541434,7.230412,6.823854,2.6350174,6.2142115,7.4811263,0.26526237,0.103897646,2.5329223,5.4436045,4.8872304,7.4115295,5.929736,8.672459,8.198623,7.8553405,6.889031,7.5308437,3.2917807,9.391305,5.098307,7.504526,3.7528825,5.8626013,3.6245432,7.087999,6.201665,4.963864,2.958695,0.049068667,7.17968,5.8742604,6.9261894,5.0926065,12.043504,5.0472174,7.313972,10.447193,6.4471164,6.82735,8.575385,8.517715,8.307643,8.688178,0.938044,4.8100953,12.174984,9.452727,6.9501977,6.181221,2.196819,7.1392155,8.809794,7.736294,6.603116,5.978349,8.977357,1.0505942,6.0885854,7.839746,6.592728,7.161916,3.352146,0.5240385,3.1362672,9.700381,7.512545,0.5872497,5.786191,4.8635125,9.072512,9.922394,5.9288673,2.9574878,3.54412,4.205327,5.9649334,8.20062,8.051768,3.9968023,3.8811517,7.0897117,5.5869455,2.303934,2.1699386,5.5602145,7.1043096,5.94901,6.4237676,6.155392,5.79447,1.989172,Group1
Cell8,7.111977,8.644841,8.978896,2.574711,9.8200445,7.7764277,0.56175673,4.500744,12.04988,8.984031,5.397327,8.586266,4.7291937,8.254738,9.335703,6.6553454,8.10844,10.37525,6.820025,7.713776,10.090814,2.2525804,7.4760284,4.0236077,7.541733,3.859236,5.0210557,7.217991,2.8795474,6.765621,7.220665,3.2905219,8.577364,8.072117,5.846388,1.3427812,0.56177676,4.4420924,6.342391,6.5495076,7.9362526,8.433749,9.764628,6.568125,7.8171625,7.877314,8.345959,3.8515549,8.093652,2.8206043,6.6154027,6.6776953,6.2975593,8.207474,7.2587075,6.611231,7.811896,6.8520336,4.126938,7.9862037,9.464172,6.700151,9.864647,7.011446,8.3004055,7.5209885,5.642395,7.431147,3.4158006,7.712004,8.802978,12.99921,7.322209,9.261085,0.5219351,0.6059132,8.35615,7.9960523,6.528882,4.551773,5.6518207,7.779173,6.1731105,6.565693,6.207305,11.96683,4.894891,6.916034,7.261259,5.3947234,7.154391,6.037795,8.25598,7.9562683,9.04812,7.8251653,7.0016026,8.370729,-0.019569442,4.0063314,9.314186,7.4224143,7.347653,7.364937,3.582845,6.1162553,6.514043,6.742905,7.3454075,7.030094,2.7678285,6.4350886,7.64269,0.5003475,0.18552329,2.639008,5.551609,5.02458,7.2514052,6.019662,8.787791,8.182699,7.896276,7.0058537,7.598308,3.4122527,9.493043,5.188087,7.5801105,3.9068058,5.9118567,3.8519855,7.029672,6.0953975,5.0495105,2.9601734,0.102354184,7.303908,5.7574344,6.9304547,4.982865,12.164679,5.037192,7.3600907,10.664494,6.4890213,6.902129,8.632027,8.460657,8.419346,8.607716,1.1153009,4.985527,12.095316,9.444815,6.94961,6.375578,2.2325947,7.147187,8.710007,8.011011,6.7938128,6.2098117,9.004872,1.074339,6.16649,7.9670305,6.7837114,7.2629714,3.440014,0.56326014,3.3262935,9.488447,7.451354,0.74165094,5.863524,5.03954,9.220669,9.909519,6.151661,3.0075777,3.5918777,4.331215,5.9245515,8.204946,8.116831,4.1670637,3.90524,7.0679593,5.59617,2.379184,2.2156496,5.7183146,7.1007967,5.96209,6.732873,6.3214464,5.9193683,1.9847713,Group3
Cell9,6.365077,8.632854,9.001924,2.0383427,9.629923,7.3029733,0.65515167,4.352282,11.971982,8.763222,5.339316,8.451684,4.7673664,8.175415,9.221953,6.709411,7.635231,10.197391,6.7488213,7.495635,9.631556,1.9395299,7.719981,3.7316358,7.140955,3.6919794,4.8298087,7.4397926,2.6659782,6.3004127,7.2651176,2.8199477,8.322669,7.5640845,5.7533455,1.4995444,0.33163577,4.578818,6.046549,6.3139896,7.6839757,8.031801,9.647513,6.1718574,7.8549623,7.918287,8.133981,3.847814,8.101966,2.8989675,6.743511,6.569273,6.2414627,8.466627,6.9877324,6.3424067,7.782588,6.53755,4.3084135,7.8698554,9.343403,6.61017,9.638581,6.906485,7.9747906,7.384564,5.878741,7.312607,3.617257,7.8944488,8.715297,12.651656,7.113507,9.000283,0.33716127,0.60955834,8.291688,7.8319707,6.590713,4.568468,5.5089674,7.7251754,5.6788816,6.5010386,6.4492173,12.024209,4.628846,6.7616863,6.7358823,5.4832683,6.954294,6.104531,8.233827,8.16404,8.973316,7.3889127,6.9714885,7.873689,0.11062379,3.8404393,9.186223,7.1178226,7.445549,7.531836,3.6678255,5.882394,6.2745905,6.380993,7.1314554,6.6250625,2.6012278,6.0096116,7.3226275,0.15545243,0.17783798,2.5325208,5.386378,4.8058743,7.633179,5.8846865,8.546074,8.235698,7.831888,6.794323,7.482232,3.2602108,9.267454,5.0690155,7.4468455,3.6732733,5.866707,3.460759,7.195829,6.3825693,4.941961,3.0735052,0.15741226,7.0708017,6.0737376,6.96334,5.2983937,11.847043,5.1364226,7.294564,10.167452,6.4489202,6.7833114,8.519939,8.597252,8.19237,8.792082,0.8837244,4.6853375,12.212585,9.456859,6.9926133,6.0084715,2.2855208,7.168008,8.934176,7.439755,6.4267673,5.7657046,8.948675,1.174952,6.054714,7.7148943,6.416237,7.0806603,3.3578417,0.6400407,3.0257003,9.940138,7.61579,0.5664229,5.758663,4.737052,8.899971,9.923564,5.7273593,3.0150719,3.5934536,4.150253,6.072685,8.213809,7.9962206,3.89338,3.9520414,7.1544375,5.643363,2.34414,2.2474437,5.4418054,7.147281,5.994098,6.1113343,6.016458,5.7107697,2.129081,Group4
Cell10,6.704007,8.781376,9.144499,2.263124,9.8431225,7.5721836,0.67692524,4.489938,12.180009,8.975126,5.4620156,8.634329,4.8547406,8.338392,9.407657,6.81534,7.9083476,10.413756,6.892308,7.6915674,9.924452,2.0970144,7.781798,3.904344,7.3867087,3.827291,4.9858503,7.5048113,2.802712,6.555174,7.3805485,3.034612,8.539329,7.846658,5.8913746,1.5126712,0.44531715,4.6347575,6.248129,6.5009136,7.8922696,8.28857,9.83931,6.4046683,7.9794273,8.042571,8.335733,3.9365835,8.238118,2.9520655,6.827928,6.721628,6.3744,8.5328865,7.193223,6.5395317,7.926053,6.7505293,4.347866,8.040134,9.532639,6.7575555,9.862526,7.061854,8.208279,7.5549736,5.9207573,7.47686,3.6425164,7.976565,8.887214,12.947655,7.3020678,9.226866,0.43747795,0.65735626,8.451657,8.015927,6.6929216,4.6598186,5.6588163,7.8752623,5.93479,6.639619,6.496418,12.192813,4.8046246,6.929942,7.013672,5.564304,7.1384006,6.1994643,8.380578,8.241887,9.144511,7.6481385,7.105478,8.156717,0.114981495,3.977125,9.375706,7.3348236,7.547319,7.614211,3.728173,6.0636578,6.4622073,6.606138,7.321786,6.8658967,2.7232811,6.2491274,7.5466614,0.30099654,0.22381952,2.6359546,5.5413833,4.9697585,7.6531544,6.036703,8.761567,8.360223,7.986329,6.979899,7.6477876,3.3858466,9.486812,5.2065544,7.6170654,3.8279817,5.991915,3.6596072,7.2743993,6.415573,5.0745673,3.1183412,0.18457404,7.266076,6.094418,7.0785804,5.310017,12.124548,5.2101407,7.4429064,10.477953,6.5796075,6.9413075,8.696743,8.701359,8.399263,8.884379,1.0044432,4.871901,12.365714,9.608134,7.1052094,6.230693,2.338802,7.2892714,9.016392,7.7395573,6.6539807,6.007815,9.114067,1.2008144,6.2018995,7.923517,6.643451,7.261015,3.4639618,0.666552,3.192506,9.967045,7.6998997,0.66665936,5.900255,4.9249153,9.143085,10.079837,5.963146,3.0905411,3.6776023,4.2951107,6.143139,8.351138,8.169274,4.062611,4.027096,7.256101,5.7385583,2.424167,2.3065252,5.630419,7.2606993,6.09799,6.4101124,6.220385,5.882499,2.1534345,Group3
