"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200","group"
"Cell1",8.7534773414697,6.64083218565525,4.65716318728373,4.54644294942378,NA,NA,13.4911974952029,4.07414380284307,5.07122814612162,NA,5.90002568961095,6.46934500608888,NA,3.49209107824423,5.1106776269369,NA,6.16653478538441,3.49209107824423,6.42308746387364,7.24775549977631,0,2.50078535903894,11.5827238854286,NA,NA,8.26502280120584,NA,5.45520875684251,NA,7.04886994053517,NA,11.6895741791178,6.76964587532303,NA,8.16550991091451,3.90494679581031,NA,9.67328882394451,6.18513295044501,NA,NA,5.18648083799817,5.29320356363343,5.54434189352849,8.41042265441594,3.90494679581031,6.93260804655528,6.88789503039613,6.89920387078064,NA,6.39140401438657,2.24121404767788,5.96604130343403,5.18648083799817,NA,6.61362944595064,6.14769373189001,8.174845570678,6.98661835516493,4.22556423615183,5.54434189352849,7.96486356667054,4.94596256736494,NA,7.70620644140877,5.60084455091422,NA,2.50078535903894,7.14700158055144,NA,4.54644294942378,8.32495236034169,3.99202427401606,2.50078535903894,8.73466229825462,NA,0.950085312815845,7.4303320278833,9.52056700438459,NA,6.30901060907143,NA,6.27468892465424,6.23953078851377,6.91042475368636,7.6062443729959,NA,7.59237706381163,NA,5.51523845716075,6.93260804655528,8.37441072231146,5.9443700150917,5.60084455091422,0.950085312815845,7.01807988748771,5.57286981794863,4.65716318728373,6.14769373189001,6.2572169533643,NA,5.48553580958858,11.737614105732,8.27373809681078,NA,NA,5.78280798391446,NA,NA,NA,8.82637571580881,NA,NA,4.65716318728373,9.42208657974572,4.07414380284307,NA,6.95445540170474,6.04961079738182,3.81227401180117,8.26064533020301,8.27807608044147,1.51801829595013,4.07414380284307,0.950085312815845,7.19367276750618,NA,6.35900910146685,NA,5.9443700150917,7.19367276750618,8.01250378172595,5.45520875684251,4.98893765835923,4.15183968094826,7.28271617404417,3.99202427401606,NA,2.50078535903894,7.61312836062929,NA,7.52826983680494,6.6937456316383,4.75998845870537,NA,3.23079972525036,0,NA,NA,3.99202427401606,NA,NA,5.39257240189943,3.99202427401606,5.73311748242323,8.13713489918822,5.57286981794863,4.75998845870537,5.9223682228855,NA,2.24121404767788,NA,NA,5.9443700150917,11.7017349602474,9.26048535261064,0,11.8980550299183,2.91148226732987,NA,7.77534647233538,6.37529748223046,5.48553580958858,NA,4.48772421032128,4.22556423615183,NA,4.94596256736494,NA,8.07865367191142,8.29957247368038,5.83084383653066,NA,NA,NA,6.52880127415413,NA,NA,8.92648925713989,3.81227401180117,5.75817665778817,6.04961079738182,6.10925698820297,NA,NA,NA,6.71949195114162,7.23888133371757,7.30839169718795,"Group3"
"Cell2",NA,4.41306053913803,4.95055523035537,5.87544700717375,6.63393515289082,12.1584721723541,13.1512140959161,3.25536522828476,5.13735646958774,4.67686941924446,6.45219458712435,5.2631217872316,6.69473029960607,3.40840494224427,4.41306053913803,4.41306053913803,6.9529550179599,5.18050793779204,6.3039736806506,6.98981193551889,0,NA,12.2179331810416,8.23499578742493,11.7552944183836,8.72124729909061,4.48367118782046,NA,NA,6.96534557371808,0,11.5392014053384,NA,8.46181445476171,7.79576721840015,4.2605408984387,2.66520842281522,NA,6.00111844552866,6.13876251185713,NA,5.67880378794022,NA,5.55309716129136,7.97189564645608,4.2605408984387,8.11778443740145,7.27504295684529,8.09541105427717,3.40840494224427,8.06694739592052,NA,5.37879734345166,5.13735646958774,5.79442969558005,6.18187256719607,6.26441050229879,8.48351371768478,6.37998680398177,3.54675605638521,NA,NA,4.61530054597127,NA,7.50461882057708,NA,NA,NA,NA,NA,5.22240612709171,7.49610409418325,3.89649394984698,4.08996995273915,7.88977146940158,6.8228190731357,NA,7.35255513870817,NA,2.07241923011665,6.92785001474881,3.40840494224427,NA,NA,NA,7.71735443636543,0,7.41712189865141,6.39838038347542,6.18187256719607,NA,NA,NA,5.67880378794022,0,7.18255439815763,6.64937580053191,1.04868112184475,NA,6.22373171334188,3.54675605638521,4.41306053913803,12.0003835184108,NA,NA,NA,6.46969563940703,NA,0,NA,NA,0,NA,NA,NA,NA,2.88982926514958,NA,6.26441050229879,3.89649394984698,NA,8.55083626386956,NA,3.08414340288428,3.25536522828476,NA,NA,6.83637377983154,6.07158139266871,5.30271984113088,NA,7.54645457574086,NA,6.0943244744136,NA,NA,4.95055523035537,NA,2.88982926514958,NA,5.8489435592259,8.2753625917212,6.8091358056215,NA,6.96534557371808,4.08996995273915,NA,8.28528024962209,0,3.89649394984698,8.51756765120859,9.29283189110839,5.70859058125351,4.73591795327422,5.95215553221206,7.95956145896374,5.8489435592259,3.67299288360467,7.03753401403879,8.60727182510307,3.08414340288428,5.04697713595115,2.88982926514958,6.50407343313803,NA,9.24281455409663,1.04868112184475,12.4522073655444,2.66520842281522,NA,8.7139227642444,7.27504295684529,5.64838900910889,NA,4.48367118782046,4.55098655493958,NA,4.95055523035537,6.554151307695,NA,NA,6.07158139266871,3.78906716952684,NA,NA,5.61731919419861,0,7.55467809219662,9.23003449522971,4.79264440071518,NA,NA,NA,1.64951234695822,NA,NA,6.69473029960607,7.47025417634419,6.91513176568615,"Group1"
"Cell3",NA,4.99363544665904,3.58749961034094,NA,7.09338900136589,12.6593930751107,13.0217497296044,NA,5.38467670776635,5.34610725500597,7.06991234366708,5.75225040975291,7.00949286727877,NA,4.30275090325744,4.83556053235601,6.26764327323226,3.44877008354156,5.62915070119802,7.17267333560357,0,NA,11.765480966464,7.95985845009232,NA,8.739839355472,2.43521483605927,NA,NA,7.59071815318113,0,11.8690025241066,NA,8.20046627561079,8.07636331228649,4.13189254989143,2.43521483605927,NA,6.13818098874892,6.06881545783002,NA,4.77877061129849,4.03822284436867,NA,8.08224209727405,4.38114622496623,NA,6.61450182386905,6.86692994642474,2.92840310726687,7.50578293851182,4.03822284436867,4.21984959384769,5.09014905375664,5.69201311141402,6.13818098874892,6.38643871459294,NA,7.46136348886975,3.93804656009947,NA,7.67871104753162,NA,10.5064920059493,7.83311213423901,6.30833836975967,NA,NA,7.12790286029982,NA,4.94284422122558,7.901206179682,3.58749961034094,2.92840310726687,NA,6.89392036640046,0,7.79065758341753,9.59951279596724,NA,7.08169842579767,2.92840310726687,5.52940240340447,7.97257469211529,6.85324298930142,7.88784206432306,1.07183965110626,7.32917979519885,6.51369913712847,5.62915070119802,6.28813430607975,8.24831113109551,5.72244612609953,6.85324298930142,2.10646105551404,7.18365218890168,4.71965329683781,2.92840310726687,5.81007308317769,6.36730641237059,NA,NA,12.1486672367166,NA,5.13608788655683,7.33903381320318,5.52940240340447,9.19801197603437,2.10646105551404,NA,8.90151426825691,0,NA,NA,NA,6.04493213864779,NA,7.63138136584447,7.32917979519885,3.71405136636956,8.9114546201102,8.34927277373821,NA,2.10646105551404,2.10646105551404,6.98459831391587,NA,6.02064677429215,6.51369913712847,NA,7.0460473271143,7.81204101829066,3.93804656009947,5.66092426643195,4.21984959384769,NA,3.58749961034094,5.52940240340447,1.67997515549267,7.44320556102324,6.24685700166486,8.37823312199988,NA,4.45550024372584,8.25353058933881,4.59361404624293,0,8.38300382734785,0,2.70278182380874,8.28445690034792,9.08836768258169,5.42224182487816,5.81007308317769,5.49455918805659,8.16212467376903,5.09014905375664,4.99363544665904,6.82547325784347,9.17068259358423,3.71405136636956,6.26764327323226,3.12346509827587,7.19454812415802,10.9467460457085,9.16238179561163,0,12.0232607367225,3.83039183633139,5.34610725500597,8.5364791454235,6.13818098874892,5.83813795276937,7.46136348886975,4.52620927364375,5.1806089470754,6.99709928620528,4.38114622496623,7.23732713541602,8.17318378814683,NA,6.95926663648998,5.09014905375664,NA,0,5.865667275533,0,7.35854220189194,9.05885809667002,4.71965329683781,NA,6.22576685913923,NA,0,7.99767578510891,5.04269917229055,NA,7.5573416796421,7.35854220189194,"Group2"
"Cell4",7.81789324838391,5.76782012912436,2.19085173332274,5.412795469972,6.67284354152197,12.6733675256876,13.0237913991778,NA,5.19603632843465,4.32317772743199,6.63883271866293,6.0781114915018,7.00200937502635,NA,4.23486515949272,4.99562756118575,6.17622285753695,3.39350757354968,6.56830687579737,NA,0,4.32317772743199,11.9091680410185,8.64944494114961,NA,NA,1.75581325982049,4.32317772743199,8.13091568927862,7.72368978223438,0,11.7218531808726,6.60400070944568,8.50115762781293,7.47653476146695,4.40639478031195,NA,8.98679897792626,6.2901646311274,6.56830687579737,3.22034270255412,5.60120110591035,3.39350757354968,6.2901646311274,8.21411127561849,3.5480973342388,NA,NA,NA,3.68771377796335,7.54240492885163,3.93196649305239,5.63609996178848,NA,5.19603632843465,6.67284354152197,NA,9.44360907141529,7.31362284710518,5.19603632843465,6.80139456197965,7.44735723948319,NA,10.4742590814016,7.44735723948319,5.56543707329203,7.12994479009474,1.12999722521877,7.16621313716829,2.79554170974194,NA,7.75577927929242,NA,NA,7.35610768481751,6.39576243842497,0,7.58767922670577,9.97689338487664,0,5.7360003021418,NA,5.49113407502816,7.9063207497202,NA,NA,NA,7.09274111812893,6.58626417780611,6.31191159019666,5.99988523888997,8.67903180366254,5.70346280410133,6.55012323812309,NA,NA,NA,NA,5.56543707329203,6.94747995126411,4.04015437357458,4.94085174244848,NA,7.60539847656979,4.23486515949272,NA,NA,9.1160313902595,NA,6.6215218332379,8.82228915814049,0,0,NA,8.87071362125825,5.70346280410133,2.52464865442331,7.08012359708043,7.3871699121991,NA,8.85598615449931,7.87744297646861,0,2.19085173332274,2.79554170974194,6.86161511161847,7.78717052082744,NA,6.35444611525989,6.58626417780611,6.86161511161847,7.79491275623325,4.04015437357458,5.82942871438976,3.93196649305239,7.23612407501048,3.02352135841195,6.35444611525989,2.19085173332274,7.41757742003495,5.97283797394155,8.36736033845364,7.24745348680729,NA,NA,4.94085174244848,1.75581325982049,NA,0,NA,NA,9.29046762489075,5.49113407502816,NA,6.2901646311274,NA,NA,4.14079212611127,7.24745348680729,NA,2.19085173332274,4.69823220799558,1.75581325982049,NA,NA,9.01690211278191,0,11.6643726666122,NA,5.32995758368662,7.96239798645151,NA,5.60120110591035,7.16621313716829,3.93196649305239,4.55968028549919,7.60539847656979,3.68771377796335,7.98963984437976,7.92760596244682,8.61487129379963,5.94527393016751,5.37197100216501,6.05250448655389,0,6.96130674430635,0,6.84679399079284,9.30951010033834,4.40639478031195,NA,NA,5.52876387391442,1.12999722521877,NA,5.09930906761444,6.49415539435169,NA,6.77031463852378,"Group2"
"Cell5",NA,5.83641914127278,3.56486086403135,4.56394046452717,NA,12.5040708326494,NA,3.1504366383674,5.06616998753323,5.18810780637639,7.30012325717191,5.65091579762736,7.23558932687514,NA,5.10797159102078,3.97943823695678,6.7726720252509,5.06616998753323,6.53288102994835,7.7060817235047,0,NA,11.8156909510839,NA,12.1893415869591,8.92938635918762,2.78856712404321,NA,8.03883571783281,7.0867416474195,0,11.8262946747667,NA,8.0279889605544,7.96682871106633,4.14920983033094,NA,9.24721949133562,NA,6.18780910529996,3.68019651974137,5.50209952113962,NA,NA,7.96113794303954,4.93296636075614,7.93234244060524,7.16803297113803,NA,3.1504366383674,7.55560156319934,3.1504366383674,NA,4.88568440902998,5.40483584323062,NA,6.30026142948434,8.65053651069716,NA,3.68019651974137,6.97822970660329,7.9554246386267,5.06616998753323,10.5555002750845,7.74634272339169,5.59321799002189,7.31804345925545,0.989070206439402,NA,0,NA,7.50955794985173,2.98081817599931,3.1504366383674,7.76605958128636,NA,NA,7.7060817235047,9.55551474525059,0.989070206439402,5.81133484659373,3.56486086403135,5.75981864783237,7.06568238784574,7.45391462003312,NA,1.98357410064709,7.4780250174692,6.60763692040436,6.53288102994835,NA,8.44164398532445,NA,NA,NA,7.69926095190658,NA,NA,6.42125459671411,6.88513181680092,3.78699037399271,5.43799102484128,12.0511994911329,7.48597309943905,3.88642086957677,NA,6.04447614059722,NA,2.98081817599931,7.3357437966809,NA,0,2.56669990334232,3.88642086957677,9.64874035535112,NA,NA,6.96691575337108,5.70639455488854,4.43849327939376,8.71957562283625,NA,NA,NA,3.68019651974137,6.96691575337108,7.63637791447784,NA,6.53288102994835,5.88531603772918,7.60022102911976,NA,NA,5.26402602644791,NA,NA,4.88568440902998,5.33614816708475,3.88642086957677,8.03342253295104,5.86107473584753,NA,7.19737388383965,2.78856712404321,7.43761421914631,4.14920983033094,0,7.87296763935028,0,NA,8.31351578413076,9.07875958976425,5.86107473584753,5.47040133933516,6.48609457171325,7.83613327365878,NA,4.14920983033094,6.60763692040436,NA,1.57037096406294,NA,NA,6.98945562311487,11.4833799388897,9.32903001814149,0.989070206439402,10.4261891093662,2.78856712404321,5.26402602644791,8.08666154269162,7.69926095190658,7.983767557399,NA,4.62279732538423,NA,7.20702306467963,NA,NA,8.28190769393443,8.07616975359613,6.22627539172473,NA,6.35336277802769,0.989070206439402,7.10749791894151,0,NA,NA,NA,5.73335387907383,NA,5.47040133933516,0.989070206439402,7.69240777983046,5.56348004448536,6.94401813652805,5.33614816708475,6.93243158857702,"Group4"
"Cell6",7.89526829914199,4.85255314715783,3.90164400529773,NA,NA,12.4357669642413,13.211578931009,3.57980976703439,NA,4.38696356027756,6.42070817587775,6.01683239480148,6.4538735512311,3.16492868189469,5.03894272976211,4.57957511402462,6.81460673364471,4.16461583665646,NA,7.47822516857616,0,2.58027895858668,12.2120339381527,8.64902792836462,NA,8.52966848207615,NA,5.16445938859373,NA,NA,0,NA,6.80178313836069,8.15426895473225,NA,4.6384594161639,NA,8.98023096962739,6.50223446260242,5.85245603547204,3.16492868189469,5.42077367195845,4.80193401038672,5.16445938859373,8.04424772819474,4.38696356027756,8.298176496285,6.78884453574596,7.48626231281464,3.80213514854817,7.62376299165048,2.31743218665696,4.6384594161639,NA,4.99455394408709,6.47017464435719,6.47017464435719,8.70519779978325,NA,4.08217208100359,4.90145627372975,NA,4.99455394408709,10.4599483106923,NA,NA,NA,0,NA,1.58121688416949,5.24245366601647,7.83989246436457,2.31743218665696,3.57980976703439,7.07123524483947,NA,0.997191699662652,7.76258808632993,NA,NA,6.16438115819986,2.58027895858668,4.80193401038672,NA,6.78884453574596,NA,0,7.3072963049364,NA,6.0819235999132,NA,8.46199938467748,NA,5.72240465666672,0,NA,5.77584005103873,NA,NA,6.93693822386007,NA,5.03894272976211,12.0675166125059,7.60911650598369,4.74947404055421,NA,NA,9.00281748210495,3.45432154503394,8.62374876699587,8.96305595887865,NA,2.99508188116312,5.12382187427649,8.74927846368551,5.8771164436892,3.31686921171904,NA,NA,NA,7.47014299906956,7.91921360680241,0,NA,1.9957854968775,6.81460673364471,NA,NA,6.59434883578447,5.77584005103873,6.18427964395888,NA,4.38696356027756,6.01683239480148,NA,NA,NA,6.14420437812822,2.58027895858668,NA,5.5794577732059,7.88921935349795,6.93693822386007,4.08217208100359,7.39529068965485,4.45406556560974,NA,8.72910076540057,0,4.08217208100359,8.06048813125641,NA,5.85245603547204,4.6950342796321,5.48635619183259,7.6948447219628,6.62379144053895,4.6950342796321,7.09245112162401,8.81137403544807,3.57980976703439,NA,NA,5.72240465666672,10.9361620281726,9.12367099804297,NA,12.1919029996647,2.31743218665696,4.94875593224434,NA,6.50223446260242,5.48635619183259,NA,NA,4.99455394408709,6.47017464435719,4.99455394408709,6.85240747717772,NA,NA,NA,4.24260188123951,NA,NA,6.18427964395888,0,6.94861965958772,NA,4.85255314715783,5.60920272178999,6.43738616417858,NA,0,7.32532978767845,2.80253734076358,6.85240747717772,NA,6.1029840149454,"Group1"
"Cell7",8.28721802324307,6.2293815042545,3.37858673595618,4.6147895554275,6.99895490744693,11.9838070862662,13.3865889314864,NA,NA,NA,NA,6.49673626550399,6.62250019898678,NA,NA,NA,6.94494087447331,4.46931414511937,6.47784043722173,6.85992773164564,0,NA,11.9884038549052,NA,11.8274654839249,NA,3.00906156329592,5.22601129389265,NA,7.02522202745379,NA,11.7325155254679,6.63960386918749,8.20917059394847,NA,3.20562300611433,3.00906156329592,9.98068675745069,NA,6.13604766394434,2.17798253044841,NA,NA,NA,8.62442143791664,4.86797672125766,7.10127031319519,NA,6.56993783677085,NA,6.56993783677085,4.02466363541514,NA,5.03240185087378,3.79968255788478,NA,6.60519132338893,8.78676094890549,NA,2.51103044330276,6.62250019898678,NA,5.58504387263896,9.73229283778181,7.72340234963926,5.17998990076282,7.93214984151492,1.12106029638013,6.5519826974848,NA,4.74693019127851,NA,3.37858673595618,3.20562300611433,8.55400011033304,6.68973090642872,0,NA,NA,NA,7.3809765214951,4.68237223797021,5.95660312834084,7.24230394940123,NA,7.88272580042514,2.17798253044841,7.2755087248758,NA,6.18346922097601,7.4407441954937,NA,5.13245193268452,NA,1.12106029638013,7.5712664610391,5.84306048722395,4.30750743136179,5.61993456067635,6.13604766394434,5.08329402008145,5.81322147607074,12.1843385807349,7.96644401820865,NA,7.4407441954937,NA,8.2148876184269,1.12106029638013,8.319416263412,NA,1.12106029638013,NA,4.74693019127851,9.29303722576836,NA,1.12106029638013,NA,6.73817458434387,4.6147895554275,8.34570985988015,8.49883237404629,0,2.17798253044841,NA,6.73817458434387,7.2755087248758,NA,NA,6.20660799379771,7.2534573387159,7.77074661556036,5.39668591164676,NA,4.21924716185312,6.99895490744693,4.86797672125766,6.29562141565682,2.17798253044841,6.99895490744693,6.27387762839866,7.54427435637841,6.85992773164564,4.21924716185312,7.42109547405833,3.53301621220628,0,8.34570985988015,NA,NA,7.88272580042514,8.91521537999555,NA,5.17998990076282,5.75162561979952,8.13873859333303,5.81322147607074,4.12523347227674,7.31862539228787,8.98043676202369,2.51103044330276,5.75162561979952,0,6.31704234820691,11.1882855357513,9.3460979951494,0,11.9967242760165,NA,5.68728218501165,8.30876316250142,6.7222067529734,4.30750743136179,7.24230394940123,NA,5.31387103935556,6.85992773164564,5.08329402008145,6.75396761577274,NA,NA,6.47784043722173,5.08329402008145,5.90094852035719,NA,NA,0,7.29722812673673,NA,3.67250192743295,NA,NA,5.84306048722395,NA,NA,NA,7.19680759750369,NA,6.93111536367702,"Group3"
"Cell8",8.39330617775721,6.58565595452483,3.49508879612378,5.15700337615864,NA,12.1296093122713,13.4430488210711,NA,NA,4.80594025851506,6.76673070591879,6.6970036798315,7.11302952243746,NA,4.34099746837748,NA,6.2135655649657,3.6507263660281,6.11006245888858,7.09958130533825,0,4.03675738723762,11.7602626402121,NA,12.0687979836993,8.99692473501463,3.12208376019662,5.30495725158756,7.44621497079795,7.30101794553246,0,11.8762008789995,6.78364833936276,NA,8.26063254143401,4.34099746837748,1.8354451168226,9.24917212522858,5.39578396652944,NA,3.49508879612378,5.35108525507743,NA,5.77991931598246,NA,4.93269299158131,6.71475390914643,7.26532898689792,NA,NA,NA,4.59211822555333,NA,4.6669691463204,3.49508879612378,6.44386026912265,6.67903233689002,8.73952171113421,6.92759196958179,3.12208376019662,5.56189644102814,7.80220935967457,4.99212396741221,9.7973534854468,NA,5.87770345865416,8.04605192401277,0,7.70786995562572,0,NA,NA,3.6507263660281,NA,8.84402615674073,NA,0,NA,9.91334665320416,0,6.78364833936276,3.12208376019662,6.02725083088078,6.83324254527393,7.16560279611208,7.92165417754491,1.19182002613226,7.71670577258794,6.66083430195911,NA,NA,8.6501008497922,NA,5.2573055216311,1.19182002613226,NA,5.9985558495445,3.32060778541649,6.48581510278074,7.01614806164514,NA,5.56189644102814,11.8613366875557,8.46846953266283,2.89181529009534,7.16560279611208,6.4006487144429,8.12118132184139,3.49508879612378,7.81871837209168,8.94898763202717,1.8354451168226,NA,NA,9.46380985433956,4.73812739720392,NA,NA,6.18837758088065,NA,NA,NA,NA,1.8354451168226,2.89181529009534,NA,7.84313298935564,5.81325589024696,6.44386026912265,NA,7.2038124782175,8.30817629655728,4.87070821250938,5.63829065945695,4.03675738723762,6.66083430195911,NA,NA,1.8354451168226,7.01614806164514,6.02725083088078,7.61640136868051,6.73228839979201,2.89181529009534,7.58779039623586,NA,NA,8.92631389096877,NA,4.59211822555333,7.94440069493728,9.25524947272555,5.52212677994317,5.10410996250976,NA,8.33711467296015,6.02725083088078,3.49508879612378,7.27732367025663,NA,3.32060778541649,NA,1.8354451168226,NA,11.1249614981597,NA,0,NA,0,NA,NA,7.13955562396651,NA,7.69897968986745,5.2573055216311,4.24653768051819,7.08600654894963,4.14545716225828,6.66083430195911,NA,7.99612140817617,6.66083430195911,5.56189644102814,7.44621497079795,NA,5.77991931598246,0,6.95771869793312,9.1580464599696,4.34099746837748,5.63829065945695,6.91228935541698,5.30495725158756,2.89181529009534,NA,NA,6.48581510278074,6.66083430195911,NA,"Group3"
"Cell9",8.13356925231662,5.28830528155949,3.53935413282651,NA,7.02558236443205,NA,13.3990144256218,3.74391017828897,4.00488903715919,4.63864103785869,6.98581680555087,5.32063286010028,6.3812132491937,0.914983748338047,5.73463706515038,NA,NA,3.92303175368407,NA,6.8704481458167,0,3.92303175368407,11.5804182130775,8.4398275689205,11.6552085423085,8.44716713051634,2.1833884763522,NA,7.81406073500595,7.58039262545062,0,11.5866625219375,6.5812550938365,8.28460337736606,7.49089628789268,4.35628837476248,NA,NA,6.20192633354232,5.32063286010028,4.22581141548995,5.47222272465813,NA,NA,7.49089628789268,4.47593753056815,8.38737776030521,6.90283826323889,7.46943032950996,3.1650968042446,7.2851328027463,3.1650968042446,NA,5.11481748835417,5.91484444194429,5.66079968463637,6.14889910779592,8.90180299171052,6.64647025024405,3.64525455767487,NA,7.60028036467229,5.41348401030796,10.6741482989333,7.38022246038483,NA,7.75614345608161,NA,7.5737019855512,0.914983748338047,4.7848407962707,7.41806496882696,NA,NA,7.61989767252352,6.59453609598454,0,NA,9.41920793927537,NA,6.31856553104119,NA,5.78184274442649,6.64647025024405,6.91347536132268,7.72628890501511,2.1833884763522,7.52597802282499,6.65916684396835,6.03661304149008,NA,8.3987786407943,NA,6.5812550938365,0.914983748338047,7.8587766458538,NA,NA,5.82755264445619,6.96551529965211,3.64525455767487,4.22581141548995,12.2451627646203,8.25980916880794,3.42505992287678,7.4837763977074,5.63532287410175,8.93350434675841,3.42505992287678,7.70807505840341,9.25536489777395,0,1.87051997746414,NA,9.16032110316133,5.78184274442649,NA,6.84844355004366,NA,3.30092589101797,8.55639983360442,8.19589276023004,2.1833884763522,1.87051997746414,2.4403513902712,7.0737958441593,7.47662119558451,6.3344843405446,NA,NA,NA,8.17394214420024,5.2552366776342,5.2552366776342,3.01513760920332,7.76791441427323,4.35628837476248,5.47222272465813,NA,7.13869732464212,5.55607643110143,9.61438645826481,NA,2.65839133440736,7.69580347778749,4.22581141548995,0,NA,0,4.41735297733959,7.5737019855512,9.12185475480148,5.9565864194502,5.28830528155949,6.0750209945871,7.67719814243131,6.47036172855452,NA,6.99586142337225,9.11726112610982,1.47045651590507,5.28830528155949,3.42505992287678,7.34136052676728,11.2229204837901,9.49375617187028,1.47045651590507,10.6361205908038,NA,NA,NA,7.18333064931837,6.5812550938365,6.90283826323889,NA,3.01513760920332,NA,NA,NA,8.33690555266619,7.13869732464212,6.81479427109058,NA,6.26972726710585,NA,6.82609812568489,0,7.18333064931837,NA,4.29252443042448,6.5812550938365,7.19209397372862,NA,NA,7.38022246038483,NA,6.93451712554817,5.47222272465813,6.79191733597792,"Group4"
"Cell10",7.76158273309513,4.75063697575816,3.44287747074328,4.45833720936638,NA,12.2805621619784,13.4347306044748,3.07139830106668,4.09136694044193,NA,6.44959265901462,5.54441036891535,NA,2.84228777067632,NA,4.53714882083301,6.69276140650128,3.07139830106668,6.08007967299777,7.38915571742452,NA,3.26906151014247,NA,8.45756487645982,NA,NA,3.98292546178921,NA,6.95920537869487,6.85538042632078,NA,11.8471315011295,7.08257586743547,7.92436898028683,7.42067747130644,3.73802499748189,1.79436411719917,8.97191996353893,6.52887049112278,NA,NA,NA,5.46600539501331,NA,7.7283796416642,4.28648877613877,7.80204003301966,7.05605746947966,7.02904249083098,3.26906151014247,7.17173008161842,2.56979514335089,5.82130396690373,4.75063697575816,4.09136694044193,NA,5.88295358917978,8.24510881754006,7.27881274566211,2.56979514335089,6.36570380567145,NA,3.98292546178921,NA,7.46166292272822,NA,7.30156683512549,NA,NA,0,NA,NA,3.98292546178921,3.98292546178921,NA,6.95920537869487,1.79436411719917,7.60575438507561,NA,0,NA,3.26906151014247,NA,6.62220868194275,6.38713773806225,7.34602588609633,1.15983116801825,7.29023464942554,6.34394662362422,5.97075334935493,NA,8.1480068546555,NA,5.68948995183869,2.56979514335089,7.38915571742452,6.22994869304673,NA,6.29942245080747,6.27663424638814,1.79436411719917,NA,12.1471620469093,7.75335332476122,NA,7.33503890738785,6.64017295381591,NA,3.44287747074328,8.57894871815652,8.59285163258222,1.15983116801825,3.44287747074328,4.37497022423236,8.89171114493814,5.24904265328466,3.73802499748189,5.78946224819799,6.48977605812655,3.59798579349092,NA,NA,0,NA,1.79436411719917,NA,8.52195723580518,6.74350015614655,5.54441036891535,5.72358960905241,6.5094556941492,7.61486750687666,3.73802499748189,4.93656760194839,3.73802499748189,8.09688972437551,4.28648877613877,NA,3.59798579349092,6.60401789756173,5.42514488417213,7.42067747130644,6.34394662362422,4.28648877613877,NA,3.98292546178921,NA,8.17290189451893,NA,NA,8.41646116164513,9.03098242567692,5.33977908691042,3.73802499748189,5.75690185939956,NA,NA,NA,NA,8.53161353658883,2.56979514335089,NA,3.26906151014247,NA,11.3335544015966,NA,0,12.3864592402049,NA,5.33977908691042,8.06399664072297,NA,NA,7.18402828056385,5.24904265328466,3.98292546178921,7.14681463713619,4.99357563097121,6.58559481543107,NA,6.88581489516624,6.5094556941492,NA,6.83991899388244,NA,5.97075334935493,0,6.74350015614655,8.89918994354702,4.28648877613877,NA,6.18170172909325,5.58207078812009,1.15983116801825,NA,3.07139830106668,NA,7.53069976747169,NA,"Group1"
