"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200","group"
"Cell1",5.99248053046176,8.63775021038348,9.14850793440357,0,9.74952633394732,7.24223572958178,0,4.70414807792091,11.9659381646275,8.34703035206678,5.64040370055822,0,0,9.35313182018308,0,0,7.77532833918074,0,0,8.16371436655634,10.1440437864729,0,0,0,0,2.86130617321778,4.39599050976735,0,2.86130617321778,0,6.81439381998534,0,0,7.89410453973382,0,0,0,4.63305749782426,5.60368992688721,7.10449077400821,7.62771846076499,8.23746337761913,10.0206610662525,6.67977586255855,7.31217122730673,0,0,4.21310166581587,8.25532626892774,2.58817696292869,0,6.607443237997,6.45089558011657,0,7.25412961757234,6.55070976451713,7.3788727263658,6.34365895070305,0,7.24223572958178,0,6.43007646699761,9.3614026297379,0,7.82401841704589,6.95219254234423,6.53129175253199,7.36796777399313,3.88623841359727,0,0,0,7.13053340983817,9.19243874135664,0,0,8.43325206613946,7.68155732761094,6.10183235391864,4.89854479656929,0,0,5.27054299834573,5.77857320974902,6.99534807586238,12.5357855237062,4.39599050976735,0,0,6.04819226053378,6.22780664633785,5.96379655781194,7.88648322609221,8.87959764876843,9.31105122574125,0,7.36796777399313,8.11888625494141,0,3.61825191032836,9.0631937378745,0,7.81601666536452,7.82401841704589,0,6.32122081630016,0,6.22780664633785,6.83037105041227,6.98110585302251,0,0,0,0,0,0,0,5.31664255890358,7.30074821088981,0,8.78438750549598,0,0,7.00945107340288,8.1253761844688,0,9.71766799001263,5.12268673444501,7.44262615053285,4.11215766913818,0,4.30744222621033,0,5.96379655781194,5.96379655781194,0,1.17206877184227,0,0,6.95219254234423,3.75845868513281,0,0,7.30074821088981,11.0103560315699,6.76537223181549,6.89256724380642,0,0,0,0,0,4.89854479656929,12.3988542955217,0,7.0509512861958,6.2034764407026,0,0,8.80069863175198,7.94635534546166,0,6.2034764407026,9.62452964606205,0,5.36131456237212,8.25532626892774,0,6.87726776092515,0,0,0,0,7.19365467564141,0,0,0,9.15803494562328,9.94196189636121,0,4.11215766913818,3.28886365099126,4.30744222621033,6.64406282180472,0,8.1949025322987,4.63305749782426,0,7.07796937713657,5.60368992688721,0,0,0,7.06452357845,5.96379655781194,6.38751466391607,0,0,2.25097297186829,"Group1"
"Cell2",0,0,9.53959524450529,0,0,8.83788590130284,0,4.35408500222602,11.835528676268,7.96442998097902,5.35492163262278,0,3.93848947968957,8.02805199206566,9.18097563673456,6.67735147296623,8.10516774256499,11.7416101828853,0,0,0,0,0,3.02964410119152,7.51745865439227,0,5.61809542969901,7.27201297424963,2.83640009043105,6.77498414860131,0,3.93848947968957,8.85073916683431,0,5.81458133900879,0,0,3.83879433127025,0,6.07771710560158,7.54934679886445,0,0,6.66284852509735,7.51745865439227,7.64098851946994,8.04492733544318,0,0,3.02964410119152,0,0,0,8.45999723661974,0,6.9161893477412,0,6.2428311385066,3.616003145622,0,0,6.44282719950824,0,6.20329021923331,8.16813700877147,0,0,0,2.83640009043105,8.50134077789073,0,0,7.12104664964641,9.16305299157889,0,1.01701399816765,8.4217471557935,0,0,0,5.28087703009375,8.08355205310161,0,6.42574900193311,5.91590590720039,12.5113291377005,4.42455403010906,6.47638880455922,7.11039758399536,5.35492163262278,0,6.01057877687492,0,8.29581561202769,9.18351793512211,0,0,0,0,4.03173841013167,0,7.39117779461337,0,0,2.83640009043105,5.28087703009375,5.61809542969901,0,7.62611346591255,0,2.61320870502462,6.01057877687492,0,0,0,0,5.61809542969901,0,7.11039758399536,6.26220248977631,0,0,6.89152240707281,6.77498414860131,7.09966932876258,2.02544634048401,9.26018605503685,4.42455403010906,7.54934679886445,0,0,0,0,0,4.27999632619498,3.49021844703166,0,0,0,0,5.84058740796369,0,0,0,10.2864677087706,7.16287385091826,6.33718712717322,8.58832960630361,0,0,8.6631018661814,0,4.83998996331546,0,9.55342038205793,0,0,0,6.94044161752514,8.31449293769674,7.93455658431584,0,5.78809786490143,0,1.01701399816765,0,8.47252517488126,0,6.20329021923331,4.42455403010906,0,3.83879433127025,0,7.24305711138469,0,5.4593166438988,3.02964410119152,9.16047434066164,9.89177464760971,0,0,0,3.93848947968957,0,0,0,0,3.35241028451826,7.18334131782679,0,0,2.34905500562803,4.93960531044917,0,6.28131718051306,0,5.94016290236232,0,1.60760353307282,"Group4"
"Cell3",0,8.65580878782174,0,0,0,8.73150038234457,0,5.39360251270517,12.0269171068966,8.26478847762439,0,8.42197462781661,5.01710071511061,0,0,0,0,11.6080024309751,0,7.36763065885128,9.84030257875962,0,7.13965417878863,0,8.00495320944569,0,4.60496136321818,7.11474268052893,0,0,7.27322859750284,2.07677176866006,0,0,5.77904734044905,0,2.54298423172603,0,5.71418916663343,6.09994861666046,7.63038062541675,0,0,0,7.60078496506273,0,0,0,0,2.54298423172603,0,6.11677465842564,0,8.35618835041297,7.42279608547632,6.84876157345056,0,6.63180226129431,3.70816867996366,0,0,6.24475308887253,9.19471874095709,0,8.07550548144071,6.64346114784272,6.75514363960405,7.38162102914339,3.04297680812776,8.27980719173158,9.17878254084087,0,6.7870293994733,0,0,0,8.33477466079016,0,5.82072087249816,0,4.86606431781892,7.76455528167267,0,0,0,12.4519866892935,0,0,6.98329293643662,5.55045009664763,7.55213162038251,6.24475308887253,0,0,9.01790370863662,7.90678642623339,7.2119072621223,0,0,0,9.54945658818499,0,0,0,0,5.24846467081418,5.77904734044905,6.66650001426507,7.50178005659859,7.02845344235941,2.89476804192275,6.71150253702658,7.17221418209039,0,0,3.5186007227796,5.30828303464063,5.15381282356495,0,6.11677465842564,8.54206772501952,7.9913317592924,7.4429511554603,0,7.18024064556807,0,0,5.08707554627837,0,0,0,2.54298423172603,7.21971649102814,0,4.86606431781892,0,0,7.68216935594944,0,0,0,12.1019848995179,0,7.28071369431144,10.3564289575642,6.89826099586755,6.7870293994733,0,8.33117460632889,8.15095929574107,8.93019490361369,0,0,0,9.34508796503686,6.85879825828933,0,2.32862891770721,7.4429511554603,8.65868415665745,0,0,6.66650001426507,9.21829776224859,2.32862891770721,6.45783704556138,8.14276779233418,0,7.29556838158924,4.22515306317728,0,3.41357587462867,9.25486053295983,7.10634233194763,0,5.99465045090761,4.16170750762768,0,0,0,2.32862891770721,0,4.02577774976346,5.52546461098538,7.55213162038251,8.4816475617359,3.79436256137545,0,6.91759481890203,0,0,0,5.2786838611025,8.09261733191432,6.04825999694555,6.8786645532986,5.55045009664763,0,2.72957195921803,"Group4"
"Cell4",7.06763083036323,0,9.63613722415856,2.03434076212633,9.71974572105125,0,0,4.50299789606462,12.1290773878423,9.85773577082453,5.59924172703267,8.39861793033308,4.29117108526775,0,0,6.65986006388604,0,0,0,0,0,0,8.10613618074943,0,7.50478491573615,4.21303707991593,5.43685650243493,7.52108959469702,0,0,7.46319835200988,0,0,0,5.74518449885454,1.02298442424391,0,4.1304279423833,0,0,0,0,9.96442526239419,6.64505833764077,8.73549766768564,8.0341163288993,8.52121572085618,0,8.03978577221612,0,6.19472306161604,0,6.80008015260828,8.0284245181109,7.42904383996051,6.23481783243699,7.80028804487407,6.91558935540367,3.21053642643001,8.40302352807107,9.67308553107852,6.1742499218628,10.1978537959775,6.31181177559259,0,7.5999584336089,5.25384788104818,0,0,0,0,12.9111423601159,7.26447558512236,9.55729955744533,1.02298442424391,0,8.86249247933377,0,7.39406110335667,4.74432035725316,0,7.78010723508435,0,0,0,11.2292244849809,6.08932213631281,7.12209140799687,7.05648759501108,5.65940173307223,0,0,8.08435668069774,7.66743231294914,9.0026201117148,7.81358677461735,0,8.12225771461996,0,0,9.2647015962954,7.52108959469702,0,6.92787093789243,0,6.53696258147942,7.37624640509707,0,0,7.1745707075713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01121309840684,2.03434076212633,9.65288115990015,5.40206499326376,8.16438797581097,0,0,3.21053642643001,0,5.87771057208565,5.50401932119032,0,0,7.87830149774375,6.1742499218628,7.05648759501108,0,0,0,0,10.2513636395038,6.98775786397707,0,8.6115439818001,0,0,9.03420471305464,0,6.11102736481716,12.2051546199286,9.5293614783758,7.05648759501108,6.15348206249575,0,7.33072280655429,8.90037981952759,0,7.1538074988456,0,8.54533026736892,0,0,0,0,0,0,0,0,9.60013755463431,7.92193429627758,0,6.6890155746768,4.0427997337246,0,0,0,0,2.84653545371083,0,0,8.77682179682737,8.46332964193297,4.50299789606462,0,0,0,3.03998558377332,0,0,7.34910497948534,6.43739126419154,6.47135103007663,6.56868228912582,5.87771057208565,2.84653545371083,"Group3"
"Cell5",5.73207839474476,8.84218041548563,9.00349593720482,0,10.1381855266766,7.67673925742609,0.777724155955535,0,12.1401964380955,8.0671367391902,0,0,4.92083606537035,9.59086645676087,0,0,8.3202735133101,10.0010843474537,5.82591511226529,0,0,0,0,3.71646551875971,0,3.63584583527083,4.34265817693207,8.04389193839655,1.94773982211276,6.60654990538254,0,0,8.55212458734032,0,0,0,0,4.34265817693207,0,6.7281975851568,7.92169454324387,0,9.5666053120467,6.34012631894543,0,7.54496677517513,0,3.14708957382375,0,3.25898481094704,6.96110692675451,6.17876292229406,6.06019939417948,8.67573212013949,6.59593397872757,0,7.86092217972758,7.38768003122308,4.23730413206898,8.11625132469711,0,6.76656946529665,9.39657831801234,7.00188683948445,0,0,0,0,0,8.62963568333554,9.05284729365862,12.6985503052769,0,0,0,0.777724155955535,8.78023293955409,7.69674923699309,6.58523935640999,4.06327283037154,6.12069878875565,7.39993751111389,0,7.21112313810141,7.20415020556254,12.4421493818956,4.70070872844875,0,0,0,0,0,0,0,9.26035875213186,0,6.95281077224877,0,0,2.89332690761749,9.29522821948305,6.6887771623183,0,7.12513759528939,3.36282265161251,0,6.39013820478344,6.40237490547758,7.04154566418801,0,1.65226745451676,0,7.39382178893706,0,0,3.63584583527083,0,0,0,0,8.57662840723447,0,8.49041357079103,0,7.08774055399503,0,0,4.44083947812448,7.10281589583898,0,6.36534896250345,2.89332690761749,7.27905927117529,5.73207839474476,5.50125770046494,0,0,5.99705148803991,6.23458028350604,0,5.47832079019248,11.3235757347296,6.35279276097058,0,0,6.65848848269759,0,8.56306658733422,8.35216464180057,8.24752824494107,9.05478666156372,2.19286365263805,5.08165983405545,12.5098073291248,0,0,6.10581012119216,2.7474720349108,7.21806253062779,8.76609798964121,7.88728155306705,0,5.91401939603951,0,0,6.32734768349797,8.3202735133101,0,0,0,0.777724155955535,3.02578050702632,0,7.80671306244348,0,5.67269962648968,0,9.14129158370827,0,0,0,3.79281750205814,0,6.19292102300881,0,0,0,3.86533099144459,0,5.6317110569648,0,3.55045297157779,5.11177999314428,6.78537934835921,0,0,0,5.77034854947331,2.7474720349108,"Group1"
"Cell6",0,8.50673891696161,0,0,9.26961836681123,0,1.67135813029705,0,11.9065913639532,8.26171892230578,5.67971339606472,8.90552633298679,0,8.97921210939212,9.17189026574369,0,0,10.1720060342036,0,8.16618180979328,0,2.09684018192727,0,4.02644604859411,7.53639939102503,2.09684018192727,0,0,1.67135813029705,0,0,0,8.51106594167787,7.45788511762223,0,0,0,0,5.85333992874801,5.93289814346825,0,7.99756991960042,9.48509333004416,5.55114690853983,8.06974519628313,7.49330886901593,8.34648594561593,0,7.83450182253584,0,7.1929043611774,6.25526339356342,5.58437850575512,8.57858949562471,6.8680518080569,0,7.90853165879183,6.10306602526826,4.1200675752531,0,9.39197150155749,5.85333992874801,9.46961398337085,0,7.99756991960042,6.31587678395309,6.7114163127143,7.04558033610582,0,0,0,12.965338908077,0,0,0,0,0,7.60277421800525,6.33552824487816,4.20798213817334,0,7.6662291484043,5.12390270861299,0,6.8680518080569,12.7602493005478,0,0,6.98465451876582,0,0,6.35491561946824,8.07559993495099,0,0,6.48378821551701,7.33635487894793,7.62689806165482,0,3.70246764478678,0,7.08093786697554,7.64275939707294,7.3265682363941,0,0,6.17026853111999,0,6.98465451876582,0,3.57600383998172,0,0,0,0,1.67135813029705,5.29425320734531,5.2535139773878,0,0,0,0,8.3847159947921,7.09253373286534,7.79246131387609,0,9.55171602350553,4.87808076963453,7.02151787163223,0,6.46606779101997,3.57600383998172,7.21429143531834,6.7114163127143,0,3.70246764478678,0,5.55114690853983,0,7.31671475164372,0,0,5.79775422322235,6.81304094795598,0,7.04558033610582,7.00933444637405,8.55782587265903,0,8.13287651529417,0,0,0,0,9.2490417190431,0,6.2133917947191,0,7.04558033610582,0,7.38431636220635,0,0,9.15263259767485,1.06527690706436,0,8.06386660109327,0,6.84080856191668,4.1200675752531,0,4.1200675752531,10.1910085107996,7.77817109379712,0,0,4.58159234855236,0,10.0224170316304,4.70758796398832,3.11236658741454,2.9175136557542,0,0,8.61522717522839,8.07559993495099,0,4.58159234855236,7.20363752917636,4.9814874382502,0,2.09684018192727,0,6.7114163127143,0,5.71014132491051,0,0,0,"Group1"
"Cell7",0,8.33104495360372,0,2.96019550003499,9.78946680058188,7.43311065621504,2.13459784617098,4.3374613400271,0,0,0,0,5.0781438932903,0,9.19329784763683,0,0,9.96289200258941,0,0,0,2.13459784617098,7.81983476377487,0,7.31518152984631,4.25445175960889,4.166372822218,7.4795380055584,0,0,5.90158814665104,0,8.41943552755236,8.01528778504593,5.38175973395504,0,0,5.30133156148302,0,6.98267923415224,8.3857019170212,0,9.68833552494074,5.49457278702696,7.72281515782632,0,0,3.48200166220724,7.83419829938369,3.15585873169522,6.78982166969194,6.95665698361868,6.7141792350081,8.00897082238978,7.19789804373227,6.28292160532846,0,6.7141792350081,0,7.42364316616573,9.29545259308285,0,9.41732709741808,0,8.1127694145666,0,0,7.7150747218409,3.62103480561311,8.3905695657954,0,12.7113288617999,6.94346770153591,0,0,0,0,0,0,3.48200166220724,5.34210604451533,7.86250334879082,5.84596963362847,6.47848365087775,7.08231405736903,12.512727220149,0,6.44143465066426,7.21994376174851,0,0,6.08092534158071,0,9.29285494222235,9.17083795651947,7.42364316616573,0,0,0,0,0,0,0,0,3.62103480561311,5.98119117089205,5.38175973395504,0,0,6.54984399215722,2.13459784617098,6.49665736584823,7.53334782134389,0,0,2.46506793031045,6.03191991830512,0,0,5.84596963362847,0,8.43365477306184,8.16484023984577,6.98267923415224,0,4.07256485732608,0,0,7.37535073159574,0,6.15144698572625,2.13459784617098,6.94346770153591,5.90158814665104,0,2.13459784617098,0,6.77500714170552,5.69675074182088,7.18674755446566,5.42035260091519,0,5.81733507492356,7.53334782134389,11.0836147654932,0,7.15276948125227,0,0,0,9.0529736906965,0,4.41595347306662,12.3752204776464,0,6.95665698361868,6.10481763640217,2.96019550003499,6.56714588430692,8.71552225690635,0,7.08231405736903,0,9.64418133683757,1.09111237987011,0,0,0,7.55951834948879,0,0,3.97223041451818,10.2981949750123,7.48864684138943,1.70521033689801,5.56516077605612,5.53029845344082,0,0,5.63245554921345,3.32812682852304,3.97223041451818,4.92552197130759,6.56714588430692,0,7.98342269060603,0,0,0,6.1966162946106,2.96019550003499,1.70521033689801,0,7.12966454718239,5.98119117089205,6.8044856174464,6.5842427356318,5.7278547972275,0,"Group1"
"Cell8",7.10757578619042,9.15405887093345,9.31478332905433,0,9.79700311708372,0,0,0,12.0908900083875,9.91580048390781,0,8.69015268301049,3.52750621837471,7.33632912534565,9.44583085737042,6.56173725500858,0,10.1156141597155,7.30063459115081,6.91642439025646,9.6998687009691,0,8.17641932443095,3.68346278936513,0,0,0,7.53372655407473,0,6.86846846826284,7.38258827756015,3.35262408597836,8.77497336248772,7.23910814212756,0,0,0,4.9050417809597,6.62082423469683,7.06565824571705,7.73434453343871,8.58031991734945,0,6.65891256465685,0,0,0,4.07015102635794,0,0,0,6.24862628971658,0,8.84272599840024,7.41633453552378,6.99297007120376,0,7.32452880238823,0,7.77826300806909,0,6.34522890338499,10.2941186714299,0,0,7.07976651678483,5.29192131002281,7.32452880238823,2.6474853076337,7.28853742525086,0,13.0087587640635,0,9.00677437419189,1.21190647226136,0,8.32002146658693,7.72539809290504,0,0,6.14508799254543,0,0,6.80194210238288,0,11.3794589954775,6.06224633212844,6.74995347803869,7.49213535096435,0,7.61347599348908,0,0,7.87851389723456,9.62005841721428,7.23910814212756,6.97798239610189,7.78688851658896,0,0,9.35594217621771,7.75207267917988,7.63274308852086,0,3.35262408597836,6.78481988115876,0,0,6.99297007120376,0,2.307226332482,6.3912080533655,7.82088392103841,1.21190647226136,0,3.35262408597836,4.9670770543652,5.2426098307462,0,6.60139622381285,8.78361850252813,0,0,6.60139622381285,0,0,0,5.81481413297336,7.27633796485057,3.95240717191618,5.70986908744143,0,6.96283738310764,6.03354053540924,5.47386382965341,0,0,0,6.99297007120376,0,0,12.0908900083875,5.08367656976599,7.4601356873784,10.586164390842,0,0,8.58031991734945,0,8.43423658020816,0,0,0,11.8722484288273,0,0,0,0,7.2264815977669,0,0,0,0,8.33774088908253,0,6.41365953997731,0,6.76749200647382,7.67981429213471,2.307226332482,1.86111008742875,2.92261217022881,9.75805341617047,7.83758586903814,0,5.70986908744143,0,9.60794014597773,0,6.5001265824517,2.307226332482,4.62619601083968,0,5.2426098307462,0,8.52468073511862,4.62619601083968,0,0,6.1179992293323,2.307226332482,0,6.34522890338499,6.58170301078493,6.09039208505787,6.91642439025646,0,0,2.92261217022881,"Group3"
"Cell9",0,8.53611189532326,0,0,0,0,2.34575279130084,3.72789508136424,12.0473331918116,8.4931609386782,5.52091916105771,7.81748934865489,0,8.46008718464474,9.22196242894766,0,0,0,0,0,0,0,7.2094261065663,4.32590394938085,8.24393997295709,2.68803280784861,0,0,0,6.27091707706809,0,2.34575279130084,8.43193446416342,0,0,0,0,3.19637276227414,5.72031235163244,6.08093849520193,0,7.82616803802214,9.43268847148767,6.60935680910167,0,0,0,4.59326105782356,0,3.19637276227414,6.72524438600945,6.56856237563257,6.02172412281745,8.40900992731083,6.77987451456667,5.99117986848774,7.64182374679879,6.34525492201706,4.67239897373603,7.69964152931474,9.48569011331899,0,0,0,0,0,5.68257759781063,7.28691546817801,4.11545135627046,0,0,0,7.08478114547549,0,0,1.89614411771585,8.30108772666286,7.32415327338068,0,0,5.23837802183823,7.49715924804077,0,6.56856237563257,5.75708523023089,12.3893723642027,3.72789508136424,0,6.70656476339144,4.95158195830155,0,6.27091707706809,8.10107290462461,8.1223692853455,0,8.05012362858521,0,0,0,0,9.32964437820011,0,7.79997375912472,7.44176417285586,3.39610419911646,5.18539940468927,0,6.24526151459914,7.55050573884451,6.3927673077221,0,0,0,0,0,2.68803280784861,5.33883339423535,0,7.11342554153989,5.18539940468927,8.1708713652965,8.10820668495227,7.24869098389207,7.29943516924354,7.82616803802214,3.72789508136424,8.73815872847339,4.88668619688062,0,0,0,3.19637276227414,0,0,0,3.19637276227414,0,7.18264297410408,0,0,0,0,0,0,0,0,6.58910377827573,8.2504026662689,8.65291715812247,7.69964152931474,8.71030075513122,0,5.13040089789968,0,8.95150018341242,0,5.8954641497752,0,0,8.5518944646427,7.48624908731343,6.32089877409565,6.50512277658705,9.35984414592625,0,0,7.92643340132257,0,0,4.32590394938085,0,0,9.50473641831145,7.73693827831331,0,0,3.99746741816889,9.07678820337425,9.42127772558142,0,1.23945011381194,1.23945011381194,4.50952885845437,6.41594932515726,7.70905649920788,8.1433558665533,0,0,6.88329491244315,0,0,2.68803280784861,5.79294405439034,7.64182374679879,5.18539940468927,7.01057857424369,0,5.23837802183823,3.19637276227414,"Group4"
"Cell10",0,8.62579435808693,9.03255304960993,0,10.1618174134082,0,0,4.0944546816731,12.2260902875742,9.74607429813115,5.26776197634438,0,4.65098752195808,7.14692651544221,0,6.58729468926154,0,0,7.13321859439562,7.06265443792076,10.2245714012647,1.22664150704628,8.33383411452681,0,6.70316450925754,4.0944546816731,0,0,0,0,0,0,9.02514977846996,0,0,0,0,0,6.56704491077177,0,0,0,0,6.70316450925754,8.6974077401625,8.04997099244824,8.12114312728318,0,7.70551788372721,0,0,0,0,8.291263990287,0,0,8.38678382619374,0,5.26776197634438,0,0,7.07704608313999,10.4050968484039,6.89407781166133,8.46547142295574,8.14865712509008,0,7.50723266230394,2.94506049729248,0,9.15292226207474,12.9044528192212,7.98276860236847,0,0,0,8.31574336631132,8.31574336631132,0,4.20342075708346,5.58218110950262,7.62944191916143,0,0,6.7398081452248,10.6473666544297,4.0944546816731,7.14692651544221,6.58729468926154,5.77105699950757,7.18728570258352,5.96924080681377,0,7.82117597104425,9.36716599124118,0,7.93616239758042,7.68687166684626,0,4.20342075708346,0,7.47499140026931,8.30355559785295,7.85497494193577,0,0,6.46129968452955,6.75778674902545,0,7.44201311001181,0,0,0,0,0,0,4.48822262976507,0,7.52833337737567,0,8.96063919187665,8.32179885626462,0,0,0,2.66922246360521,0,4.86515321027117,0,3.17652929397106,6.6269610070687,4.0944546816731,7.36199915377001,5.49911615834841,5.16372445982395,2.94506049729248,0,7.50723266230394,5.99977766427177,6.66556583561984,0,11.8124977070132,5.7352083699191,7.84659914308473,0,0,0,8.454489705318,8.65965675318397,7.99039199871681,8.11418185031813,0,0,0,9.25138281555536,0,6.32323901643983,1.87987487652102,0,8.97223504742732,7.56963093204438,7.01859753052222,6.50453223146475,8.62579435808693,1.22664150704628,0,0,5.93804358707342,7.69622489937518,0,0,2.94506049729248,0,7.76005275608616,0,6.05897813516954,4.72596458744284,9.2796566965429,10.2245714012647,0,3.84821298834227,0,3.84821298834227,6.29888757202377,8.58609550518197,0,0,3.84821298834227,7.35019752972706,5.41097487607801,3.84821298834227,0,0,6.95768067408244,0,6.52567219152459,6.60726417004593,6.58729468926154,1.87987487652102,"Group3"
