,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,Gene200,group
Cell1,1.0,1.0,1.0,0.9999955,1.0,1.0,0.6745934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999906,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,1.0,1.0,0.9999999,1.0,1.0,1.0,0.99991584,0.64741796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,0.65172255,0.958423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51204604,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,0.99999887,1.0,1.0,0.6232732,0.51204604,0.9999957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,0.9999999,0.51204604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99862885,1.0,1.0,1.0,1.0,1.0,0.9999952,1.0,1.0,1.0,1.0,1.0,1.0,0.9991857,1.0,1.0,1.0,1.0,0.99999994,0.80636215,0.9999997,1.0,1.0,0.8978761,1.0,1.0,1.0,1.0,1.0,0.99999976,0.9999999,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.99999785,0.9999968,1.0,1.0,1.0,1.0,1.0,1.0,0.99999607,Group1
Cell2,1.0,1.0,1.0,0.99987346,1.0,1.0,0.7546507,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999808,1.0,0.99999887,1.0,0.9999955,1.0,1.0,0.9999747,1.0,1.0,0.99998474,1.0,1.0,1.0,0.99885005,0.720849,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999948,1.0,0.9999755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999917,1.0,1.0,1.0,1.0,1.0,0.7263013,0.9573125,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53546935,0.9999976,1.0,1.0,1.0,1.0,0.9999844,1.0,1.0,1.0,1.0,1.0,0.99994344,1.0,1.0,0.6896332,0.53546935,0.99989396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99998814,1.0,1.0,1.0,0.9999895,1.0,0.9999901,1.0,1.0,1.0,0.999989,0.53546935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99294674,1.0,1.0,1.0,1.0,1.0,0.9998414,1.0,1.0,1.0,1.0,1.0,1.0,0.9958255,1.0,1.0,1.0,1.0,0.99999547,0.8212096,0.9999869,1.0,1.0,0.906257,1.0,1.0,1.0,1.0,1.0,0.9999823,0.9999907,0.9999999,1.0,1.0,1.0,0.9999981,0.99999255,1.0,1.0,0.99990714,0.99991256,1.0,1.0,1.0,1.0,1.0,1.0,0.9998764,Group4
Cell3,1.0,1.0,1.0,1.0,1.0,1.0,0.88191164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,0.8405823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8477192,0.9984564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5143171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7963254,0.5143171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5143171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99998635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999956,1.0,1.0,1.0,1.0,1.0,0.9532575,1.0,1.0,1.0,0.9901479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group4
Cell4,1.0,1.0,1.0,0.99999994,1.0,1.0,0.8327744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999962,0.79085183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7978621,0.9943111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51505435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.749037,0.51505435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51505435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99987227,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,0.99994785,1.0,1.0,1.0,1.0,1.0,0.9177266,1.0,1.0,1.0,0.9753974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,Group3
Cell5,1.0,1.0,1.0,0.9999888,1.0,1.0,0.79876125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999809,1.0,1.0,1.0,0.9999998,1.0,1.0,0.99999857,1.0,1.0,0.9999992,1.0,1.0,1.0,0.9998124,0.76042753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,1.0,0.9999986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,1.0,1.0,1.0,1.0,1.0,0.76671755,0.9804595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5309863,0.99999994,1.0,1.0,1.0,1.0,0.9999992,1.0,1.0,1.0,1.0,1.0,0.999996,1.0,1.0,0.72371244,0.5309863,0.99999106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999946,1.0,1.0,1.0,0.9999995,1.0,0.9999996,1.0,1.0,1.0,0.9999995,0.5309863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980897,1.0,1.0,1.0,1.0,1.0,0.99998504,1.0,1.0,1.0,1.0,1.0,1.0,0.9990252,1.0,1.0,1.0,1.0,0.9999998,0.86877424,0.9999994,1.0,1.0,0.94484425,1.0,1.0,1.0,1.0,1.0,0.9999991,0.9999996,1.0,1.0,1.0,1.0,0.9999999,0.9999997,1.0,1.0,0.99999243,0.999993,1.0,1.0,1.0,1.0,1.0,1.0,0.99998915,Group1
Cell6,1.0,1.0,1.0,0.9999999,1.0,1.0,0.8671931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999965,0.82596624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8329994,0.996255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52146155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7829879,0.52146155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52146155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998895,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,0.9999583,1.0,1.0,1.0,1.0,1.0,0.93349487,1.0,1.0,1.0,0.9823273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,Group1
Cell7,1.0,1.0,1.0,1.0,1.0,1.0,0.92049336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,0.88390857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89044535,0.9991519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.524293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84156054,0.524293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.524293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99998605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999996,1.0,1.0,1.0,1.0,1.0,0.96623,1.0,1.0,1.0,0.9939774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group1
Cell8,1.0,1.0,1.0,0.9999994,1.0,1.0,0.85161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999796,0.81111264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8179414,0.9931438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,1.0,1.0,0.7699556,0.5298985,0.9999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996228,1.0,1.0,1.0,1.0,1.0,0.99999917,1.0,1.0,1.0,1.0,1.0,1.0,0.9998411,1.0,1.0,1.0,1.0,1.0,0.91570586,1.0,1.0,1.0,0.9735241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,0.9999997,1.0,1.0,1.0,1.0,1.0,1.0,0.99999946,Group3
Cell9,1.0,1.0,1.0,0.9999998,1.0,1.0,0.8843076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999907,0.8451482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8518953,0.9962196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5358649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.8033932,0.5358649,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5358649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997981,1.0,1.0,1.0,1.0,1.0,0.9999997,1.0,1.0,1.0,1.0,1.0,1.0,0.99992365,1.0,1.0,1.0,1.0,1.0,0.93642473,1.0,1.0,1.0,0.983027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,Group4
Cell10,0.9999998,1.0,1.0,0.995945,1.0,0.99999994,0.6453259,0.9999377,1.0,1.0,0.9999943,1.0,0.99997497,1.0,1.0,0.99999976,1.0,1.0,0.9999998,0.99999994,1.0,0.9945709,0.99999994,0.99975646,0.99999994,0.99954903,0.999986,0.9999999,0.9984389,0.99999964,0.9999999,0.99901015,1.0,1.0,0.99999714,0.98527056,0.6278425,0.99995553,0.9999989,0.9999997,1.0,1.0,1.0,0.99999946,1.0,1.0,1.0,0.9994467,1.0,0.9984441,0.9999997,0.9999996,0.9999993,1.0,0.99999994,0.99999946,1.0,0.99999964,0.9999456,1.0,1.0,0.9999997,1.0,0.99999976,1.0,1.0,0.9999979,0.9999999,0.9992338,1.0,1.0,1.0,0.9999999,1.0,0.63059103,0.8469176,1.0,1.0,0.9999996,0.99996614,0.9999964,0.99999994,0.9999986,0.9999997,0.9999995,1.0,0.9999806,0.9999998,0.9999999,0.99999493,0.9999998,0.9999985,1.0,1.0,1.0,1.0,0.9999999,1.0,0.5434907,0.99962324,1.0,0.99999994,1.0,1.0,0.99909353,0.9999989,0.99999934,0.9999997,0.99999994,0.9999998,0.9976601,0.9999993,1.0,0.6125466,0.5434907,0.9961624,0.99999577,0.99998933,0.9999999,0.9999983,1.0,1.0,1.0,0.9999998,0.99999994,0.9991542,1.0,0.9999891,0.99999994,0.99931407,0.99999815,0.9991629,0.9999999,0.99999905,0.999989,0.99911034,0.5434907,0.9999999,0.9999982,0.9999998,0.999992,1.0,0.99999076,0.99999994,1.0,0.9999997,0.9999998,1.0,1.0,1.0,1.0,0.9543677,0.9999816,1.0,1.0,0.9999999,0.99999934,0.9956104,0.9999999,1.0,1.0,0.9999997,0.9999989,1.0,0.96465683,0.9999989,1.0,0.9999997,0.99999994,0.9994622,0.70578593,0.9988506,1.0,1.0,0.7778979,0.9999984,0.9999807,1.0,1.0,0.99999845,0.99884,0.99920195,0.9999469,0.999999,1.0,1.0,0.9996905,0.99935734,0.9999999,0.9999978,0.9968725,0.99660075,0.9999979,0.99999994,0.9999987,0.9999996,0.9999991,0.9999979,0.9960967,Group3
