,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,Gene200,group
Cell1,6.749077,8.539352,9.0546,3.045045,9.617413,7.7121477,0.60499287,4.202649,11.944423,8.920337,5.2861633,8.411441,4.7295265,8.062119,9.163149,6.5703707,8.03188,10.348918,6.759268,7.5299883,9.865519,2.6440356,7.7172217,4.1707473,7.2868958,4.221278,4.993038,7.376148,3.516328,6.6126914,7.257339,3.7649658,8.3781,7.8720946,5.650644,2.5332053,0.52741235,4.378159,6.12902,6.5498395,7.849014,8.121354,9.559229,6.3713956,7.9913316,7.808758,8.070029,4.0424232,7.8763504,3.7022314,6.5842967,6.5466805,6.244545,8.226604,7.047596,6.2937465,7.832525,6.5703206,4.190178,7.8764052,9.47386,6.4480147,9.75065,6.8192897,7.9890018,7.290319,5.7458076,7.2867913,3.8821461,7.852892,8.882194,12.692017,7.1270103,9.199602,0.7510886,1.3881097,8.305615,7.9151053,6.4695654,4.361922,5.545962,7.6151648,6.130713,6.523281,6.4268007,11.841482,4.881526,6.6896114,7.0839825,5.209945,6.87701,5.860586,8.074142,8.043747,9.044457,7.536438,7.1384516,7.998626,0.22444442,3.9111888,9.166371,7.20511,7.560162,7.393022,3.7309635,5.877476,6.293495,6.7179174,7.186717,6.8349166,3.4390306,6.247508,7.5704083,0.7896097,0.09752342,2.9658852,5.351123,5.10668,7.461998,5.869996,8.645493,8.177072,7.8988786,6.785671,7.486917,4.0544496,9.292472,5.0362687,7.4142804,3.826322,5.949491,3.8527029,7.0981793,6.080468,4.9489794,3.7115738,0.14756413,6.928972,5.9078116,7.0146065,5.1453066,11.762044,5.1744637,7.2459335,10.42636,6.4724936,6.875223,8.467689,8.334949,8.221979,8.67826,2.0954351,4.838653,12.076753,9.31416,6.9992642,6.290633,3.0107324,7.097346,8.566731,7.7784224,6.71683,5.964488,8.840733,2.2232969,6.1045413,7.8195453,6.6001625,7.2382336,3.8327615,1.3116003,3.523166,9.724719,7.4954734,1.1287956,5.8415127,4.7759404,9.146635,9.927995,5.81498,3.6343338,3.7014785,4.3055987,6.145534,8.188054,8.259586,4.3180175,3.9090238,7.138049,5.6741014,3.1877618,3.318422,5.7041583,7.135908,5.9402933,6.455103,6.0978637,5.799869,2.7461617,Group1
Cell2,6.764443,8.522097,8.979567,3.0164638,9.528998,7.6164207,0.5125666,4.1446514,11.806346,8.853719,5.2816615,8.3279295,4.7368145,7.930512,9.076762,6.5309615,7.969302,10.295299,6.7092476,7.4717913,9.787,2.6281953,7.6138244,4.1672215,7.199575,4.1991177,4.907232,7.315998,3.5417924,6.4876738,7.2499185,3.8295166,8.290205,7.7400694,5.5899878,2.4689412,0.4864914,4.4032073,6.039036,6.526136,7.731744,8.061808,9.499539,6.35461,7.949046,7.8047156,8.051899,4.100094,7.9282246,3.6519141,6.5451407,6.539599,6.206146,8.211422,7.08416,6.2975807,7.7493696,6.5180845,4.2053943,7.8225822,9.363041,6.416061,9.672275,6.7443576,7.9426723,7.2303977,5.6603184,7.2583737,3.811991,7.7324953,8.787675,12.609742,7.055142,9.14061,0.6962403,1.4001838,8.243513,7.8527055,6.423231,4.372019,5.4427633,7.5562754,6.0559397,6.4588394,6.312866,11.714265,4.8522806,6.6731606,7.0020256,5.2432623,6.8565226,5.870421,8.0399475,7.8878455,8.968059,7.5414696,7.060407,7.9660234,0.24761724,3.93982,9.126863,7.190083,7.517541,7.376746,3.770601,5.927426,6.272378,6.665172,7.1411443,6.7805605,3.465514,6.2044797,7.535898,0.79526293,0.10670884,3.081127,5.3455744,5.0531816,7.4317417,5.837764,8.559735,8.125061,7.7213507,6.778587,7.4494824,4.0472713,9.202365,4.927412,7.3604417,3.7985477,5.896092,3.8548975,7.042966,6.0242395,5.0061746,3.659503,0.16202228,6.954299,5.8331943,6.9308443,5.073384,11.695932,5.100027,7.2420006,10.312409,6.5235534,6.804687,8.40046,8.291262,8.156523,8.570793,2.1124363,4.846541,11.982234,9.220282,6.920347,6.266013,2.9458106,7.058418,8.5133295,7.653502,6.6518817,5.9591084,8.770762,2.198202,6.0306416,7.7272596,6.563651,7.1887856,3.7669013,1.3508568,3.4388003,9.605849,7.503845,1.0986696,5.831748,4.7416124,9.0613575,9.804336,5.813606,3.4996302,3.7527447,4.308197,6.0306926,8.183481,8.181848,4.274069,4.0025973,7.106742,5.674045,3.1478508,3.2590249,5.6839514,7.089467,5.8628507,6.421006,6.0450525,5.7466784,2.9118118,Group4
Cell3,6.6970086,8.500844,9.049662,3.033246,9.618653,7.724726,0.64111567,4.204721,11.967741,8.910722,5.2515388,8.414015,4.6896763,8.095435,9.164781,6.5525284,8.0229845,10.326195,6.7472515,7.520212,9.859799,2.6258678,7.7344847,4.1395373,7.29585,4.2013116,5.009316,7.368123,3.4696984,6.647183,7.217414,3.6934779,8.383481,7.906352,5.649137,2.545125,0.5322364,4.328684,6.1437736,6.522442,7.874308,8.110278,9.543069,6.340399,7.97014,7.7647767,8.033745,3.9741557,7.7978435,3.7013948,6.5662484,6.5091033,6.227256,8.18795,6.9814577,6.2503867,7.8369627,6.5603423,4.147407,7.8627014,9.489353,6.4260416,9.745258,6.8223305,7.970299,7.282462,5.759183,7.2596326,3.892825,7.880089,8.889821,12.678432,7.127066,9.184307,0.7636469,1.357346,8.295444,7.906521,6.4563313,4.321672,5.5709143,7.605507,6.136134,6.5209556,6.4551663,11.858513,4.863528,6.657264,7.0903783,5.1524076,6.846463,5.8151054,8.047692,8.092026,9.040393,7.487873,7.1422524,7.9714723,0.19106238,3.8611972,9.139251,7.1700354,7.5407276,7.3580365,3.6748722,5.8073406,6.265434,6.7077203,7.170436,6.8252864,3.3920543,6.233046,7.5459647,0.7649358,0.0731737,2.866193,5.3169065,5.1027412,7.435336,5.8502727,8.648602,8.161176,7.9609375,6.747236,7.464566,4.025897,9.2959175,5.066524,7.4022484,3.811218,5.9424596,3.8191295,7.088128,6.0747,4.8777413,3.7117786,0.11980166,6.870149,5.9139385,7.022359,5.1525245,11.741896,5.1831183,7.20391,10.440347,6.3995366,6.875368,8.460076,8.313381,8.214166,8.69456,2.059106,4.798043,12.072888,9.319842,7.0041013,6.2647295,3.0213377,7.0773125,8.550287,7.8086605,6.7141185,5.927962,8.83346,2.212317,6.109521,7.8296275,6.580436,7.2241426,3.8409846,1.2644465,3.5438488,9.744246,7.445008,1.1248379,5.8081174,4.761438,9.147646,9.949727,5.7765355,3.6854792,3.6383636,4.270149,6.1754675,8.143034,8.259167,4.3110614,3.8192234,7.1131973,5.6353555,3.182396,3.324533,5.6776586,7.1203423,5.9480357,6.4344177,6.0899377,5.7932477,2.6163545,Group4
Cell4,7.034099,8.817743,9.225258,3.1000717,9.77915,7.7890263,0.43219534,4.2351856,12.081662,9.104546,5.4748573,8.540309,4.923884,8.073179,9.312901,6.729143,8.19281,10.613191,6.901662,7.6823587,10.057865,2.712431,7.7775087,4.3212585,7.3667865,4.3328624,4.9933276,7.518686,3.706585,6.5857716,7.510899,4.04969,8.496177,7.875371,5.7297053,2.491694,0.4644503,4.5986576,6.1612334,6.742217,7.883725,8.292149,9.781682,6.5724516,8.195175,8.089638,8.329545,4.3221292,8.28196,3.7334766,6.7441263,6.7752953,6.3937488,8.498225,7.389767,6.5370917,7.941248,6.701039,4.3823795,8.050861,9.581411,6.618668,9.939157,6.909373,8.183917,7.4302554,5.7740006,7.4954977,3.8765104,7.880906,9.004008,12.978314,7.2349153,9.410582,0.6657529,1.4721559,8.477481,8.072205,6.6095495,4.5491357,5.528201,7.7690997,6.196254,6.6256065,6.4174,11.99875,5.001481,6.9029016,7.1682696,5.478593,7.088247,6.1013966,8.298674,8.001012,9.211762,7.8273206,7.233264,8.223909,0.29070148,4.1226435,9.41876,7.440148,7.7476873,7.632121,3.9599743,6.206627,6.4822636,6.8528576,7.354288,6.970563,3.6287217,6.386695,7.776041,0.8379806,0.12860298,3.3325846,5.5398755,5.1817336,7.6730156,6.019149,8.777909,8.366359,7.8036118,7.022918,7.683137,4.1927695,9.438764,4.9877105,7.572,3.911353,6.0552254,4.0042286,7.2414656,6.184749,5.2604146,3.7393222,0.19198367,7.2422814,5.9656363,7.0924373,5.181463,12.050077,5.206176,7.506709,10.561492,6.8255787,6.9769416,8.634201,8.548147,8.383484,8.764383,2.2158237,5.0382676,12.314034,9.452987,7.087137,6.4716377,2.9850433,7.2762184,8.76706,7.793852,6.825043,6.175781,9.014732,2.2562447,6.1710467,7.907832,6.7663484,7.399193,3.8347337,1.4523276,3.4734766,9.823731,7.7921796,1.1111791,6.0387707,4.880964,9.298216,10.023879,6.0296288,3.4785757,3.9548552,4.4743767,6.123983,8.4814825,8.395592,4.3854485,4.262427,7.335059,5.88654,3.2231693,3.315937,5.873615,7.2997437,5.9931135,6.621327,6.210247,5.900652,3.21516,Group3
Cell5,6.894411,8.693061,9.125429,2.976632,9.685365,7.6971087,0.33426827,4.124981,12.010463,9.001059,5.342652,8.443662,4.7863145,7.996716,9.21796,6.6125846,8.087032,10.505114,6.7897296,7.574396,9.960041,2.5833242,7.68885,4.187916,7.271026,4.2074604,4.895437,7.411453,3.5605145,6.5055723,7.381211,3.8871932,8.401368,7.798962,5.6215677,2.3830657,0.34461483,4.453323,6.0658526,6.6189804,7.8010397,8.1851425,9.675669,6.446163,8.080759,7.9588737,8.204928,4.1627326,8.127509,3.6196878,6.6274695,6.6450024,6.2765503,8.372459,7.2412767,6.402002,7.844074,6.5899243,4.2410955,7.9412684,9.497041,6.498867,9.841197,6.8080516,8.071216,7.3228693,5.676463,7.374739,3.771257,7.7995496,8.912336,12.883918,7.1324935,9.30404,0.5519731,1.3303884,8.371678,7.966275,6.4958644,4.4101353,5.43805,7.6614857,6.0944185,6.519641,6.3323765,11.922875,4.879514,6.776678,7.0701013,5.3302884,6.963857,5.9634795,8.180878,7.934847,9.112507,7.6925287,7.1334705,8.105389,0.14346904,3.9754856,9.303927,7.3136535,7.633134,7.506279,3.8080285,6.051697,6.357763,6.7420545,7.2407455,6.8605194,3.482169,6.2714634,7.6580524,0.69854975,-0.012775712,3.1480572,5.408157,5.070205,7.5531516,5.8990903,8.682366,8.256191,7.7465305,6.8927813,7.566335,4.0609016,9.345486,4.89963,7.462113,3.7880776,5.944202,3.8682518,7.131957,6.0750113,5.101807,3.6262832,0.048399754,7.098482,5.8635902,6.9949903,5.077779,11.948217,5.1035776,7.3755336,10.479069,6.670563,6.8737907,8.53068,8.434548,8.279052,8.678075,2.0724237,4.900514,12.224435,9.361323,6.9876237,6.3486214,2.877004,7.159798,8.657735,7.714367,6.7194185,6.0443883,8.912616,2.1307926,6.068824,7.8145237,6.64858,7.287328,3.7276254,1.2989746,3.374021,9.742941,7.655944,0.9871524,5.909159,4.7610855,9.202794,9.945253,5.896439,3.400555,3.797955,4.338523,6.0391617,8.35119,8.296395,4.2693563,4.0877066,7.2154307,5.7527,3.1046302,3.2057524,5.748346,7.1865363,5.8922877,6.5024395,6.09907,5.7894425,3.0090976,Group1
Cell6,6.8859587,8.6411495,9.018498,2.9601917,9.562026,7.583096,0.28190988,4.0731273,11.824256,8.902631,5.328839,8.3345995,4.787461,7.8482885,9.100159,6.557488,7.999499,10.406296,6.723749,7.4948606,9.843345,2.5813925,7.568056,4.184181,7.167914,4.186937,4.8126183,7.3314724,3.5876586,6.3749156,7.3485374,3.9466207,8.288731,7.6517377,5.5554075,2.339508,0.33814687,4.472977,5.969972,6.5778513,7.6669683,8.099533,9.578046,6.4125867,8.011389,7.9246097,8.156129,4.2138214,8.141812,3.5787184,6.57248,6.618502,6.225034,8.324955,7.2489796,6.3871827,7.74011,6.5235586,4.253666,7.862711,9.355206,6.451331,9.725575,6.719689,7.9983115,7.2438,5.5877004,7.3233757,3.7113721,7.6626997,8.789713,12.740555,7.0442777,9.210003,0.53142035,1.3633629,8.2823,7.8798633,6.4355173,4.4167886,5.3353806,7.580638,6.011888,6.4429417,6.212993,11.74706,4.8473077,6.740765,6.9733787,5.350331,6.9228487,5.957513,8.11793,7.7652273,9.00446,7.6684885,7.039735,8.044464,0.19581419,4.002148,9.227283,7.2747297,7.567033,7.464705,3.8458498,6.0808325,6.321025,6.6740217,7.1751385,6.7901044,3.5108476,6.2158556,7.5989923,0.7308311,0.0283303,3.2586243,5.392887,5.014831,7.4987245,5.8560886,8.569396,8.176741,7.5591087,6.8643026,7.505396,4.0549197,9.223347,4.7962036,7.3873625,3.7658873,5.881947,3.8721724,7.058612,6.0091877,5.1449842,3.5836964,0.093724355,7.097294,5.783039,6.897255,5.005899,11.826743,5.0292478,7.346019,10.326608,6.695755,6.7888274,8.435457,8.361106,8.187417,8.545762,2.103879,4.901285,12.075402,9.235691,6.8942723,6.3088303,2.8289204,7.1007667,8.573841,7.574159,6.6406736,6.0241957,8.811901,2.1242082,5.987277,7.7026463,6.5957823,7.2178903,3.6719222,1.3564622,3.3046193,9.591959,7.635176,0.9851965,5.8861313,4.725287,9.0861025,9.788383,5.881002,3.2860105,3.8462365,4.3390536,5.921307,8.313324,8.193661,4.228891,4.171441,7.1627584,5.7395854,3.0770562,3.159979,5.7172794,7.1205864,5.808986,6.4529624,6.0361056,5.728608,3.1657665,Group1
Cell7,6.9780936,8.744516,9.111501,2.9977741,9.657681,7.654988,0.2737502,4.115633,11.93247,8.996469,5.3987226,8.417891,4.854315,7.9140863,9.191209,6.632195,8.084349,10.520062,6.797627,7.5752225,9.944608,2.6179857,7.6378508,4.24163,7.2373223,4.239725,4.856316,7.409533,3.6457975,6.4260497,7.4400606,4.018575,8.370411,7.7152524,5.6136656,2.361232,0.3435757,4.540818,6.0254393,6.6567373,7.7343664,8.186254,9.68111,6.4913836,8.101479,8.023365,8.253903,4.287004,8.25705,3.6176813,6.6474175,6.7020235,6.2963123,8.425341,7.350472,6.470889,7.816906,6.5946608,4.3166027,7.948249,9.44293,6.526739,9.825569,6.7872505,8.087238,7.320946,5.6400642,7.4093347,3.7468107,7.729264,8.875277,12.872968,7.116206,9.309165,0.5354843,1.3934898,8.370402,7.9634323,6.50713,4.480243,5.3804913,7.6617756,6.0716486,6.5100784,6.265124,11.857153,4.9056287,6.8232822,7.041983,5.4299726,7.006367,6.0379696,8.211237,7.823989,9.096964,7.7666907,7.110059,8.137358,0.21580079,4.0656753,9.331541,7.3635206,7.6521153,7.5552855,3.9104166,6.172754,6.3977175,6.7466626,7.2551365,6.863626,3.5683918,6.285867,7.686471,0.7523344,0.04294042,3.3357177,5.4632163,5.0689015,7.586163,5.9248323,8.654724,8.266213,7.610143,6.9505463,7.5911007,4.110017,9.314824,4.8339167,7.467631,3.8125982,5.945649,3.9276052,7.134892,6.0735865,5.2283626,3.622273,0.11038623,7.1942773,5.840304,6.964561,5.0552325,11.953102,5.0782075,7.438392,10.424305,6.7947683,6.8582616,8.523966,8.454718,8.273624,8.625362,2.1434498,4.9695516,12.197364,9.326356,6.962765,6.3845053,2.8559008,7.181614,8.667363,7.638603,6.709873,6.101562,8.90389,2.1534073,6.046985,7.776729,6.671643,7.2973866,3.708005,1.3933553,3.3319747,9.68028,7.7338505,1.0005108,5.9608636,4.7809763,9.177276,9.877673,5.95779,3.300488,3.913735,4.3997593,5.9699774,8.416252,8.276845,4.276659,4.253192,7.246211,5.8151383,3.1130812,3.1920176,5.787513,7.1997614,5.865827,6.527849,6.101663,5.7906637,3.254521,Group1
Cell8,6.9396305,8.760814,9.239586,3.067161,9.809184,7.8316183,0.48343158,4.2369466,12.16956,9.108602,5.407838,8.566384,4.843136,8.159968,9.341218,6.7034273,8.193415,10.598441,6.888864,7.678391,10.07509,2.6643233,7.8296747,4.2550235,7.399641,4.2898173,5.028411,7.517435,3.6053069,6.6669326,7.4439855,3.899134,8.527789,7.9630246,5.7321863,2.5042825,0.45147908,4.4963517,6.199496,6.696917,7.9529862,8.288805,9.775935,6.51883,8.1705,8.017512,8.2745495,4.179671,8.139856,3.7265408,6.718069,6.7092347,6.3673563,8.439267,7.2682796,6.4578476,7.9679184,6.6913486,4.2926946,8.040808,9.639693,6.5838585,9.95641,6.9275894,8.164298,7.4288726,5.807335,7.4547625,3.894035,7.9540663,9.042988,12.995155,7.248752,9.404609,0.6697798,1.3914305,8.476998,8.072796,6.592666,4.4655375,5.5840197,7.7658443,6.215509,6.631249,6.485049,12.073266,4.9661016,6.84829,7.1947875,5.3644624,7.038341,6.0154343,8.2637415,8.118186,9.227815,7.744348,7.2547956,8.187124,0.19820057,4.0167003,9.388505,7.3828306,7.724206,7.5760264,3.840604,6.0705175,6.434192,6.843538,7.3351655,6.9630456,3.5263097,6.3660808,7.742409,0.76635206,0.053804904,3.1201346,5.4740477,5.176249,7.6342635,5.9857244,8.806371,8.353501,7.9480643,6.956432,7.653308,4.1313066,9.471495,5.0515137,7.562795,3.876031,6.0481033,3.9314177,7.234547,6.1809263,5.116921,3.73456,0.110508345,7.1350446,5.9850974,7.121335,5.1989274,12.048394,5.226729,7.4354587,10.621975,6.687014,6.989566,8.6398325,8.524606,8.387344,8.819907,2.1276717,4.9565735,12.347278,9.490392,7.110009,6.4279475,2.9975955,7.2489552,8.75524,7.872797,6.830971,6.1086397,9.023119,2.220455,6.1892576,7.945932,6.7369595,7.3848186,3.8469813,1.3377801,3.5094,9.891621,7.7051077,1.0836412,5.977329,4.8521237,9.325176,10.097387,5.9577518,3.577188,3.8210099,4.400249,6.19327,8.40934,8.414727,4.3694506,4.075353,7.298202,5.81327,3.2041569,3.3210344,5.825465,7.281797,6.016046,6.5891814,6.2021236,5.8935375,2.940128,Group3
Cell9,6.6896005,8.476126,9.000785,3.0174882,9.563096,7.6709347,0.60602903,4.1744723,11.886806,8.865509,5.239838,8.363352,4.68401,8.026568,9.111138,6.52385,7.9815474,10.282636,6.713906,7.4817395,9.807556,2.6161406,7.677641,4.1309533,7.246431,4.1852193,4.966112,7.329253,3.4742048,6.5844755,7.1997304,3.7128656,8.331163,7.8377843,5.6142898,2.516479,0.51775086,4.3309164,6.0961328,6.500038,7.8116446,8.069823,9.499037,6.321173,7.9368443,7.747083,8.009829,3.9901376,7.802144,3.6754143,6.5376368,6.4932942,6.199775,8.164819,6.981719,6.239523,7.7878585,6.5265813,4.146203,7.8251143,9.425268,6.4006176,9.693352,6.7789655,7.9354057,7.243893,5.714262,7.2335567,3.8585424,7.816177,8.833644,12.617783,7.084162,9.141432,0.74309456,1.3617554,8.253525,7.86544,6.4251556,4.3180184,5.5194645,7.5665517,6.094517,6.4824724,6.397306,11.782133,4.8430114,6.6373925,7.0435815,5.155881,6.824533,5.8076797,8.0174,8.013576,8.990999,7.4744415,7.096873,7.9419956,0.20271857,3.865992,9.104178,7.149466,7.508354,7.3365126,3.68447,5.815771,6.2446823,6.673396,7.137807,6.790037,3.3971539,6.203724,7.5167804,0.7682656,0.07959741,2.9076252,5.3046317,5.0720625,7.408103,5.8261533,8.596476,8.12357,7.8742714,6.730841,7.4344273,4.0161505,9.240485,5.014079,7.3657866,3.7938673,5.909757,3.813591,7.0518947,6.0405555,4.891316,3.6850803,0.12819245,6.866248,5.8729296,6.975016,5.11445,11.689927,5.1439757,7.1876373,10.372689,6.4069505,6.833608,8.415729,8.2786875,8.171122,8.633751,2.0637367,4.792347,12.008892,9.262862,6.9587164,6.242597,2.9912622,7.047535,8.511176,7.743138,6.674961,5.9142523,8.787113,2.1999521,6.0683146,7.776937,6.5528336,7.1898518,3.808525,1.2798153,3.5048132,9.676356,7.433001,1.1131583,5.792971,4.739166,9.094483,9.879441,5.7647796,3.6262228,3.652642,4.2636623,6.117936,8.124201,8.2111635,4.2860975,3.84976,7.0863404,5.624467,3.1617987,3.2958937,5.658711,7.087493,5.9058275,6.4081273,6.057105,5.7609944,2.678301,Group4
Cell10,6.8935127,8.699422,9.201804,3.1171434,9.768409,7.8314233,0.6169161,4.2818694,12.113134,9.06851,5.4011283,8.54578,4.840222,8.173863,9.307936,6.6924205,8.167935,10.523573,6.8803945,7.6599503,10.023855,2.7145822,7.8338223,4.2690287,7.4026937,4.313644,5.074349,7.50306,3.6150188,6.704665,7.4013596,3.8814807,8.510357,7.980787,5.7510233,2.5846815,0.5566345,4.4898624,6.22618,6.677212,7.962649,8.259864,9.7196455,6.4985256,8.134049,7.9624114,8.222617,4.160706,8.051104,3.7765656,6.70665,6.67997,6.3619814,8.382642,7.204198,6.4270906,7.9581504,6.6877666,4.2954817,8.013227,9.614624,6.5708714,9.907285,6.9323926,8.130233,7.4160023,5.8387284,7.4237266,3.9521089,7.965464,9.019772,12.892171,7.245912,9.354776,0.77872854,1.4494941,8.446022,8.04944,6.5875907,4.4680114,5.6294756,7.7461796,6.2333574,6.635628,6.519913,12.012519,4.981432,6.821721,7.198607,5.3373184,7.010533,5.989468,8.221028,8.146492,9.191017,7.6891894,7.2553115,8.144931,0.27204096,4.0170465,9.328031,7.345603,7.6961746,7.535937,3.8380184,6.0210123,6.417881,6.8374343,7.3159676,6.9556427,3.5369067,6.3633285,7.7094884,0.83955,0.13816206,3.088388,5.4667044,5.2013206,7.600949,5.983926,8.7826,8.319137,7.99165,6.9226093,7.6236725,4.149644,9.437899,5.109968,7.5440397,3.9106412,6.057039,3.9481797,7.222618,6.189,5.080936,3.7854214,0.19085917,7.0797296,6.0071077,7.1275234,5.2339253,11.953796,5.2626257,7.3910313,10.580546,6.625515,6.990758,8.60873,8.482411,8.359904,8.808077,2.1693895,4.9512305,12.263117,9.458566,7.1136856,6.413718,3.0692654,7.227616,8.714248,7.8882337,6.831951,6.089497,8.986487,2.284097,6.2071,7.941696,6.723707,7.36688,3.9035113,1.3815713,3.5825467,9.866425,7.648798,1.1710758,5.9630704,4.87241,9.291568,10.071086,5.939143,3.6773477,3.8122563,4.4081373,6.2340255,8.34731,8.393678,4.4040413,4.038154,7.271676,5.796586,3.2579737,3.3836365,5.8198705,7.2640705,6.039072,6.5772986,6.207888,5.9052067,2.883399,Group3
