,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,group
Cell1,0.9999396,0.9999311,0.9999509,0.999895,0.99996865,0.99998593,0.99998933,0.99993867,0.9999955,0.9999983,0.9999868,0.9999342,0.99972135,0.9999654,0.9999909,0.99994737,0.99997497,0.99999666,0.9999907,0.9995568,0.9999486,0.99998957,0.99999267,0.9999895,0.9999816,0.9998401,0.9999721,0.99998164,0.99995625,0.99999934,0.9999914,0.99989456,0.99999726,0.9999688,0.9999839,0.99998945,0.99996746,0.99999535,0.99997973,0.99999636,0.99998635,0.9999922,0.9998426,0.99995005,0.999214,0.9999984,0.9999522,0.9999833,0.99998564,0.99987394,0.9999915,0.9999473,0.99774516,0.99999565,0.99999624,0.99992174,0.99997914,0.9999953,0.9999817,0.9999263,0.99998957,0.99999213,0.9999121,0.9999478,0.9999771,0.99988097,0.9999958,0.9999566,0.99998236,0.9999914,0.9997499,0.9999643,0.9999882,0.9999659,0.99999654,0.9999822,0.9999943,0.9999367,0.9999793,0.9999887,0.9999929,0.9998821,0.99998146,0.9999768,0.9999541,0.99990875,0.99999166,0.9999862,0.99996275,0.99996996,0.9999757,0.99999255,0.9999935,0.99999505,0.99999803,0.99998945,0.9998168,0.99997973,0.9999985,0.99990314,0.99998146,0.99998945,0.9998748,0.9999392,0.99982774,0.9999835,0.999991,0.9999853,0.9999626,0.9999455,0.99999696,0.9999963,0.99995404,0.9999817,0.99996877,0.9999969,0.9999715,0.9999717,0.99996215,0.99998546,0.99986994,0.99997735,0.9999981,0.999993,0.9999563,0.9999854,0.9999906,0.9999985,0.9999952,0.99995553,0.9999715,0.99994576,0.9999364,0.9999601,0.99998325,0.9999921,0.9999681,0.9999581,0.99999654,0.9999892,0.9999882,0.99995655,0.9999823,0.9999928,0.99998575,0.999973,0.9999835,0.99999505,0.9999813,0.99994314,0.9999826,0.99997437,0.99987817,0.9999864,0.99995095,0.9999611,0.9999924,0.99998057,0.9999957,0.9999565,0.9999842,0.9999695,0.9998786,0.99992293,0.99994045,0.9999944,0.99999917,0.99997693,0.99981874,0.9999439,0.9998176,0.9999981,0.99983996,0.9999897,0.9999847,0.9999897,0.9999876,0.9999704,0.9999983,0.9999486,0.9999539,0.99998415,0.9999887,0.9999908,0.9999618,0.9999942,0.9999974,0.9999941,0.99998534,0.9999887,0.9999819,0.999972,0.9999631,0.99998677,0.9999741,0.99992067,0.9999363,0.99997413,0.9999816,Group1
Cell2,0.9999738,0.9999692,0.999981,0.9999518,0.99998564,0.9999942,0.9999954,0.99997216,0.9999982,0.9999994,0.99999475,0.99996763,0.99985015,0.9999846,0.99999607,0.9999776,0.9999877,0.99999845,0.99999636,0.9997526,0.9999782,0.99999595,0.99999696,0.99999577,0.9999926,0.9999212,0.99998754,0.9999924,0.9999824,0.99999976,0.9999964,0.9999543,0.99999905,0.9999861,0.999993,0.99999565,0.9999849,0.999998,0.99999106,0.9999987,0.99999434,0.9999969,0.9999183,0.9999777,0.99953985,0.9999994,0.99997765,0.99999297,0.99999356,0.9999455,0.9999966,0.9999779,0.9985585,0.99999845,0.9999986,0.9999612,0.99999183,0.99999815,0.999992,0.9999674,0.9999957,0.99999654,0.99996287,0.99997646,0.9999898,0.99994695,0.9999984,0.99997985,0.99999285,0.99999666,0.9998693,0.9999838,0.99999475,0.9999853,0.99999857,0.9999923,0.99999785,0.9999704,0.999991,0.9999954,0.9999974,0.99994147,0.99999225,0.99999106,0.99997896,0.9999599,0.9999968,0.9999944,0.99998343,0.9999867,0.9999904,0.99999684,0.99999714,0.99999785,0.99999917,0.9999957,0.999908,0.99999195,0.9999994,0.99995166,0.99999195,0.99999577,0.99993753,0.9999743,0.9999271,0.99999267,0.9999961,0.9999937,0.9999833,0.99997604,0.9999987,0.9999985,0.9999813,0.99999195,0.9999877,0.9999988,0.9999868,0.999988,0.9999844,0.999994,0.9999391,0.9999913,0.9999993,0.9999976,0.99998164,0.9999944,0.9999958,0.9999994,0.9999983,0.99997914,0.9999874,0.99997324,0.9999715,0.99998325,0.99999326,0.99999666,0.9999878,0.999981,0.9999987,0.9999958,0.9999949,0.99998057,0.99999315,0.99999714,0.9999937,0.99998766,0.999994,0.99999803,0.99999195,0.9999709,0.9999926,0.9999885,0.9999385,0.99999434,0.99997616,0.9999839,0.9999968,0.9999922,0.99999833,0.99998206,0.9999938,0.9999868,0.9999397,0.9999645,0.99996907,0.999998,0.9999997,0.9999897,0.9999074,0.9999757,0.9999114,0.9999992,0.99993056,0.9999955,0.99999404,0.99999565,0.99999505,0.999988,0.99999934,0.99997675,0.9999802,0.99999315,0.99999547,0.9999959,0.99998254,0.9999976,0.99999905,0.9999977,0.99999404,0.9999958,0.99999243,0.9999874,0.9999843,0.9999941,0.9999886,0.99996203,0.9999707,0.9999904,0.99999213,Group4
Cell3,0.9999855,0.9999772,0.99999756,0.9999691,0.99995977,0.99999064,0.99998057,0.99997115,0.99999064,0.9999991,0.9999941,0.99989563,0.9996987,0.9999746,0.99998105,0.9999889,0.9998783,0.9999358,0.99999535,0.99951553,0.99998933,0.99999607,0.9999884,0.9999931,0.9999944,0.999915,0.99997306,0.9999904,0.9999954,0.99999905,0.99998665,0.9999876,0.99999875,0.99997395,0.9999793,0.9999893,0.9999526,0.9999724,0.99997413,0.9999986,0.9999894,0.9999929,0.999802,0.9999756,0.9991063,0.99999803,0.99994856,0.99998784,0.9999665,0.9999888,0.9999929,0.99999136,0.99724346,0.9999986,0.9999977,0.9998873,0.9999962,0.99999523,0.9999784,0.9999815,0.99999124,0.9999669,0.9999916,0.99997276,0.99997187,0.9999816,0.9999955,0.9999543,0.9999935,0.9999956,0.99980336,0.9999648,0.99996775,0.9999844,0.9999826,0.9999828,0.999997,0.99995214,0.99997884,0.9999927,0.9999979,0.9998965,0.999989,0.9999972,0.999962,0.99998397,0.99999636,0.9999924,0.99997586,0.9999771,0.999996,0.9999806,0.99996346,0.9999747,0.9999838,0.99999213,0.9998883,0.99999535,0.9999952,0.9998806,0.999981,0.99999386,0.99988824,0.99999046,0.99999267,0.9999718,0.99997765,0.99998206,0.9999735,0.9999815,0.9999753,0.9999933,0.99999434,0.99997497,0.9999963,0.99999684,0.9999501,0.99998814,0.99999255,0.99998933,0.9999597,0.9999972,0.9999963,0.99999934,0.9999907,0.9999968,0.999971,0.9999915,0.9999986,0.99994516,0.99997723,0.9998847,0.9999764,0.99999046,0.9999944,0.9999835,0.9999976,0.9999684,0.999996,0.99999636,0.99997795,0.99997425,0.99999696,0.99999315,0.9999687,0.9999588,0.99999887,0.9999944,0.99998343,0.99979895,0.99998534,0.9999691,0.9998641,0.9999885,0.99990755,0.99999267,0.999984,0.99999416,0.999995,0.9999931,0.999996,0.9999841,0.99989486,0.99996436,0.99974084,0.99999845,0.99999136,0.9999708,0.9998517,0.9999855,0.9999348,0.99998105,0.99998885,0.99997896,0.99999624,0.9999857,0.9999938,0.99999434,0.9999958,0.9999712,0.9999872,0.99997944,0.9999934,0.9999591,0.9999627,0.9999893,0.99999744,0.9999931,0.9999922,0.99999833,0.9999889,0.9999702,0.9999884,0.99996483,0.9999789,0.9999358,0.9999637,0.9999985,0.99998564,Group4
Cell4,0.99999887,0.9999987,0.999999,0.99999756,0.99999964,0.9999999,0.99999994,0.9999989,1.0,1.0,0.9999999,0.999999,0.99999166,0.9999996,1.0,0.99999905,0.99999976,1.0,0.99999994,0.9999838,0.9999991,0.99999994,1.0,0.99999994,0.9999998,0.9999959,0.9999997,0.9999998,0.9999992,1.0,0.9999999,0.99999726,1.0,0.99999964,0.9999999,0.99999994,0.99999964,1.0,0.9999998,1.0,0.9999999,1.0,0.9999964,0.9999992,0.9999633,1.0,0.99999934,0.9999998,0.9999999,0.9999963,1.0,0.99999905,0.9998342,1.0,1.0,0.9999987,0.99999976,1.0,0.9999998,0.9999985,0.99999994,0.99999994,0.9999978,0.99999917,0.99999976,0.99999684,1.0,0.9999994,0.9999998,0.99999994,0.99999255,0.9999996,0.99999994,0.9999995,1.0,0.9999998,1.0,0.999999,0.9999998,0.9999999,0.9999999,0.9999975,0.9999998,0.9999997,0.99999934,0.99999785,0.99999994,0.9999999,0.9999995,0.99999964,0.9999997,0.99999994,1.0,1.0,1.0,0.99999994,0.99999505,0.99999976,1.0,0.9999982,0.9999998,0.99999994,0.9999973,0.9999988,0.9999936,0.9999999,1.0,0.9999999,0.9999995,0.99999905,1.0,1.0,0.99999917,0.9999998,0.9999995,1.0,0.9999997,0.99999964,0.9999994,0.9999999,0.9999967,0.9999997,1.0,0.9999999,0.9999993,0.9999999,0.9999999,1.0,1.0,0.9999994,0.9999997,0.9999993,0.99999887,0.9999994,0.9999998,0.9999999,0.99999946,0.9999994,1.0,0.9999999,0.99999994,0.9999994,0.9999998,0.99999994,0.9999999,0.9999997,0.9999998,1.0,0.9999998,0.9999993,0.9999998,0.99999976,0.9999975,0.9999999,0.99999934,0.9999994,1.0,0.99999976,1.0,0.9999993,0.9999998,0.99999964,0.9999974,0.9999985,0.9999992,1.0,1.0,0.99999976,0.99999535,0.999999,0.99999475,1.0,0.99999464,0.99999994,0.9999998,0.99999994,0.9999999,0.9999996,1.0,0.9999992,0.9999992,0.9999999,0.9999999,0.9999999,0.9999995,1.0,1.0,0.99999994,0.9999999,0.9999999,0.9999998,0.9999997,0.99999946,0.9999999,0.9999997,0.99999857,0.9999989,0.9999996,0.9999998,Group3
Cell5,0.99995667,0.99995035,0.99996495,0.9999232,0.99997807,0.9999904,0.9999928,0.999956,0.9999971,0.9999989,0.99999106,0.99995273,0.99978936,0.99997574,0.99999386,0.99996245,0.9999826,0.99999785,0.9999938,0.99965936,0.99996334,0.99999297,0.9999951,0.9999929,0.9999873,0.9998814,0.99998057,0.99998736,0.99996895,0.9999996,0.9999943,0.9999229,0.9999982,0.9999782,0.99998903,0.9999929,0.99997723,0.99999696,0.99998605,0.9999976,0.9999907,0.9999948,0.99988335,0.9999645,0.99938357,0.999999,0.999966,0.99998856,0.9999902,0.99990714,0.99999434,0.9999624,0.998164,0.99999714,0.99999756,0.99994344,0.9999856,0.99999696,0.9999874,0.9999468,0.99999297,0.99999475,0.9999361,0.9999628,0.99998415,0.99991256,0.99999726,0.99996924,0.9999879,0.9999943,0.9998116,0.9999749,0.999992,0.99997604,0.9999978,0.9999878,0.99999624,0.9999546,0.99998575,0.9999923,0.9999953,0.9999135,0.99998724,0.99998397,0.99996746,0.9999336,0.99999446,0.9999906,0.9999738,0.999979,0.99998313,0.99999505,0.9999957,0.9999967,0.99999875,0.9999929,0.99986345,0.999986,0.99999905,0.9999295,0.99998724,0.9999929,0.999908,0.99995637,0.9998716,0.9999887,0.999994,0.99999,0.99997365,0.9999611,0.99999803,0.9999976,0.99996734,0.9999874,0.9999781,0.999998,0.99998015,0.9999802,0.9999733,0.9999901,0.9999042,0.9999843,0.9999988,0.99999535,0.999969,0.99999005,0.9999937,0.9999991,0.99999684,0.9999685,0.9999801,0.9999613,0.9999543,0.9999718,0.9999885,0.99999475,0.99997765,0.9999704,0.99999774,0.9999927,0.999992,0.99996924,0.99998784,0.99999523,0.9999903,0.9999812,0.9999887,0.9999967,0.9999871,0.99995935,0.9999881,0.9999822,0.99991053,0.99999076,0.99996513,0.9999725,0.99999493,0.99998665,0.9999972,0.9999692,0.9999892,0.99997866,0.99991083,0.9999443,0.9999574,0.9999963,0.99999946,0.999984,0.999865,0.9999599,0.99986404,0.9999988,0.9998811,0.999993,0.9999895,0.9999931,0.9999916,0.99997926,0.9999989,0.9999634,0.9999673,0.99998915,0.9999924,0.99999386,0.99997306,0.9999962,0.99999833,0.9999961,0.99999,0.9999923,0.99998754,0.99998045,0.999974,0.99999106,0.99998194,0.9999426,0.9999542,0.999982,0.99998736,Group1
Cell6,0.9999642,0.999945,0.9999934,0.99992794,0.99990106,0.99997455,0.9999481,0.9999306,0.9999731,0.9999971,0.9999836,0.99976194,0.999388,0.9999367,0.9999488,0.99997205,0.99970996,0.999826,0.99998677,0.99905676,0.9999732,0.99998885,0.9999677,0.9999807,0.9999846,0.9998133,0.9999323,0.9999743,0.9999879,0.99999666,0.9999633,0.99996996,0.99999595,0.99993485,0.99994594,0.9999707,0.9998845,0.999924,0.9999338,0.9999957,0.9999714,0.9999799,0.9995789,0.99994034,0.99835074,0.9999937,0.99987745,0.9999677,0.9999137,0.999973,0.99998015,0.999978,0.9953938,0.99999577,0.9999929,0.999746,0.99998945,0.99998593,0.99994415,0.9999552,0.99997574,0.999912,0.9999792,0.9999338,0.9999288,0.9999565,0.99998665,0.99988997,0.9999824,0.99998736,0.99959165,0.9999135,0.99991584,0.9999603,0.99995047,0.9999549,0.99999124,0.9998873,0.9999455,0.9999799,0.99999374,0.9997709,0.99997073,0.99999225,0.9999081,0.99996126,0.99998957,0.9999791,0.99994,0.9999423,0.99998915,0.99994725,0.99990225,0.99993044,0.99995244,0.9999781,0.999759,0.99998724,0.999985,0.9997345,0.9999506,0.9999828,0.99975413,0.99997604,0.99998236,0.99992734,0.99994004,0.9999526,0.9999344,0.9999545,0.99993014,0.99998045,0.9999852,0.99993557,0.99999005,0.99999034,0.9998778,0.9999693,0.99998057,0.9999713,0.999908,0.9999923,0.9999885,0.99999803,0.99997616,0.999991,0.9999231,0.9999739,0.99999577,0.99986917,0.99994254,0.99973553,0.99994284,0.9999755,0.9999846,0.9999549,0.99999356,0.9999227,0.99998796,0.9999896,0.9999416,0.9999367,0.99999154,0.99998045,0.9999191,0.9998981,0.99999666,0.99998355,0.9999567,0.99954975,0.9999614,0.9999226,0.9997028,0.999969,0.99978495,0.999981,0.99995625,0.9999842,0.9999852,0.9999821,0.99998885,0.99995947,0.9997678,0.99991596,0.9994266,0.9999952,0.9999728,0.9999261,0.9996833,0.999964,0.99985623,0.9999445,0.99997354,0.9999438,0.99998957,0.99996126,0.99998283,0.99998486,0.999987,0.99993,0.9999677,0.9999462,0.9999815,0.99989295,0.99990886,0.99996966,0.9999921,0.99998015,0.9999788,0.99999505,0.9999706,0.9999254,0.9999702,0.99990916,0.9999463,0.99985224,0.99991363,0.9999958,0.99996215,Group1
Cell7,0.9998899,0.9998617,0.99994665,0.9998075,0.9998897,0.99995667,0.9999519,0.9998591,0.9999766,0.99999374,0.99996436,0.9997716,0.999285,0.9999008,0.99995613,0.9999068,0.9998565,0.99996096,0.9999728,0.99891907,0.9999093,0.99997276,0.99996704,0.9999667,0.999958,0.9996574,0.9999098,0.9999495,0.9999378,0.99999624,0.9999624,0.9998592,0.99999094,0.99990535,0.9999388,0.9999611,0.99988097,0.9999653,0.9999251,0.99998915,0.99995553,0.99997133,0.99954474,0.99988097,0.9981836,0.9999922,0.9998494,0.999948,0.99993193,0.9998504,0.99997,0.99991435,0.9952846,0.9999882,0.9999869,0.9997425,0.9999607,0.999981,0.99993336,0.9998667,0.9999639,0.9999509,0.9998885,0.9998733,0.9999177,0.9998279,0.9999825,0.9998627,0.9999569,0.99997437,0.99941796,0.99988705,0.99993956,0.9999168,0.9999747,0.99993926,0.99998206,0.99982923,0.9999294,0.99996465,0.9999821,0.99968857,0.99994683,0.99996275,0.99986726,0.9998576,0.99997646,0.99996,0.9998986,0.9999113,0.99995685,0.9999604,0.9999542,0.9999651,0.9999817,0.9999651,0.9995949,0.9999586,0.99998957,0.99970555,0.9999358,0.9999679,0.99966973,0.9999044,0.99984735,0.99993086,0.99995387,0.9999443,0.9998951,0.9998867,0.9999735,0.9999812,0.9999312,0.9999299,0.9999519,0.99998677,0.99988717,0.99993163,0.9999319,0.99995387,0.9997632,0.9999633,0.9999892,0.99998826,0.9999206,0.99996954,0.99994826,0.99998754,0.9999875,0.9998519,0.99991393,0.9997868,0.9998659,0.9999237,0.9999601,0.9999613,0.99995834,0.9998814,0.99998474,0.999973,0.9999469,0.9998874,0.9999668,0.9999728,0.9999338,0.99989736,0.9999771,0.9999792,0.99993855,0.99973494,0.9999433,0.9999097,0.99965173,0.9999543,0.9998129,0.9999313,0.9999625,0.9999563,0.9999815,0.9999286,0.9999657,0.9999212,0.99968195,0.99982864,0.9997033,0.9999857,0.99999076,0.99991626,0.99955577,0.99989414,0.9996646,0.99998116,0.9998305,0.99995136,0.999967,0.9999576,0.99996495,0.99994564,0.9999894,0.9998719,0.9999087,0.9999393,0.9999658,0.99994266,0.99988043,0.9999718,0.99998885,0.99997556,0.99995846,0.99997866,0.9999474,0.99990636,0.9999216,0.9999338,0.9999203,0.99978656,0.99984425,0.99996835,0.9999419,Group1
Cell8,0.99998224,0.99997634,0.999993,0.99996495,0.99998087,0.9999939,0.99999285,0.99997544,0.99999696,0.9999994,0.9999953,0.99995375,0.9998207,0.99998355,0.99999356,0.9999855,0.9999723,0.99999386,0.9999966,0.9997052,0.999986,0.9999966,0.99999547,0.9999956,0.99999434,0.9999282,0.99998516,0.9999928,0.99999136,0.99999964,0.9999947,0.9999769,0.9999991,0.9999844,0.9999906,0.9999946,0.99997896,0.99999493,0.999988,0.99999887,0.99999374,0.99999624,0.9998951,0.9999799,0.9994488,0.9999992,0.9999724,0.99999243,0.99998903,0.9999754,0.99999607,0.99998707,0.9982566,0.99999875,0.99999857,0.99994683,0.99999493,0.99999774,0.9999896,0.9999776,0.9999951,0.9999924,0.99998266,0.99997824,0.9999866,0.9999702,0.9999979,0.9999753,0.99999416,0.99999684,0.9998619,0.99998057,0.9999904,0.99998695,0.99999654,0.99999076,0.9999979,0.9999684,0.9999889,0.9999953,0.999998,0.99993455,0.9999923,0.9999953,0.9999766,0.99997616,0.99999714,0.9999945,0.99998325,0.99998564,0.99999434,0.9999943,0.9999929,0.99999493,0.9999976,0.9999953,0.9999116,0.9999945,0.9999988,0.99993795,0.9999901,0.9999958,0.9999297,0.9999853,0.99997556,0.999989,0.9999931,0.9999916,0.9999825,0.99998134,0.99999624,0.9999977,0.99999017,0.99998885,0.9999936,0.9999985,0.9999801,0.99998975,0.9999901,0.99999344,0.99995494,0.9999954,0.9999988,0.99999887,0.9999881,0.99999624,0.999992,0.9999985,0.9999987,0.9999728,0.9999861,0.9999569,0.99997705,0.99998856,0.9999947,0.99999446,0.99999475,0.9999796,0.9999982,0.99999666,0.99999195,0.99998105,0.9999959,0.9999965,0.9999894,0.99998236,0.99999744,0.99999744,0.9999907,0.9999428,0.99999154,0.99998504,0.99992436,0.9999935,0.99996334,0.99999005,0.99999464,0.9999941,0.9999978,0.9999896,0.9999956,0.9999877,0.9999329,0.99996895,0.9999339,0.99999845,0.9999989,0.9999863,0.9999,0.999983,0.9999311,0.9999975,0.9999717,0.9999927,0.9999958,0.9999939,0.99999535,0.9999925,0.9999988,0.99997795,0.9999857,0.9999907,0.99999547,0.9999908,0.9999792,0.99999624,0.9999988,0.9999969,0.9999943,0.99999756,0.99999243,0.99998444,0.9999881,0.99998933,0.9999873,0.9999586,0.99997205,0.99999624,0.99999136,Group3
Cell9,0.99999976,0.99999976,0.9999998,0.99999946,0.99999994,1.0,1.0,0.99999976,1.0,1.0,1.0,0.99999976,0.9999977,0.99999994,1.0,0.9999998,1.0,1.0,1.0,0.9999951,0.9999998,1.0,1.0,1.0,0.99999994,0.99999905,0.99999994,1.0,0.9999999,1.0,1.0,0.99999946,1.0,0.99999994,1.0,1.0,0.99999994,1.0,0.99999994,1.0,1.0,1.0,0.99999905,0.9999998,0.9999878,1.0,0.9999999,1.0,1.0,0.9999993,1.0,0.9999998,0.99993426,1.0,1.0,0.9999997,1.0,1.0,1.0,0.9999997,1.0,1.0,0.9999996,0.9999998,1.0,0.99999934,1.0,0.9999999,1.0,1.0,0.99999803,0.99999994,1.0,0.99999994,1.0,1.0,1.0,0.99999976,0.99999994,1.0,1.0,0.9999994,1.0,0.9999999,0.9999999,0.9999996,1.0,1.0,0.9999999,0.99999994,0.9999999,1.0,1.0,1.0,1.0,1.0,0.9999988,0.99999994,1.0,0.9999996,0.99999994,1.0,0.99999934,0.99999976,0.9999988,1.0,1.0,1.0,0.9999999,0.9999998,1.0,1.0,0.9999999,0.99999994,0.99999994,1.0,0.99999994,0.99999994,0.9999999,1.0,0.9999993,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,0.9999999,0.99999994,0.9999998,0.99999976,0.9999999,1.0,1.0,0.99999994,0.9999999,1.0,1.0,1.0,0.9999999,0.99999994,1.0,1.0,1.0,1.0,1.0,0.99999994,0.9999998,1.0,0.9999999,0.9999994,1.0,0.9999999,0.9999999,1.0,1.0,1.0,0.9999999,1.0,0.99999994,0.9999994,0.9999997,0.9999998,1.0,1.0,1.0,0.9999988,0.9999998,0.99999875,1.0,0.999999,1.0,1.0,1.0,1.0,0.99999994,1.0,0.9999998,0.9999999,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999994,0.9999999,1.0,1.0,0.9999997,0.99999976,1.0,0.99999994,Group4
Cell10,0.9999998,0.99999964,1.0,0.99999946,0.9999996,0.99999994,0.9999999,0.9999996,0.99999994,1.0,0.99999994,0.9999985,0.9999918,0.9999997,0.9999999,0.9999999,0.99999887,0.99999976,1.0,0.9999837,0.9999999,1.0,0.99999994,0.99999994,0.9999999,0.99999815,0.99999976,0.99999994,0.9999999,1.0,0.99999994,0.99999976,1.0,0.99999976,0.9999998,0.99999994,0.9999995,0.9999999,0.99999976,1.0,0.99999994,0.99999994,0.9999958,0.9999997,0.99996126,1.0,0.99999934,0.9999999,0.99999976,0.99999976,0.99999994,0.9999999,0.999808,1.0,1.0,0.9999983,1.0,1.0,0.9999998,0.9999997,0.9999999,0.9999998,0.9999999,0.99999964,0.99999976,0.99999964,1.0,0.99999946,0.9999999,1.0,0.9999949,0.99999964,0.99999976,0.9999998,0.99999994,0.9999999,1.0,0.99999934,0.9999998,1.0,1.0,0.9999981,0.9999999,1.0,0.9999995,0.9999997,1.0,1.0,0.9999997,0.99999976,1.0,0.9999999,0.9999998,0.9999999,1.0,0.9999999,0.99999744,0.99999994,1.0,0.999998,0.9999998,0.99999994,0.99999785,0.9999999,0.9999998,0.99999976,0.9999999,0.9999999,0.9999997,0.99999976,0.99999994,1.0,0.99999994,0.9999998,0.99999994,1.0,0.9999995,0.9999999,0.99999994,0.99999994,0.9999992,1.0,1.0,1.0,0.9999999,1.0,0.9999998,1.0,1.0,0.99999934,0.99999976,0.9999985,0.99999964,0.9999999,1.0,0.9999999,1.0,0.99999964,1.0,1.0,0.9999999,0.9999997,1.0,1.0,0.99999976,0.9999996,1.0,1.0,0.9999999,0.9999974,0.9999999,0.9999997,0.99999744,0.99999994,0.99999887,0.99999994,0.99999994,1.0,1.0,0.99999994,1.0,0.9999998,0.99999803,0.99999946,0.99999654,1.0,1.0,0.99999976,0.99999666,0.9999998,0.9999985,1.0,0.99999976,0.9999999,1.0,0.99999994,1.0,0.9999999,1.0,0.99999964,0.9999998,0.9999998,1.0,0.99999976,0.9999996,1.0,1.0,1.0,1.0,1.0,0.99999994,0.9999997,0.9999999,0.99999976,0.9999998,0.999999,0.99999946,1.0,0.9999999,Group3
