,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,group
Cell1,6.8851423,6.9802656,8.1095,6.809328,7.7570343,7.7341223,8.322794,7.5024395,8.482628,9.988673,8.169934,7.513312,6.451509,7.132202,7.9613776,7.585372,7.2901974,8.191678,7.973683,5.828748,8.144208,8.694779,8.284006,9.235822,7.975222,6.9385915,7.642109,7.9399366,8.0198555,9.898739,8.19015,8.065878,9.493293,7.863781,8.3656645,8.505295,7.3744764,8.476554,7.7237144,9.897581,8.066564,8.746243,6.083677,7.38766,5.648833,8.612473,7.6061697,8.264358,7.693323,6.943905,8.668418,7.8980684,3.9882472,8.969284,8.80084,7.0130634,8.474476,8.922095,7.932205,7.967835,8.755826,8.358017,7.539448,7.4777355,7.381551,6.9325056,8.888049,7.234845,8.377318,8.406182,5.990467,7.19757,7.9969325,8.358055,7.986323,8.192911,9.172088,7.60618,7.9078135,8.104942,8.367873,6.263107,8.701492,8.512077,7.9990015,7.6930265,8.603598,8.477685,8.242491,7.7517004,8.513264,8.639743,8.230794,8.044132,8.684961,7.829567,6.3077817,7.7172832,8.745925,6.1147556,7.6608686,8.790716,6.714566,7.609109,7.3823357,8.164416,8.345421,7.8880053,7.3614817,7.418669,8.736737,9.300545,8.061577,7.4817696,8.004795,8.246975,7.4005194,8.711183,7.770056,8.118416,7.0905175,8.618058,9.352767,8.971379,7.7993073,8.391896,8.049156,8.937325,8.941539,7.7815146,7.840371,6.66559,7.6281157,7.775253,8.508746,8.334508,7.8516207,7.7626896,8.12239,8.256897,8.657913,8.189329,8.314377,8.494285,8.394074,7.6228185,8.911424,8.730295,7.2773695,6.919572,7.4982038,7.840917,6.4199104,7.5380425,7.1986485,8.659526,8.298686,8.695353,9.269926,7.5058527,8.627138,7.9062185,7.3573103,7.4836392,6.6230474,9.078815,8.912633,8.130759,6.0660553,7.8939424,6.5799913,9.345092,7.4075656,8.318565,7.5490437,8.66787,9.37768,7.6590753,8.908104,7.79163,7.5167418,7.7480316,9.029867,7.563388,7.1115117,8.048386,9.224049,9.031051,8.060977,8.450259,8.610617,7.2883253,7.6946335,8.219136,8.047553,7.324245,7.6182785,8.1176,7.8236003,Group1
Cell2,6.892226,6.987795,8.134615,6.814797,7.7808223,7.7509456,8.354328,7.511513,8.507027,10.051935,8.19885,7.537157,6.4491587,7.138866,7.979865,7.609717,7.299089,8.224865,7.9955535,5.8113117,8.176672,8.725807,8.3062935,9.290791,7.998363,6.9432755,7.6662574,7.9542336,8.0481825,9.964963,8.22154,8.100104,9.5382395,7.8893347,8.401517,8.545162,7.3912735,8.510651,7.7433195,9.962305,8.089482,8.78161,6.076648,7.401978,5.63437,8.644789,7.6227837,8.292225,7.7063355,6.96103,8.708932,7.920198,3.9339292,9.018829,8.8401165,7.027457,8.502901,8.961009,7.9644594,7.9968615,8.788125,8.390084,7.5633316,7.497853,7.3955216,6.9353523,8.926533,7.250002,8.409087,8.438676,5.9754186,7.2080665,8.021955,8.389358,8.004654,8.224298,9.228712,7.6177697,7.9281473,8.131576,8.399379,6.2483525,8.744236,8.544498,8.033044,7.7114706,8.644985,8.514812,8.278098,7.78038,8.545561,8.676528,8.257613,8.070138,8.720113,7.8458424,6.308752,7.737407,8.784702,6.1049347,7.681568,8.828723,6.717691,7.617981,7.396741,8.203304,8.377374,7.911643,7.3790016,7.4326606,8.775146,9.355615,8.081974,7.4952793,8.028326,8.279692,7.410936,8.754717,7.78544,8.153962,7.097221,8.658161,9.401018,9.020524,7.8223405,8.420663,8.081043,8.979658,8.987507,7.806336,7.8640385,6.666482,7.647592,7.787102,8.5401125,8.357749,7.8783,7.7882085,8.150789,8.289451,8.697407,8.213843,8.344013,8.523841,8.428848,7.637506,8.9572315,8.764319,7.284822,6.927257,7.508414,7.862373,6.420553,7.5529113,7.215435,8.692235,8.327272,8.729948,9.321817,7.515792,8.666763,7.9356937,7.3821964,7.5063562,6.6270485,9.122237,8.961241,8.148181,6.054444,7.9130125,6.5839944,9.405086,7.430151,8.349135,7.561641,8.712653,9.432529,7.6785097,8.948614,7.81036,7.533782,7.7694073,9.078547,7.58403,7.1201696,8.071106,9.262801,9.072676,8.082198,8.480283,8.647133,7.300531,7.7179117,8.245322,8.085601,7.340443,7.63174,8.142808,7.839973,Group4
Cell3,6.8718786,6.962326,8.081196,6.795164,7.7472315,7.70029,8.303893,7.4555407,8.426952,9.975702,8.151565,7.5198803,6.4323883,7.1010137,7.91858,7.588997,7.256705,8.187538,7.94248,5.795581,8.140562,8.649357,8.233756,9.242345,7.948579,6.9129777,7.6412487,7.8831887,8.009281,9.902595,8.17952,8.07389,9.445977,7.8533792,8.359764,8.504867,7.3643947,8.456859,7.7007766,9.89601,8.033049,8.713325,6.0717874,7.36761,5.6385064,8.57723,7.580055,8.235881,7.648215,6.96358,8.659541,7.8728304,3.9418283,8.97359,8.778641,7.018132,8.4341135,8.890528,7.9418445,7.963273,8.711018,8.338735,7.5444245,7.4729867,7.360633,6.9005547,8.857164,7.228007,8.355663,8.385274,5.955336,7.176108,7.9757485,8.335965,7.941297,8.182084,9.188914,7.5616326,7.8753405,8.082508,8.345881,6.210975,8.698602,8.483881,8.010776,7.6678634,8.6022215,8.469032,8.243858,7.7601967,8.484533,8.619086,8.200697,8.023429,8.655315,7.787394,6.310374,7.696674,8.725541,6.090562,7.6461134,8.764531,6.698089,7.5543957,7.36296,8.182996,8.326555,7.8689666,7.3549147,7.395366,8.715606,9.303152,8.019139,7.4525137,7.977622,8.237444,7.365306,8.710547,7.7285604,8.127786,7.062238,8.611011,9.326896,8.974075,7.7839327,8.358259,8.049693,8.917292,8.934561,7.773881,7.8245993,6.64417,7.6110444,7.7204447,8.4769,8.284408,7.8461537,7.7588615,8.105279,8.246108,8.645991,8.153525,8.289073,8.456758,8.382333,7.5885315,8.905856,8.693506,7.239447,6.90623,7.4557533,7.816996,6.4138656,7.5100417,7.2001896,8.622607,8.27057,8.662977,9.262905,7.461903,8.617741,7.907387,7.378045,7.488039,6.6158533,9.053393,8.917254,8.072819,6.0385213,7.857754,6.5756593,9.362808,7.416527,8.29641,7.511982,8.674692,9.374362,7.6397977,8.883319,7.7609797,7.4981184,7.7299767,9.0269785,7.5548873,7.089011,8.015346,9.171867,9.002204,8.021606,8.417368,8.590908,7.2671137,7.687099,8.18749,8.070801,7.315297,7.579794,8.089093,7.782183,Group4
Cell4,6.8813186,6.982527,8.143113,6.8048453,7.7670407,7.7654366,8.352043,7.5410767,8.54828,10.044961,8.195728,7.5037546,6.4445534,7.149414,8.00523,7.5798807,7.3125687,8.20501,8.007277,5.822395,8.156171,8.755276,8.340881,9.259814,8.004719,6.9469895,7.6417828,7.9960027,8.035671,9.938042,8.20933,8.065763,9.571038,7.8764052,8.383977,8.521369,7.377292,8.509513,7.744964,9.941775,8.104058,8.796418,6.063018,7.399758,5.6182995,8.662151,7.6280084,8.301138,7.734054,6.9114037,8.695315,7.924792,3.9580858,8.990098,8.842376,6.9951315,8.526105,8.974471,7.928016,7.977196,8.816954,8.388297,7.5318394,7.477732,7.3943152,6.946523,8.939143,7.232008,8.410121,8.43887,5.989037,7.207247,8.02191,8.390878,8.032679,8.212322,9.185511,7.644707,7.9412775,8.133151,8.400796,6.2823725,8.723613,8.553424,7.9941797,7.7156935,8.622443,8.500669,8.251826,7.7450347,8.555117,8.676747,8.268389,8.069591,8.730984,7.8702908,6.278372,7.7362995,8.784746,6.1058416,7.6734867,8.835663,6.7103343,7.6568975,7.393719,8.156651,8.375076,7.9089212,7.3608623,7.434315,8.776058,9.329341,8.107054,7.504032,8.035346,8.266264,7.426595,8.731449,7.8090076,8.1180935,7.104285,8.64232,9.408363,8.993692,7.815181,8.43583,8.055484,8.979553,8.972031,7.7900324,7.857402,6.66488,7.6421933,7.8263593,8.553332,8.392232,7.8595405,7.7673955,8.146119,8.277519,8.687362,8.231285,8.349259,8.543733,8.418228,7.6523795,8.940051,8.783668,7.3035026,6.9164896,7.532731,7.865337,6.4005017,7.5602636,7.187521,8.7116375,8.335808,8.744048,9.306844,7.5418873,8.653704,7.909193,7.331892,7.475468,6.6086307,9.1286745,8.93206,8.191618,6.059218,7.9305,6.562146,9.361074,7.3937836,8.350678,7.5796824,8.680542,9.4133415,7.675753,8.954068,7.8211827,7.5300593,7.765333,9.0583725,7.568447,7.1204553,8.085097,9.3009615,9.08308,8.103665,8.494653,8.646194,7.2995415,7.701371,8.257907,8.033288,7.3250575,7.6515527,8.151556,7.8635225,Group3
Cell5,6.7825627,6.915584,8.159823,6.71087,7.658226,7.8127704,8.310567,7.670185,8.748568,9.988701,8.148607,7.2848396,6.37774,7.1709247,8.114199,7.3811646,7.3513412,8.06553,8.040914,5.838144,8.0127945,8.891828,8.502995,9.065832,8.008689,6.929425,7.473089,8.195509,7.9356356,9.770914,8.112094,7.8453574,9.731344,7.773016,8.258455,8.362205,7.264817,8.475405,7.7212067,9.809971,8.15408,8.852273,5.9438496,7.3523865,5.4827323,8.731233,7.623253,8.321178,7.854236,6.5989914,8.593507,7.9185047,4.0338016,8.806743,8.829222,6.7788253,8.6265545,9.024058,7.695093,7.837265,8.950379,8.349809,7.3236628,7.332007,7.3525105,6.970141,8.98379,7.096415,8.387361,8.411659,6.019885,7.166349,7.99064,8.370674,8.156515,8.1164055,8.923513,7.7599897,7.9822497,8.111566,8.380087,6.427832,8.58329,8.57519,7.748313,7.705986,8.4708605,8.39467,8.077212,7.516975,8.580374,8.651237,8.298505,8.035863,8.764662,7.973307,6.0681047,7.697286,8.758974,6.067246,7.5955405,8.848316,6.6300683,7.8384247,7.34188,7.868831,8.333689,7.862122,7.225313,7.40857,8.755029,9.161788,8.215112,7.5179543,8.043187,8.162679,7.478154,8.57658,7.90676,7.8895917,7.106253,8.527876,9.4270115,8.820851,7.743255,8.491302,7.883515,8.954241,8.861765,7.6674385,7.7886477,6.616099,7.5788627,8.010879,8.598815,8.554098,7.7238407,7.619749,8.0901165,8.182275,8.605232,8.297972,8.3493595,8.626004,8.331149,7.701084,8.820167,8.8645115,7.370941,6.818741,7.6328106,7.849656,6.2480845,7.5668178,6.996843,8.792309,8.353993,8.795646,9.201552,7.651842,8.554696,7.731063,7.0184927,7.2702518,6.466604,9.140477,8.745843,8.401623,6.041676,7.9954653,6.400867,9.095764,7.1577716,8.330336,7.6454024,8.476487,9.28548,7.6272326,8.95929,7.848618,7.4752464,7.7101264,8.9227295,7.4483776,7.085091,8.13177,9.489107,9.116496,8.191745,8.546102,8.614088,7.2583117,7.5768867,8.297944,7.713402,7.2044816,7.7275286,8.169703,7.9615307,Group1
Cell6,6.872586,6.971109,8.123976,6.795777,7.7584786,7.7440658,8.337524,7.513162,8.513782,10.030406,8.181788,7.50442,6.433522,7.1306167,7.9786253,7.5788326,7.2922344,8.198641,7.986851,5.8050494,8.150157,8.725854,8.309669,9.257137,7.986728,6.9315467,7.638226,7.961976,8.026191,9.932661,8.1994915,8.066136,9.539065,7.8673177,8.37633,8.51638,7.3693185,8.494273,7.72944,9.933494,8.082216,8.773586,6.056564,7.386426,5.613519,8.638333,7.6110115,8.2816105,7.706729,6.920177,8.685493,7.907702,3.9371972,8.986749,8.825171,6.995959,8.499814,8.952023,7.9295173,7.971032,8.787743,8.373507,7.5316033,7.472412,7.380531,6.927702,8.917126,7.2260385,8.394025,8.423118,5.9703298,7.1935263,8.006798,8.374585,8.004833,8.2023735,9.188468,7.6178503,7.920298,8.117163,8.384538,6.254046,8.716929,8.533568,7.996694,7.699039,8.616758,8.491334,8.248305,7.746272,8.534973,8.660679,8.248059,8.054646,8.71002,7.8442736,6.2792325,7.722034,8.7686205,6.0927453,7.6624613,8.816346,6.7002106,7.6245966,7.3807583,8.162486,8.360535,7.8951664,7.3547935,7.4191833,8.759549,9.324445,8.080448,7.485595,8.017015,8.256905,7.405128,8.725954,7.7834682,8.119092,7.0871234,8.633574,9.388132,8.989477,7.803557,8.413297,8.05189,8.963245,8.962698,7.7825837,7.845487,6.6522064,7.6299925,7.793688,8.53153,8.361001,7.8531165,7.762019,8.132944,8.2674675,8.675932,8.207981,8.331332,8.51892,8.407402,7.6309795,8.931531,8.758795,7.2808228,6.9076486,7.507204,7.849061,6.3965263,7.5423894,7.1861033,8.686832,8.316406,8.721604,9.296856,7.515543,8.6436825,7.9062133,7.340436,7.4750304,6.603649,9.109212,8.928988,8.156586,6.044429,7.90756,6.5587783,9.364175,7.3959327,8.334427,7.55694,8.67912,9.405128,7.662312,8.935274,7.8014026,7.517242,7.7523746,9.051058,7.5609555,7.1063447,8.063543,9.266904,9.061878,8.078701,8.472405,8.630691,7.28578,7.6941433,8.236771,8.041846,7.317787,7.6279154,8.132294,7.837921,Group1
Cell7,6.874532,6.9604163,8.064808,6.797386,7.748785,7.6808267,8.294761,7.425689,8.3847275,9.963869,8.143623,7.5369864,6.4319515,7.086733,7.890154,7.603173,7.2396483,8.192007,7.92419,5.7857523,8.145691,8.61514,8.197246,9.251229,7.9342904,6.904519,7.651211,7.842599,8.008909,9.905985,8.178289,8.08964,9.4063015,7.8538995,8.361857,8.511108,7.3675213,8.446298,7.690941,9.894634,8.012284,8.6898575,6.0794563,7.36191,5.649615,8.552355,7.567985,8.218608,7.6190305,6.994915,8.65758,7.860144,3.9290915,8.981791,8.764337,7.036297,8.405391,8.86741,7.959661,7.9684343,8.67705,8.329099,7.560007,7.4803114,7.354198,6.8865523,8.83481,7.2346478,8.34385,8.3739805,5.943013,7.1700687,7.9661565,8.323861,7.910794,8.180668,9.207162,7.533355,7.8562455,8.071304,8.333818,6.18241,8.701748,8.465676,8.030152,7.656217,8.607163,8.468175,8.252927,7.7778654,8.465854,8.606905,8.1821575,8.014036,8.635015,7.760143,6.3297105,7.6889157,8.713096,6.0872645,7.6437707,8.746772,6.6987267,7.5171657,7.3578777,8.207569,8.317348,7.8617783,7.361193,7.386658,8.702545,9.308285,7.9905534,7.4382725,7.9627266,8.236912,7.346212,8.715631,7.702188,8.144481,7.0507135,8.610898,9.306742,8.980851,7.7803864,8.335843,8.05895,8.904244,8.932971,7.777226,7.820509,6.640695,7.6068206,7.682343,8.4555025,8.247787,7.851071,7.7656426,8.098673,8.24442,8.641402,8.130165,8.274351,8.430434,8.379156,7.569196,8.905651,8.66671,7.2185564,6.90865,7.4298334,7.805739,6.4250755,7.496637,7.2143703,8.596034,8.25345,8.640228,9.259718,7.434628,8.615517,7.9178786,7.4083476,7.503379,6.6250877,9.034937,8.926002,8.030273,6.032519,7.8354597,6.5876145,9.381016,7.4362392,8.284436,7.490557,8.686538,9.3739195,7.6334877,8.866231,7.7440405,7.4930587,7.724318,9.028566,7.558507,7.0824676,7.9950843,9.129191,8.980963,7.995719,8.39533,8.5796995,7.2608643,7.6909447,8.1676445,8.100034,7.319659,7.55679,8.072489,7.755625,Group1
Cell8,6.8957095,6.977141,8.080504,6.8167996,7.7823286,7.6865635,8.323306,7.4141946,8.372592,10.015262,8.171308,7.586979,6.442229,7.0897093,7.887787,7.6504803,7.2415004,8.236238,7.9352527,5.7739077,8.190032,8.616817,8.189426,9.317754,7.9506006,6.9120317,7.6939154,7.8240085,8.044098,9.975829,8.215054,8.146608,9.413494,7.887783,8.405742,8.562619,7.3970623,8.475412,7.7090836,9.958237,8.021585,8.7063875,6.0944943,7.380133,5.662261,8.564928,7.5813503,8.235598,7.6114283,7.0544734,8.700961,7.8773265,3.8843129,9.043203,8.793696,7.0797524,8.410758,8.887182,8.017214,8.010025,8.680022,8.357546,7.6084247,7.516969,7.371366,6.886731,8.85504,7.266568,8.369759,8.401024,5.9304714,7.184842,7.9889436,8.349083,7.9061074,8.217233,9.284904,7.5255585,7.865214,8.093697,8.35925,6.1529746,8.752319,8.485371,8.090797,7.671511,8.658532,8.509976,8.303968,7.832368,8.484948,8.636486,8.196963,8.03783,8.654712,7.757222,6.363532,7.7096715,8.744013,6.0884757,7.670704,8.771459,6.7145724,7.4977255,7.3768244,8.27762,8.346151,7.8859806,7.3946447,7.401446,8.732515,9.370937,7.9895635,7.4468336,7.9787154,8.275485,7.3471503,8.768885,7.699473,8.203515,7.056628,8.655894,9.337201,9.040435,7.80794,8.348136,8.107176,8.937406,8.98116,7.813496,7.8480034,6.6503944,7.6307797,7.664394,8.470976,8.240626,7.890504,7.8061013,8.127344,8.281645,8.681187,8.1380205,8.295464,8.439245,8.416607,7.5733395,8.95517,8.678641,7.2151995,6.9300685,7.423405,7.823883,6.450061,7.5071807,7.2555623,8.607136,8.271184,8.656891,9.311021,7.4265513,8.657903,7.9654555,7.4731026,7.550596,6.650709,9.063274,8.98723,8.012151,6.029426,7.8400292,6.616107,9.461442,7.487962,8.309203,7.4908037,8.747938,9.4305105,7.655211,8.893654,7.753984,7.5141625,7.748302,9.082304,7.591682,7.0952196,8.004756,9.128205,9.00491,7.998244,8.409041,8.61009,7.2767987,7.726493,8.180559,8.174317,7.350018,7.5560694,8.08803,7.753515,Group3
Cell9,6.7933283,6.922013,8.151024,6.721376,7.6664405,7.801826,8.308017,7.650163,8.715505,9.980728,8.147418,7.307693,6.386452,7.1657834,8.094665,7.401213,7.343384,8.075636,8.030617,5.839382,8.023587,8.865703,8.475504,9.078119,8.002045,6.9299445,7.489188,8.164903,7.941624,9.777006,8.116997,7.8659916,9.698816,7.780097,8.266084,8.373375,7.2751465,8.471277,7.719075,9.811711,8.141359,8.835877,5.9606185,7.354629,5.503415,8.713787,7.6192894,8.311295,7.834485,6.6358523,8.596893,7.9134607,4.0356493,8.818878,8.821099,6.8035326,8.605841,9.00767,7.717852,7.8484,8.924375,8.346736,7.3450775,7.3459883,7.354093,6.965608,8.96816,7.1102033,8.382264,8.406986,6.018558,7.16862,7.9882474,8.365347,8.13504,8.121134,8.944467,7.741222,7.971335,8.10751,8.374779,6.411184,8.591283,8.564016,7.7723775,7.7022557,8.480668,8.399404,8.091432,7.539919,8.568765,8.645338,8.287525,8.033568,8.751267,7.955081,6.0951347,7.6970644,8.752646,6.0739427,7.600366,8.837055,6.6392956,7.811474,7.344697,7.8973503,8.331029,7.8621182,7.238545,7.408011,8.748156,9.170534,8.195255,7.5122285,8.035936,8.1681185,7.46814,8.586325,7.8894415,7.9109955,7.1037035,8.533041,9.412566,8.831681,7.746736,8.476494,7.8982472,8.947024,8.865007,7.6772456,7.7915587,6.621656,7.582028,7.9828367,8.58473,8.526418,7.734959,7.6327276,8.090229,8.186643,8.606237,8.282661,8.341718,8.607446,8.333913,7.690455,8.824726,8.845103,7.359504,6.8292327,7.6163874,7.8460193,6.2674923,7.561756,7.017582,8.773229,8.34419,8.779996,9.202753,7.6341677,8.557918,7.747177,7.053677,7.2915444,6.4838467,9.128067,8.758578,8.368892,6.045988,7.9816513,6.420671,9.116373,7.1831937,8.325197,7.6329956,8.492487,9.288995,7.6284366,8.948435,7.839878,7.4778457,7.711768,8.928718,7.4588223,7.0870543,8.119541,9.454317,9.101628,8.174355,8.531536,8.60913,7.260229,7.587305,8.285791,7.746384,7.2160287,7.713556,8.16069,7.943948,Group4
Cell10,6.935092,7.0128813,8.104157,6.855892,7.820286,7.708046,8.352514,7.4276767,8.375734,10.041277,8.2015505,7.6372957,6.479467,7.115647,7.902091,7.698451,7.265158,8.276201,7.957502,5.804179,8.230544,8.626105,8.19718,9.360509,7.9759874,6.942662,7.7385435,7.8287835,8.080375,10.013845,8.250547,8.195505,9.417985,7.9248614,8.44373,8.603773,7.436501,8.503401,7.7381263,9.992516,8.041834,8.724077,6.138329,7.4126377,5.7090745,8.581598,7.6087155,8.258457,7.625311,7.11632,8.735573,7.9040203,3.9134898,9.085594,8.81854,7.1312213,8.4244995,8.905032,8.067816,8.050675,8.689466,8.386337,7.6575294,7.559634,7.4032974,6.9130154,8.873511,7.308854,8.39683,8.428483,5.958681,7.2172036,8.018002,8.375937,7.918765,8.25258,9.335045,7.5402093,7.886874,8.12142,8.38613,6.1682653,8.790917,8.50734,8.142581,7.699153,8.698602,8.545578,8.347509,7.8829713,8.506544,8.663098,8.218852,8.067013,8.674924,7.7725344,6.4163766,7.740348,8.7703495,6.1236863,7.7056665,8.793597,6.7524834,7.5053506,7.409817,8.333376,8.375287,7.916994,7.436564,7.4315705,8.758375,9.410707,8.003677,7.472576,8.003608,8.311489,7.369139,8.808995,7.715512,8.2531185,7.084755,8.691989,9.357099,9.081706,7.84187,8.366878,8.15099,8.963147,9.015888,7.8528433,7.8814793,6.685111,7.664288,7.6712275,8.490441,8.248261,7.931039,7.8481555,8.158665,8.316737,8.713744,8.156153,8.320292,8.454856,8.450442,7.5949945,8.991003,8.693728,7.235857,6.9692464,7.4399743,7.8517356,6.4964566,7.533543,7.3037863,8.622444,8.294142,8.675176,9.344284,7.4420524,8.692335,8.010328,7.5338736,7.599547,6.6954246,9.08468,9.0300865,8.015269,6.0625463,7.859188,6.6629844,9.51144,7.5403914,8.336185,7.5108676,8.793382,9.465857,7.6870613,8.9162445,7.7774096,7.547086,7.7806063,9.119468,7.631385,7.1272407,8.025411,9.130515,9.024163,8.014476,8.428042,8.637485,7.308936,7.766289,8.201429,8.233805,7.390458,7.574848,8.111509,7.769375,Group3
