,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,group
Cell1,0.99995464,0.9999783,0.99999994,0.99994886,0.99999994,0.99999994,1.0,0.9999999,1.0,1.0,1.0,0.99998754,0.999963,0.99996847,0.99999994,0.9999999,0.9999999,1.0,0.99999994,0.9999202,1.0,1.0,1.0,1.0,0.99999994,0.99997365,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.99998224,1.0,0.99999994,1.0,1.0,1.0,0.9998762,0.99998504,0.9998026,1.0,0.999978,1.0,1.0,0.9999426,1.0,0.9999999,0.99944407,1.0,1.0,0.9999761,1.0,1.0,0.9999999,1.0,1.0,1.0,0.9999998,0.9999999,0.9999796,0.9999663,1.0,0.99997747,1.0,1.0,0.9999426,0.9999826,0.99999994,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.9999526,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,0.99999994,1.0,1.0,0.99994105,0.99999994,1.0,0.99994034,0.9999999,1.0,0.99993247,0.99999994,0.9999998,0.99999994,1.0,0.99999994,0.99996716,0.9999999,1.0,1.0,0.99999994,0.9999999,0.99999994,1.0,0.9999999,1.0,0.9999999,0.9999999,0.9999811,1.0,1.0,1.0,0.99999994,1.0,0.9999999,1.0,1.0,0.99999994,0.99999994,0.9999661,0.9999999,1.0,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.99998504,0.99997216,0.9999999,1.0,0.9999544,0.99999994,0.999992,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.99995583,0.9999999,0.99994713,1.0,1.0,1.0,0.99994993,0.99999994,0.9999703,1.0,0.99997145,1.0,0.99999994,1.0,1.0,0.99999994,1.0,1.0,0.9999999,0.99999994,1.0,0.9999999,0.9999292,1.0,1.0,1.0,1.0,1.0,1.0,0.99997294,0.9999999,1.0,0.9999999,0.99998915,0.99999994,1.0,1.0,Group1
Cell2,0.9999999,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.9999999,1.0,1.0,1.0,1.0,1.0,0.99999976,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,1.0,0.999999,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.99999446,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,0.9999999,1.0,1.0,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,0.9999999,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group4
Cell3,0.99864703,0.9991639,0.9999884,0.99853736,0.9999792,0.99998057,0.9999912,0.99997365,0.9999928,0.99999917,0.99998933,0.999417,0.9988145,0.99893296,0.99998826,0.9999752,0.99996775,0.99999034,0.99998736,0.99804485,0.9999901,0.99999595,0.9999925,0.9999974,0.9999852,0.9989939,0.9999715,0.9999884,0.999986,0.9999992,0.9999895,0.99998873,0.9999988,0.9999831,0.9999923,0.9999931,0.99926484,0.9999926,0.999978,0.9999991,0.99998873,0.999996,0.99739844,0.99866176,0.9964761,0.9999951,0.9991556,0.9999905,0.9999831,0.99842256,0.9999936,0.9999848,0.99309736,0.99999636,0.9999957,0.9991085,0.9999935,0.9999968,0.9999824,0.9999838,0.9999964,0.99999124,0.9999672,0.9999691,0.9991959,0.9988853,0.9999964,0.99914265,0.99999064,0.9999917,0.9984231,0.9992756,0.9999856,0.9999923,0.9999897,0.99998945,0.99999726,0.99998295,0.9999869,0.9999898,0.9999925,0.99860764,0.9999954,0.99999326,0.99998206,0.99998075,0.99999243,0.99999255,0.9999892,0.99997735,0.99999505,0.9999946,0.9999921,0.9999872,0.9999959,0.9999845,0.9983954,0.99998003,0.9999956,0.9983825,0.9999747,0.9999956,0.9982463,0.9999799,0.99996716,0.99998724,0.99999166,0.99998665,0.99890333,0.99997056,0.99999547,0.9999978,0.9999883,0.9999729,0.99998695,0.99999076,0.9999723,0.99999475,0.99998266,0.99998355,0.99923575,0.9999934,0.99999815,0.99999624,0.99998116,0.9999942,0.9999827,0.9999969,0.9999965,0.9999786,0.99997896,0.9988804,0.9999743,0.9999843,0.99999404,0.9999927,0.99997914,0.99997836,0.99998873,0.9999908,0.99999493,0.9999894,0.9999922,0.9999935,0.99999356,0.9999769,0.99999535,0.9999958,0.9990876,0.99901557,0.9999688,0.9999851,0.99864256,0.9999772,0.999564,0.9999954,0.99999255,0.9999951,0.9999974,0.9999766,0.99999505,0.9999838,0.9986699,0.9999676,0.9985052,0.99999714,0.9999963,0.9999913,0.9985577,0.9999852,0.9989732,0.9999979,0.9989989,0.9999909,0.9999805,0.99999464,0.99999774,0.9999805,0.9999964,0.9999834,0.99997336,0.99997765,0.9999969,0.99997556,0.99819213,0.9999889,0.9999983,0.9999972,0.999988,0.99999386,0.9999948,0.9990343,0.99997336,0.99998903,0.99998504,0.9994679,0.999978,0.9999907,0.99998236,Group4
Cell4,0.9999998,0.99999994,1.0,0.99999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,0.9999999,1.0,1.0,1.0,1.0,1.0,0.9999995,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,0.99999905,0.9999998,0.999998,1.0,0.99999994,1.0,1.0,0.9999997,1.0,1.0,0.99999005,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.9999999,1.0,0.99999994,1.0,1.0,0.9999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997,1.0,1.0,0.9999997,1.0,1.0,0.99999964,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.9999999,1.0,1.0,0.9999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998,1.0,0.99999976,1.0,1.0,1.0,0.99999976,1.0,0.9999999,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999996,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group3
Cell5,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997,0.99999994,0.99999934,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.9999963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.99999994,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group1
Cell6,0.9997503,0.9998642,0.9999994,0.99972445,0.99999875,0.9999988,0.9999996,0.9999983,0.99999964,1.0,0.99999946,0.999914,0.99978876,0.9998151,0.9999994,0.9999984,0.9999978,0.9999995,0.99999934,0.999602,0.9999995,0.9999998,0.99999964,0.9999999,0.99999917,0.9998308,0.9999981,0.9999994,0.9999992,1.0,0.99999946,0.9999994,0.99999994,0.99999905,0.99999964,0.9999997,0.99988467,0.99999964,0.9999986,1.0,0.9999994,0.9999998,0.99942845,0.99979323,0.99916035,0.9999998,0.99986255,0.9999995,0.99999905,0.99969673,0.9999997,0.99999917,0.9980287,0.9999999,0.9999998,0.9998527,0.9999997,0.9999999,0.999999,0.99999905,0.9999999,0.9999996,0.99999774,0.9999979,0.9998708,0.9998046,0.9999999,0.99985987,0.9999995,0.9999996,0.9996969,0.99988675,0.9999992,0.99999964,0.99999946,0.99999946,0.9999999,0.999999,0.9999993,0.99999946,0.99999964,0.9997411,0.9999998,0.9999997,0.9999989,0.99999887,0.99999964,0.99999964,0.99999946,0.99999857,0.9999998,0.99999976,0.99999964,0.9999993,0.9999998,0.9999991,0.9996901,0.9999988,0.9999998,0.99968696,0.9999984,0.9999998,0.9996532,0.9999988,0.99999774,0.99999934,0.9999996,0.9999993,0.9998086,0.99999803,0.9999998,0.99999994,0.9999994,0.9999982,0.9999993,0.9999995,0.99999815,0.99999976,0.999999,0.99999905,0.9998788,0.9999997,0.9999999,0.9999999,0.99999887,0.99999976,0.999999,0.9999999,0.9999999,0.9999987,0.9999987,0.99980354,0.99999833,0.9999991,0.99999976,0.99999964,0.99999875,0.9999987,0.9999994,0.9999995,0.99999976,0.99999946,0.99999964,0.9999997,0.9999997,0.99999857,0.9999998,0.9999998,0.9998601,0.99983305,0.9999979,0.99999917,0.9997493,0.99999857,0.99994045,0.9999998,0.99999964,0.9999998,0.9999999,0.9999985,0.9999998,0.99999905,0.9997557,0.9999978,0.9997167,0.9999999,0.9999999,0.9999996,0.9997293,0.99999917,0.9998239,0.99999994,0.9998295,0.9999995,0.9999988,0.99999976,0.99999994,0.9999988,0.9999999,0.99999905,0.9999983,0.9999986,0.9999999,0.99999845,0.9996396,0.9999994,0.9999999,0.9999999,0.99999934,0.9999997,0.99999976,0.9998371,0.9999983,0.9999994,0.99999917,0.99992335,0.9999986,0.9999995,0.999999,Group1
Cell7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Group1
Cell8,0.9999933,0.99999726,1.0,0.9999923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999857,0.99999475,0.99999565,1.0,1.0,1.0,1.0,1.0,0.9999869,1.0,1.0,1.0,1.0,1.0,0.9999961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999978,1.0,1.0,1.0,1.0,1.0,0.9999778,0.9999939,0.99996126,1.0,0.9999972,1.0,1.0,0.9999912,1.0,1.0,0.99986655,1.0,1.0,0.9999969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999744,0.9999953,1.0,0.9999971,1.0,1.0,0.9999912,0.99999785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999909,1.0,1.0,0.99999076,1.0,1.0,0.9999893,1.0,1.0,1.0,1.0,1.0,0.99999547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999684,0.99999624,1.0,1.0,0.99999326,1.0,0.99999917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999935,1.0,0.99999195,1.0,1.0,1.0,0.9999925,1.0,0.99999595,1.0,0.9999961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999886,1.0,1.0,1.0,1.0,1.0,1.0,0.9999964,1.0,1.0,1.0,0.9999988,1.0,1.0,1.0,Group3
Cell9,0.9998733,0.99993455,0.9999998,0.999859,0.9999996,0.99999964,0.9999999,0.9999994,0.9999999,1.0,0.9999998,0.9999601,0.9998943,0.99990857,0.9999998,0.99999946,0.9999992,0.9999999,0.9999998,0.9997899,0.9999999,1.0,0.9999999,1.0,0.99999976,0.9999169,0.99999934,0.9999998,0.99999976,1.0,0.9999998,0.9999998,1.0,0.9999997,0.9999999,0.9999999,0.99994516,0.9999999,0.9999996,1.0,0.9999998,0.99999994,0.99968886,0.99989694,0.9995277,0.9999999,0.99993366,0.9999999,0.9999997,0.99984354,0.99999994,0.9999997,0.99880743,1.0,1.0,0.99992853,0.99999994,0.99999994,0.9999997,0.9999997,1.0,0.9999999,0.9999992,0.9999993,0.999938,0.9999029,1.0,0.9999323,0.9999999,0.9999999,0.99984366,0.9999463,0.99999976,0.9999999,0.9999998,0.9999998,1.0,0.9999997,0.99999976,0.9999998,0.9999999,0.9998682,0.9999999,0.99999994,0.99999964,0.99999964,0.9999999,0.9999999,0.9999998,0.9999995,0.9999999,0.99999994,0.9999999,0.99999976,0.99999994,0.9999997,0.99983984,0.9999996,1.0,0.9998381,0.99999946,1.0,0.99981904,0.9999996,0.9999992,0.99999976,0.9999999,0.99999976,0.99990505,0.99999934,1.0,1.0,0.9999998,0.9999994,0.99999976,0.9999999,0.9999994,0.99999994,0.9999997,0.9999997,0.9999422,0.99999994,1.0,1.0,0.99999964,0.99999994,0.9999997,0.99999994,0.99999994,0.9999996,0.9999996,0.9999023,0.99999946,0.9999997,0.99999994,0.9999999,0.9999996,0.9999996,0.9999998,0.9999999,0.9999999,0.9999998,0.9999999,0.99999994,0.99999994,0.9999995,0.9999999,0.9999999,0.99993247,0.99991816,0.9999993,0.99999976,0.99987274,0.9999995,0.99997324,1.0,0.9999999,0.9999999,1.0,0.9999995,0.9999999,0.9999997,0.99987626,0.9999992,0.9998547,1.0,1.0,0.9999999,0.99986166,0.99999976,0.9999133,1.0,0.9999162,0.9999999,0.99999964,0.99999994,1.0,0.99999964,1.0,0.9999997,0.9999994,0.9999995,1.0,0.99999946,0.99981135,0.9999998,1.0,1.0,0.9999998,0.99999994,0.99999994,0.99992025,0.9999994,0.9999998,0.99999976,0.99996483,0.9999996,0.9999999,0.99999964,Group4
Cell10,0.99929273,0.9995833,0.9999962,0.99922943,0.9999928,0.9999933,0.9999972,0.99999064,0.99999774,0.9999998,0.99999654,0.99971956,0.99938834,0.99945515,0.9999962,0.9999913,0.9999883,0.9999969,0.9999958,0.9989399,0.99999684,0.9999988,0.9999977,0.9999993,0.99999505,0.9995212,0.9999898,0.9999962,0.99999535,0.9999998,0.9999966,0.9999963,0.9999997,0.9999943,0.99999756,0.99999785,0.9996382,0.9999977,0.9999924,0.99999976,0.9999963,0.9999988,0.9985487,0.99968624,0.99797374,0.9999985,0.9995787,0.99999696,0.9999943,0.99916273,0.99999803,0.9999949,0.9957531,0.9999989,0.99999875,0.9995528,0.999998,0.99999905,0.99999404,0.9999945,0.9999989,0.9999972,0.99998814,0.99998885,0.99960077,0.99942833,0.9999989,0.99957156,0.999997,0.9999974,0.99916303,0.999644,0.9999952,0.9999976,0.99999666,0.9999966,0.9999992,0.9999942,0.99999565,0.9999967,0.9999976,0.9992701,0.9999986,0.9999979,0.99999386,0.9999934,0.9999976,0.9999977,0.9999965,0.9999921,0.9999985,0.99999833,0.9999975,0.99999577,0.9999988,0.9999948,0.9991468,0.99999315,0.9999987,0.99913937,0.99999106,0.9999987,0.9990593,0.9999931,0.9999881,0.99999577,0.9999974,0.9999956,0.9994385,0.99998945,0.9999986,0.9999994,0.9999962,0.99999034,0.9999957,0.9999971,0.9999901,0.9999984,0.9999941,0.99999446,0.9996224,0.999998,0.9999995,0.9999989,0.99999356,0.9999982,0.9999941,0.9999991,0.999999,0.99999255,0.99999267,0.9994256,0.9999909,0.9999947,0.99999815,0.99999774,0.9999928,0.9999925,0.9999963,0.9999971,0.99999845,0.99999654,0.99999756,0.999998,0.99999803,0.9999919,0.9999986,0.99999875,0.99968296,0.99950135,0.9999888,0.999995,0.99929017,0.999992,0.9997962,0.9999986,0.9999977,0.9999985,0.9999993,0.9999918,0.9999985,0.9999945,0.99930584,0.99998826,0.9992108,0.99999917,0.9999989,0.99999726,0.99924123,0.99999505,0.9994777,0.9999994,0.99949205,0.9999971,0.99999326,0.9999984,0.99999934,0.99999326,0.9999989,0.99999434,0.9999905,0.9999922,0.9999991,0.9999914,0.9990273,0.99999636,0.9999995,0.9999992,0.99999607,0.9999981,0.99999845,0.9995117,0.9999906,0.9999964,0.999995,0.9997464,0.9999923,0.999997,0.999994,Group3
