,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene176,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,group
Cell1,6.9387813,6.918875,8.210021,7.1094794,7.702575,7.840272,8.432819,7.5269237,8.538856,9.949155,8.294842,7.4503617,6.746385,7.640864,8.190088,7.5873756,7.458434,8.13353,8.154508,5.4751005,8.210641,8.973361,8.55026,9.27115,8.045882,6.727802,7.5208073,8.184421,8.144385,10.053322,8.336478,8.106325,9.793599,7.8058224,8.519517,8.402545,7.3691535,8.397626,7.766422,10.051146,8.22889,8.898436,6.1446533,7.4963536,6.0300074,8.866831,8.061298,8.245297,7.931005,7.1023107,8.641057,7.9681025,4.6670175,9.00445,8.875866,7.0466347,8.60665,8.986584,7.952308,7.9906797,9.037055,8.365474,7.335093,7.504456,7.9488153,6.766612,9.117103,7.57008,8.334176,8.40014,6.529197,7.229511,7.978057,8.525473,8.287613,8.19987,9.184207,7.8558273,8.096262,8.322472,8.509582,6.1518126,8.76908,8.596208,7.9074903,7.7956786,8.558857,8.510035,8.196259,7.609542,8.800568,8.540661,8.402217,8.101,9.0305805,7.949944,6.1815534,7.760619,8.903389,5.969827,7.5873914,8.900461,7.0498548,7.655633,7.5191975,8.00572,8.349661,8.022611,7.77393,7.4869046,8.845291,9.135432,8.026236,7.537401,8.034062,8.269702,7.580915,8.637711,7.808094,7.9427123,7.1306944,8.626059,9.441285,8.993142,7.8072486,8.628875,7.7840614,9.055592,8.971834,7.7650814,7.62159,6.849404,7.52618,7.95835,8.624083,8.457739,7.9125705,7.7979884,8.2363825,8.2623,8.835401,8.436017,8.4125595,8.587072,8.625475,7.8105965,8.896928,8.979365,7.63491,6.8703885,7.4865394,7.970672,6.958289,7.6720295,7.2577195,8.826324,8.434551,8.739318,9.215198,7.801611,8.770514,7.9188137,7.6199694,7.529473,6.9722342,9.129512,8.93575,8.5171795,6.3690686,7.886868,6.9045887,9.211131,7.7702136,8.372702,7.8670263,8.689078,9.430229,7.717051,9.075399,7.9191747,7.614086,7.6457915,9.189633,7.659375,7.481071,8.257501,9.43758,9.309615,8.1283045,8.732876,8.735467,7.516172,7.6542583,8.199486,7.948215,7.653531,7.8177013,8.254869,7.856501,Group1
Cell2,6.9292493,6.829928,8.177547,6.996837,7.7536573,7.8004556,8.396405,7.590497,8.543123,9.999138,8.214323,7.2953186,6.678467,7.471518,8.174266,7.620035,7.4091234,8.232933,8.143392,6.0700755,8.226432,8.91028,8.503241,9.231147,7.992062,7.1484447,7.542758,8.214526,8.124254,10.072348,8.266051,8.187692,9.80128,7.896361,8.495766,8.500788,7.6680784,8.445963,7.703137,10.013269,8.212424,8.918641,6.2598543,7.561243,5.8596253,8.825004,8.084807,8.258264,7.9200587,7.0195985,8.619341,7.9759727,4.9108095,9.01974,8.871539,7.05666,8.5981865,9.023423,7.9770765,7.9477816,8.998084,8.424607,7.384724,7.4627724,7.3771915,7.0203476,9.095329,7.2253036,8.300211,8.460979,6.460997,7.2029214,7.995927,8.491447,8.298376,8.217561,9.192941,7.872363,8.0809,8.272238,8.528788,6.5098763,8.805519,8.562547,7.8211026,7.8010454,8.491191,8.500062,8.225616,7.6413183,8.773486,8.629979,8.407785,8.100274,8.962406,7.9741335,6.2264686,7.785651,8.900607,6.044107,7.5571256,8.908044,7.107674,7.7343345,7.495431,8.077705,8.399137,8.049996,7.694505,7.5782256,8.857125,9.206678,8.074017,7.540732,8.064568,8.295639,7.6108947,8.697715,7.803167,7.9516897,7.0740094,8.617232,9.479844,9.003969,7.857789,8.669241,7.842309,9.040018,9.022428,7.767154,7.6463943,6.896411,7.567692,7.9326487,8.622651,8.491418,7.8552623,7.7118454,8.2529745,8.301202,8.807127,8.352333,8.472114,8.609665,8.60527,7.774925,8.883593,8.9723015,7.639817,7.170229,7.446226,7.9692454,6.7876635,7.6997538,7.2766123,8.824581,8.469524,8.749092,9.221701,7.7404137,8.78741,7.94581,7.6155047,7.488345,7.1237817,9.161549,8.9081745,8.444112,6.402374,7.9774003,6.751383,9.228766,7.4960747,8.354004,7.8235726,8.696992,9.381176,7.757667,9.041502,7.9469676,7.6173534,7.6712313,9.126956,7.6892467,7.29141,8.236873,9.513607,9.237762,8.142212,8.631452,8.744712,7.498754,7.6919117,8.193868,7.925113,7.417344,7.765932,8.301231,7.854459,Group4
Cell3,6.883716,6.7716956,8.134851,6.9358172,7.721631,7.754711,8.3542185,7.5595574,8.507931,9.978381,8.164437,7.2293086,6.6226916,7.40421,8.134109,7.5844994,7.3599277,8.210767,8.1038,6.112982,8.191394,8.866616,8.4599695,9.192661,7.945143,7.170078,7.5051847,8.181626,8.083181,10.047211,8.217978,8.162525,9.773021,7.87112,8.45603,8.479808,7.67367,8.417041,7.6532936,9.9790945,8.172362,8.887809,6.230063,7.5303564,5.783947,8.784168,8.050234,8.222955,7.8793564,6.9632897,8.580547,7.9384437,4.8938894,8.9886675,8.8366995,7.0147796,8.561319,8.995678,7.9421477,7.9023147,8.95857,8.397234,7.3505955,7.4150205,7.2476373,7.0157013,9.05895,7.1298056,8.257911,8.434053,6.404071,7.1561637,7.9600353,8.450111,8.262934,8.18277,9.161743,7.8356366,8.0403385,8.227297,8.495814,6.518648,8.776603,8.521629,7.768313,7.762241,8.444689,8.462463,8.192658,7.6057553,8.734653,8.608287,8.372103,8.062058,8.918226,7.9391007,6.185715,7.7497883,8.866153,6.006933,7.5116076,8.875218,7.0733914,7.7064505,7.450597,8.050539,8.370151,8.0158415,7.6421394,7.551484,8.824694,9.185149,8.043116,7.500289,8.030966,8.262512,7.574901,8.671867,7.762793,7.9142075,7.021974,8.580406,9.454687,8.972131,7.8262095,8.640232,7.8118343,9.00431,8.99679,7.7276716,7.6097865,6.8593917,7.5332484,7.8897448,8.586988,8.460477,7.807111,7.6585364,8.218196,8.270094,8.768283,8.302664,8.445047,8.577624,8.566636,7.729687,8.847431,8.937555,7.6001215,7.1734247,7.398601,7.930255,6.7166753,7.6638665,7.237213,8.789899,8.43867,8.715794,9.190308,7.6910806,8.7554,7.9110646,7.5742455,7.4408092,7.103972,9.133769,8.869952,8.396541,6.360734,7.952571,6.682884,9.199119,7.4128013,8.3143215,7.7773876,8.663142,9.342065,7.7240543,9.002988,7.91235,7.5772915,7.634848,9.084458,7.6536355,7.2200646,8.196297,9.494376,9.19442,8.106457,8.580481,8.711311,7.454911,7.657509,8.155378,7.88257,7.3394966,7.7181764,8.271269,7.8147893,Group4
Cell4,6.90701,6.788637,8.150919,6.950033,7.746612,7.7717433,8.369025,7.5862923,8.525587,9.993787,8.176252,7.238649,6.6420655,7.4115863,8.151609,7.608474,7.377803,8.237844,8.121833,6.19145,8.21137,8.87698,8.473421,9.203637,7.960172,7.229127,7.528572,8.202873,8.100526,10.059669,8.230435,8.188257,9.785655,7.8988624,8.471497,8.505656,7.720146,8.438866,7.668736,9.98695,8.189648,8.905238,6.2668195,7.5573277,5.798042,8.796704,8.071466,8.242557,7.8983455,6.9799623,8.595666,7.9588013,4.9473076,9.005252,8.852237,7.0392027,8.577658,9.014084,7.9639416,7.9184623,8.970618,8.42007,7.377011,7.4333196,7.2211094,7.0610595,9.072055,7.123263,8.273333,8.456881,6.4243393,7.1768475,7.981161,8.464721,8.282178,8.202946,9.177036,7.8571706,8.058272,8.24145,8.514806,6.5750575,8.795894,8.53597,7.7812867,7.783124,8.45643,8.479088,8.213795,7.629565,8.748664,8.632829,8.390441,8.08116,8.927935,7.960858,6.2166195,7.772413,8.881699,6.0411115,7.530482,8.891617,7.1016746,7.733868,7.470286,8.075935,8.39227,8.037551,7.6562414,7.580637,8.841669,9.205715,8.0664625,7.522097,8.052879,8.283062,7.5986857,8.693624,7.782789,7.934762,7.040636,8.596633,9.4713125,8.9884,7.8507047,8.660434,7.837052,9.018176,9.016372,7.748417,7.63298,6.8876452,7.558199,7.9074225,8.603823,8.48086,7.8224206,7.671993,8.238129,8.291725,8.782049,8.313626,8.467717,8.596562,8.5819435,7.747181,8.862148,8.952433,7.6216455,7.2220807,7.417087,7.9498487,6.72683,7.6870832,7.261464,8.805854,8.459256,8.73305,9.205289,7.706543,8.773102,7.9331803,7.595073,7.459048,7.140179,9.151182,8.883351,8.408021,6.3899055,7.979971,6.694678,9.215019,7.4111385,8.330818,7.7940125,8.68046,9.351636,7.748126,9.0152855,7.934529,7.5987706,7.6579905,9.093941,7.6770797,7.2264695,8.213123,9.514053,9.202653,8.126628,8.588752,8.72854,7.4751277,7.6816053,8.173666,7.9005013,7.3414025,7.7343354,8.293536,7.8348145,Group3
Cell5,6.904316,6.740126,8.13242,6.8874564,7.777383,7.7497487,8.347802,7.6246295,8.527641,10.019402,8.129838,7.150902,6.6060443,7.3151975,8.142765,7.628838,7.351094,8.29565,8.115777,6.540767,8.220738,8.839271,8.445838,9.178655,7.9296775,7.4752574,7.5428867,8.22056,8.089285,10.067198,8.189765,8.235702,9.787156,7.952209,8.457411,8.56225,7.8947015,8.466651,7.633338,9.961626,8.180353,8.915773,6.3377495,7.596486,5.7042956,8.7714815,8.085592,8.250225,7.892839,6.9346824,8.582511,7.9640856,5.0954638,9.012734,8.848651,7.0475855,8.572225,9.034046,7.9790154,7.8943853,8.946702,8.454154,7.407683,7.410922,6.8918104,7.210733,9.057909,6.925716,8.253721,8.491881,6.3885927,7.163719,7.9922,8.44469,8.288489,8.213432,9.180371,7.8676844,8.049883,8.212468,8.525545,6.7862115,8.816063,8.516007,7.7322645,7.787309,8.416907,8.472978,8.231027,7.649375,8.73209,8.6839905,8.393521,8.081211,8.887169,7.975601,6.246889,7.7880244,8.878949,6.088763,7.5145106,8.894857,7.137649,7.7806816,7.4582047,8.118165,8.42081,8.053994,7.6115084,7.635077,8.847476,9.245245,8.094675,7.525626,8.0711,8.298171,7.6175156,8.727663,7.7810054,7.940737,7.0103283,8.59095,9.491352,8.993329,7.880952,8.683152,7.8717966,9.007733,9.044306,7.7507615,7.6487393,6.9177794,7.5837984,7.8933406,8.602415,8.50006,7.7901797,7.623332,8.247909,8.314336,8.764716,8.2651005,8.50195,8.6091,8.569692,7.7276397,8.853317,8.947058,7.6258893,7.398168,7.395517,7.949759,6.6310754,7.7044277,7.2745423,8.80386,8.47925,8.737881,9.2072735,7.67228,8.781982,7.949608,7.593935,7.436921,7.2304316,9.168083,8.86622,8.365462,6.413094,8.033151,6.6090903,9.223441,7.2539773,8.319946,7.7698636,8.684318,9.321107,7.772824,8.994223,7.9514155,7.6021094,7.6740685,9.056029,7.695689,7.1186714,8.201368,9.555736,9.159202,8.135075,8.529386,8.733074,7.466719,7.704719,8.170695,7.887941,7.2063913,7.705484,8.320468,7.834599,Group1
Cell6,6.916834,6.7994967,8.153962,6.960112,7.751496,7.7769227,8.37088,7.592005,8.52638,9.98623,8.179385,7.247332,6.6536365,7.41938,8.15457,7.6142106,7.3852096,8.239777,8.124935,6.202346,8.213848,8.876148,8.474748,9.200886,7.964375,7.2351093,7.534803,8.20533,8.103789,10.051893,8.23322,8.19055,9.779452,7.9027147,8.472723,8.50611,7.723991,8.439927,7.6745977,9.97985,8.1924,8.903852,6.279593,7.563194,5.8147774,8.796216,8.074682,8.244875,7.9026856,6.9897323,8.596195,7.9627166,4.9667745,9.003335,8.851261,7.048201,8.578223,9.012015,7.9677477,7.922844,8.969152,8.421185,7.383949,7.4403825,7.2318826,7.068771,9.069945,7.133493,8.275705,8.457784,6.4371176,7.1852584,7.984905,8.466034,8.284287,8.205461,9.1742,7.8616076,8.061748,8.244077,8.515587,6.584962,8.795036,8.536886,7.7866364,7.788024,8.457951,8.4802065,8.216194,7.635189,8.748371,8.632621,8.391976,8.084437,8.926846,7.9646835,6.2300067,7.7772784,8.880553,6.0553308,7.536952,8.890366,7.1100984,7.7386904,7.4770584,8.078895,8.393585,8.040936,7.66225,7.5862474,8.840675,9.20242,8.069591,7.528453,8.056165,8.285094,7.60449,8.693218,7.7877407,7.938805,7.0499454,8.597095,9.466702,8.986598,7.855015,8.660308,7.8414006,9.0163355,9.014225,7.753525,7.6386185,6.897306,7.564172,7.9117827,8.604209,8.481759,7.827403,7.677946,8.240455,8.293648,8.781577,8.316013,8.468567,8.596874,8.5825405,7.7524767,8.861161,8.950915,7.6274424,7.22868,7.424233,7.953858,6.738423,7.6924086,7.269189,8.805123,8.460269,8.732667,9.202307,7.712186,8.772463,7.937146,7.6010623,7.4659657,7.1479416,9.148377,8.882315,8.409835,6.4023886,7.9833736,6.706365,9.21193,7.419436,8.332799,7.7990856,8.680378,9.348108,7.7530518,9.013548,7.938483,7.604702,7.663488,9.091906,7.6824503,7.235386,8.215766,9.5090275,9.200059,8.129584,8.589701,8.728185,7.481843,7.6869135,8.1764555,7.9048877,7.3499045,7.7397795,8.295412,7.839464,Group1
Cell7,6.873502,6.7070274,8.099811,6.8535023,7.747647,7.717256,8.314881,7.5954113,8.495806,9.9876375,8.095761,7.115416,6.573709,7.279128,8.110657,7.5986705,7.318665,8.266931,8.0838375,6.528773,8.189528,8.805097,8.412505,9.144885,7.896596,7.457098,7.512468,8.189788,8.057093,10.034444,8.155944,8.206485,9.754304,7.923525,8.42478,8.533258,7.8724446,8.436217,7.60023,9.927224,8.148191,8.884079,6.311256,7.5673337,5.6696267,8.738018,8.054738,8.218902,7.861102,6.9016023,8.54983,7.9328613,5.07401,8.980804,8.816266,7.0172424,8.539959,9.002756,7.9482946,7.8616695,8.913171,8.424063,7.3782315,7.3786736,6.843808,7.1877017,9.024805,6.8846245,8.22096,8.461808,6.3564415,7.132152,7.9612565,8.4117565,8.257064,8.182286,9.148091,7.836811,8.017872,8.179245,8.494167,6.76675,8.784955,8.483021,7.6983624,7.7561655,8.382969,8.440754,8.200222,7.6191616,8.699113,8.654618,8.361844,8.04962,8.852797,7.944866,6.2183256,7.7574816,8.846585,6.061239,7.4825196,8.862796,7.1086884,7.7517877,7.4264627,8.088766,8.390452,8.023287,7.577927,7.606699,8.815587,9.21482,8.064556,7.494653,8.040474,8.267202,7.587276,8.697355,7.7495522,7.909567,6.977977,8.558658,9.459708,8.961279,7.851107,8.652283,7.8421955,8.974863,9.013428,7.7195497,7.6183133,6.888683,7.5539412,7.861152,8.570337,8.469149,7.7571154,7.5895343,8.216698,8.283749,8.731674,8.230806,8.471829,8.577753,8.537069,7.6952934,8.820653,8.914502,7.594875,7.3763814,7.363324,7.918263,6.595575,7.674042,7.2442684,8.771594,8.448397,8.706026,9.174902,7.6392016,8.750306,7.9189816,7.5626626,7.4046664,7.204256,9.136527,8.833109,8.331405,6.384027,8.004395,6.574142,9.191395,7.214756,8.287592,7.7372417,8.652454,9.286934,7.7427716,8.960804,7.920812,7.5710664,7.64364,9.021675,7.6653767,7.0821543,8.169061,9.525182,9.124475,8.103883,8.494314,8.701207,7.435163,7.6746364,8.138874,7.8558364,7.1683726,7.6726646,8.290104,7.803187,Group1
Cell8,6.8783846,6.853954,8.137957,7.0416136,7.639557,7.7707734,8.358714,7.4660673,8.46629,9.867843,8.2192545,7.3772287,6.6841044,7.565341,8.119167,7.524205,7.391474,8.069866,8.084153,5.462246,8.141419,8.893296,8.474576,9.190031,7.9738894,6.694497,7.4575453,8.116256,8.073582,9.969339,8.261148,8.041819,9.711054,7.7442946,8.445456,8.33663,7.3234634,8.328807,7.696138,9.963823,8.157618,8.823893,6.098059,7.4358234,5.9674935,8.788885,7.993743,8.175627,7.8624735,7.036269,8.56613,7.90038,4.64,8.928757,8.800059,6.9865165,8.5327835,8.912308,7.8857107,7.919779,8.957896,8.297553,7.2749705,7.437572,7.847059,6.723145,9.038309,7.484781,8.261016,8.332038,6.4686623,7.165748,7.910844,8.450757,8.217469,8.130848,9.106669,7.789527,8.02613,8.248446,8.438135,6.119489,8.696545,8.520939,7.8346987,7.7292075,8.481886,8.436863,8.127954,7.5461392,8.72403,8.473099,8.330837,8.0316925,8.949751,7.883332,6.1305127,7.695593,8.827451,5.9222374,7.5205083,8.825157,6.9925303,7.594625,7.453251,7.941476,8.281299,7.9555974,7.702633,7.4280105,8.770686,9.061978,7.960397,7.4729056,7.9671407,8.200599,7.5176387,8.567632,7.740915,7.875261,7.0659575,8.552013,9.3634205,8.917278,7.743349,8.557709,7.7208047,8.977663,8.898489,7.698664,7.5576787,6.793068,7.464028,7.888726,8.550489,8.3875675,7.841453,7.7260995,8.166999,8.194021,8.758509,8.359097,8.344281,8.515197,8.550763,7.741583,8.820419,8.902557,7.569716,6.8287997,7.419882,7.9023805,6.8882294,7.6078806,7.1964116,8.751072,8.364644,8.665451,9.137276,7.7311645,8.696814,7.8526196,7.554344,7.4624186,6.9210696,9.053793,8.858086,8.4402275,6.315821,7.8246818,6.8359923,9.1339,7.687458,8.30013,7.797096,8.615509,9.347285,7.653298,8.996229,7.853025,7.5489645,7.581721,9.107838,7.595456,7.405646,8.18575,9.361957,9.226305,8.059639,8.652501,8.6616,7.4506245,7.59084,8.129091,7.8788266,7.5739617,7.7476807,8.187093,7.7891,Group3
Cell9,6.8909607,6.7216845,8.109766,6.866292,7.763321,7.728881,8.323525,7.612464,8.505383,9.991496,8.103515,7.1248674,6.5900393,7.287057,8.121326,7.614274,7.3319445,8.282116,8.094866,6.5760317,8.201248,8.809931,8.420146,9.149003,7.9066305,7.4914083,7.5280285,8.202168,8.067844,10.036623,8.163848,8.221151,9.757429,7.9401016,8.433434,8.54699,7.898938,8.448149,7.6113834,9.927332,8.158635,8.892355,6.3374434,7.584594,5.6859627,8.744189,8.067523,8.230336,7.873308,6.9155254,8.557921,7.9455614,5.11265,8.988344,8.823762,7.034852,8.548716,9.011179,7.9616966,7.8723936,8.918553,8.436557,7.3957787,7.3919907,6.8353987,7.2157,9.030397,6.886504,8.23021,8.474183,6.3739004,7.147463,7.974271,8.420002,8.268196,8.194132,9.154449,7.850417,8.02905,8.187962,8.504445,6.80179,8.794502,8.49091,7.7079306,7.769678,8.389809,8.449962,8.212514,7.634617,8.706171,8.667299,8.372186,8.06131,8.857145,7.9582596,6.241747,7.7718983,8.853993,6.0868454,7.495819,8.8706,7.12803,7.7687187,7.440358,8.103616,8.402676,8.036416,7.5884495,7.624976,8.823835,9.2237215,8.078413,7.509445,8.053658,8.278983,7.6028147,8.708454,7.762623,7.9224405,6.9927044,8.567298,9.46581,8.968716,7.866213,8.662709,7.857705,8.981006,9.02243,7.733102,7.6334496,6.90868,7.5701895,7.872675,8.57926,8.480227,7.767722,7.5996857,8.228312,8.296043,8.738506,8.237704,8.484092,8.587749,8.545297,7.707226,8.827709,8.921355,7.609214,7.4055233,7.3767853,7.9306097,6.6070356,7.689021,7.261096,8.779445,8.459644,8.714754,9.181015,7.6502466,8.759132,7.932641,7.5767365,7.4178734,7.227436,9.144024,8.839439,8.338264,6.406041,8.020547,6.586521,9.197938,7.218171,8.297199,7.7485933,8.661378,9.289886,7.757987,8.966171,7.934499,7.585454,7.6586733,9.025391,7.680501,7.0901775,8.179201,9.532674,9.127225,8.115965,8.499006,8.709936,7.4493074,7.690072,8.149869,7.867507,7.173789,7.6839705,8.3027115,7.8161097,Group4
Cell10,6.9455323,6.8457494,8.207064,7.014578,7.778128,7.8260775,8.42824,7.613169,8.576198,10.047119,8.244574,7.3164916,6.6925497,7.4946394,8.203626,7.6432414,7.4307184,8.262069,8.172394,6.072969,8.256107,8.947687,8.53627,9.271745,8.019792,7.163893,7.5652337,8.243974,8.153122,10.121321,8.296769,8.216485,9.847498,7.9220386,8.528548,8.532736,7.689851,8.4777,7.727911,10.062037,8.242188,8.95553,6.2682242,7.5836,5.865884,8.861363,8.112946,8.288294,7.9467225,7.0373597,8.653402,8.003085,4.9041243,9.057723,8.9081135,7.074135,8.63193,9.061288,8.004078,7.9749684,9.036235,8.456042,7.405344,7.4848733,7.4022517,7.03567,9.134373,7.247124,8.331021,8.492783,6.472806,7.2221932,8.023175,8.52426,8.328842,8.247129,9.232784,7.8983274,8.10928,8.302874,8.561604,6.5190964,8.841106,8.596101,7.8472795,7.826345,8.524245,8.53279,8.255185,7.664754,8.8092,8.663343,8.439434,8.12875,9.000396,8.001108,6.235,7.8106465,8.937475,6.050516,7.580131,8.944913,7.125335,7.7584023,7.517744,8.105416,8.430375,8.077742,7.7193065,7.600568,8.893432,9.24621,8.101865,7.5633216,8.0924425,8.325966,7.634025,8.732002,7.8285637,7.9785395,7.0921507,8.651177,9.522472,9.04182,7.8833537,8.703372,7.8676558,9.078438,9.060183,7.792123,7.669934,6.911939,7.590286,7.959552,8.656599,8.523737,7.881585,7.736877,8.282923,8.331492,8.843202,8.38405,8.504043,8.643302,8.639173,7.80025,8.920359,9.009951,7.6634326,7.1867843,7.4681444,7.996355,6.8036366,7.7238307,7.2963243,8.860645,8.501605,8.784283,9.261861,7.765563,8.822949,7.9724674,7.6389337,7.5107102,7.140929,9.200893,8.945302,8.476713,6.412831,8.003926,6.7668495,9.26892,7.5202155,8.385266,7.849463,8.73165,9.423409,7.7822566,9.0800705,7.9736314,7.6407456,7.6950264,9.166628,7.7131977,7.3127937,8.266923,9.556317,9.278661,8.1710205,8.66622,8.7798605,7.521055,7.715834,8.223359,7.951918,7.4403844,7.79128,8.331468,7.880371,Group3
