"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200","group"
"Cell1",NA,NA,8.70594934036564,9.4808993992321,8.60004757996006,NA,7.30951550086709,7.8999692868789,8.19839659822013,8.31136693493077,NA,NA,7.88286647823232,9.35011770451765,7.01205248403004,9.23352794195945,5.87537669595494,9.44929854845162,7.93357841511715,7.18945557474282,8.19839659822013,8.89268037802056,NA,7.88286647823232,8.09079558710403,NA,8.445548408344,NA,8.445548408344,NA,5.28539931758038,6.71627668224792,NA,NA,8.03769650048435,7.6499849900453,NA,8.9797133109446,7.23059573913611,NA,6.93117229449991,8.0299488262506,7.57742586599399,NA,NA,8.7724643484427,NA,7.99057378018951,7.28368564208393,NA,7.87423843692402,NA,7.51218880218713,NA,7.78499532645715,4.99832636254291,8.51934206511007,7.08863807669265,7.99853523099365,8.09822411451116,9.11768822296024,8.84490616774499,8.66151123595482,8.67647654155819,8.24598981257187,9.02718631015747,6.80973540954257,NA,NA,6.6163416789243,7.66005897640119,8.84490616774499,8.50823198664679,NA,NA,NA,NA,9.3778502188797,8.02215932009796,NA,8.34921681805437,7.53426388999158,NA,8.12028291783338,NA,NA,4.93335992678809,5.6513145848694,NA,7.68986562432092,NA,9.40206162293196,NA,8.65144742070376,NA,7.68986562432092,8.39215541801376,7.24405249129049,7.81235263873151,NA,NA,9.2097211437151,8.91388373435249,7.37213658118331,8.20529251212554,NA,8.14917960723993,8.0299488262506,NA,6.6163416789243,7.6996658784902,NA,NA,6.21305626615563,7.52326856782835,NA,7.83920082346824,8.17047852211453,9.0115349079656,5.3859393621881,7.56675582690188,6.26678360173401,NA,6.67712939611496,NA,NA,NA,8.06069296520827,6.75438971587307,7.57742586599399,8.10561458782323,NA,9.52841495990096,7.77575971354239,8.81365947498379,7.04317626314496,7.7941721921905,8.42796939289363,9.4376335215744,NA,8.83604738394221,5.33654498021898,8.78632716868528,NA,NA,NA,6.9802424279285,NA,NA,7.10347914171241,8.00645298788516,NA,NA,8.75846702724904,NA,6.75438971587307,8.84490616774499,NA,7.4784296196329,7.91687171887091,8.47437899084378,7.9500938571388,NA,8.36777577784789,8.23928615522047,NA,NA,NA,NA,NA,8.92645776149869,9.7115046789713,8.76314790663651,7.99057378018951,6.67712939611496,9.34700314749729,8.04540278969949,8.25930439673745,NA,NA,8.19839659822013,7.17547728824256,NA,9.34700314749729,NA,8.91388373435249,NA,8.39215541801376,9.0349487942067,7.93357841511715,NA,NA,8.05306813367282,7.85682599399382,NA,8.42796939289363,7.4784296196329,NA,NA,NA,"Group1"
"Cell2",7.57298497969661,NA,8.88264058615433,9.50630831567899,NA,8.40645630621743,7.71884524521335,NA,8.38038179420565,8.36716566069105,6.64766486873465,8.60340852134778,NA,NA,NA,NA,NA,9.04359816669395,7.81931136986012,6.98413114560167,8.4530689924642,NA,9.34039325752587,7.49412406737533,8.4613845659137,NA,NA,8.71193644590056,NA,8.8857332656513,NA,NA,7.66225818281013,NA,8.26636094050282,NA,7.29449972175216,8.28052886313992,7.18829126095214,6.99562795127816,6.51014278101852,8.3403645444128,NA,8.77333884004109,7.39342260442582,NA,9.31308536287728,8.4193189440362,NA,6.61821726323982,8.01277524810672,NA,7.66945414135392,9.41934612800537,7.5340932955226,4.77270062995405,8.54592108134639,NA,8.49822266533921,NA,NA,8.95214695123031,8.76664398961624,NA,NA,8.70844735234498,7.07363813982608,8.98424140768654,6.77321122060787,6.57288722591231,8.10588915659943,NA,8.53808005673543,NA,NA,7.5182382346922,7.57298497969661,8.94919355683401,8.06827308015745,9.01563739511423,8.42358113126927,8.15285479945706,8.39347795653825,8.32221647078087,NA,NA,NA,4.54125666020073,NA,7.67661438554009,5.60307349502009,9.08723793331133,NA,8.82258378650754,8.87332256924697,7.54977600339161,8.89803810973506,6.87631644916359,NA,9.64964775813335,8.94029692341941,9.0655830499312,9.15031807990231,NA,7.32215831586037,NA,8.02404692126445,NA,7.85761741718608,5.79951944376129,7.60336066520687,8.49011732570332,8.16308718424057,7.4362389249889,8.02404692126445,NA,8.09524141194492,NA,8.73954951857665,5.71858016842337,NA,6.69073905057113,8.4613845659137,6.98413114560167,NA,NA,7.26630048984908,8.1425493222665,6.52608656889615,7.71884524521335,NA,6.94908058320946,9.30617685307994,7.8128269650845,8.47787328877125,6.55745508303803,8.0296499046445,NA,NA,7.81931136986012,8.21810371579253,5.94892993794726,NA,8.23760073041913,8.85765754078951,NA,6.24706753361825,9.23763156336018,9.38697253635374,7.66945414135392,NA,7.79319702437868,NA,NA,7.62572995075564,6.90098118864693,NA,NA,7.92530790274109,NA,NA,NA,NA,8.46552444758144,8.22300272708867,NA,7.37593382761893,7.50220699044663,6.96085897567958,7.75987499059688,NA,NA,8.1425493222665,7.81931136986012,NA,NA,8.48604751516602,8.05734299265202,NA,7.19827622967149,8.15285479945706,NA,8.12171486079452,9.47173829519543,9.13999440140008,9.0952754424893,NA,7.94323075604767,NA,8.30845401215211,NA,6.41059252132659,8.42358113126927,8.10057510739883,NA,NA,NA,NA,NA,9.11649242518931,"Group4"
"Cell3",8.20651725292937,NA,8.8119968482691,NA,8.7559811438403,7.93103105861069,NA,7.93103105861069,8.16123055847603,8.34458993018528,NA,8.04760977136915,8.13804272215885,NA,NA,8.97462813705084,NA,9.50753082448411,8.00338603529308,NA,8.12630753157845,8.95153799846727,9.21519497577517,7.38885625281664,NA,5.91494888343296,NA,8.39436418989506,8.17268619963267,8.41862181767587,4.82710154252602,6.97013507831826,7.17767733547771,NA,NA,NA,NA,NA,NA,6.74308787326107,7.28712734472147,8.15546844524997,8.4282118056284,8.50725116797157,7.4746561875968,NA,9.38485025139688,NA,6.95694479627457,7.39864547909869,7.82612582843525,6.8751655622615,NA,9.08180595370676,8.05381822235902,4.93866388454358,8.6328286632389,6.69623102169027,NA,NA,NA,9.05110107879603,NA,NA,7.4180268865896,NA,7.30805508457065,8.7559811438403,NA,NA,NA,8.89040869583233,NA,8.43773846702913,5.18481298626715,NA,7.65699527658376,9.08180595370676,8.43298299983335,9.29598256660274,NA,NA,7.84056182325994,8.22313985621216,8.3293165125833,7.63231583536859,NA,NA,8.62033326046851,NA,NA,9.13547980080884,9.12076959405888,8.70954796494276,8.77864907812883,NA,9.66790589089655,6.99615927514712,7.85485479755592,NA,9.00698588541387,NA,NA,NA,8.55179932988547,6.95694479627457,NA,7.68125963004613,7.95112683430999,6.25382232039988,8.16696974938607,NA,NA,6.23208683743965,8.34458993018528,7.72859733221018,NA,NA,8.89040869583233,6.51009457087833,7.61562516582318,NA,8.10852380001713,7.02172233786482,8.44247831055525,NA,7.87603221138722,NA,6.47351143567914,7.62399463744467,NA,NA,NA,7.43715136876207,8.72519233057428,NA,8.08446593206954,7.70512262797366,8.87646534079969,NA,NA,6.14171433191707,NA,NA,8.87646534079969,6.37777688960423,6.47351143567914,9.15870853636081,NA,6.88912142445925,NA,7.58165312476004,8.59074943386672,NA,8.41380281205085,6.72763740199264,8.82657420065854,NA,NA,NA,8.70561022201457,NA,NA,NA,8.28777876736003,NA,NA,6.84684218437272,NA,7.87603221138722,9.01018209980595,NA,8.46128347949789,7.87603221138722,6.51009457087833,9.70388138152046,9.06038135194121,8.27720473685078,6.52804404729707,7.49304920162207,NA,7.53803126375494,NA,9.3946666052778,8.6737152668385,NA,7.75169617716238,NA,9.2012793506974,8.80096635152295,NA,6.98320585594237,8.00338603529308,7.84056182325994,8.64109920914373,8.17268619963267,7.43715136876207,NA,6.51009457087833,NA,"Group4"
"Cell4",7.77566513573232,8.73768460585234,8.86293382446462,9.40125201025273,8.80928023160456,NA,7.67259880605756,7.92327301738694,NA,8.47978491938759,NA,8.56858074798602,NA,9.39317033160618,6.37771570188682,8.89190114664304,NA,9.4331334736317,8.17968939658293,7.0368705437688,8.46829108128041,NA,NA,7.99444812599677,NA,6.08842381833582,NA,NA,8.51372701661603,NA,5.94099380324076,7.12734562270924,7.41763335051163,7.611215385813,8.05204651391004,7.46466684300023,NA,NA,6.75095367964579,NA,6.22217492038862,NA,NA,8.86585687029558,NA,NA,NA,8.28389744961859,6.45739093786745,7.00540581124177,NA,7.57595008389174,8.22592483878758,NA,7.95655990512933,NA,8.55777558442064,NA,8.14641970825814,7.99978040753773,NA,NA,8.23046791991484,8.38108280967201,7.91200450147369,9.13177976220087,NA,NA,5.59141034928924,7.02645836227381,8.32695858836705,8.53591940612198,8.30988805410492,8.46057733273056,5.56287452986237,7.07778369009731,NA,9.12691449097545,NA,8.65560892438684,8.76612490879631,7.61816617057057,7.33566746347475,NA,8.49496896622157,7.64563918983415,6.08842381833582,5.61939267399226,8.65222675275003,NA,6.32770912627752,9.16538485636267,8.18905578533959,8.29261311354899,9.01550474879068,7.65242647148938,NA,7.39352881573353,NA,9.27059432480578,NA,8.7785872866589,9.29248497120589,NA,NA,7.1370569201116,NA,NA,8.12217696884668,NA,7.67259880605756,8.03136673194511,NA,NA,8.07748623717492,7.49519168388675,NA,NA,8.62142501673718,6.36123868679474,NA,6.69945050916381,8.30127644010461,NA,8.01566001177657,7.97291970291146,NA,8.24849851909301,NA,6.94033964957315,8.09751988718372,NA,NA,NA,7.94001246147716,7.19399070537911,8.6589831855953,6.89527253138698,NA,NA,NA,5.94099380324076,8.33541870369702,8.44111056782665,9.01286997248254,6.08842381833582,NA,NA,NA,NA,7.69906385623757,8.06736411485454,8.56858074798602,9.13904704282476,6.63237313198954,7.36901468948117,NA,NA,8.31417466110436,NA,7.9510651520817,7.21248005777497,8.84822909400537,NA,8.44502499125237,6.20381019080696,NA,7.83055978228537,NA,NA,8.55777558442064,9.48157928634112,8.45282211878998,NA,6.81285008028189,9.80005057870994,NA,NA,NA,7.14670328413677,7.56159900244376,NA,NA,NA,9.18658198065705,9.17012231651681,8.2076080855773,NA,9.18424206608041,8.62142501673718,8.30558867256055,NA,7.97291970291146,7.81854020814799,8.66570812413511,NA,6.99476319998478,7.83055978228537,NA,8.77548177015077,"Group3"
"Cell5",NA,9.00371811895505,NA,NA,8.9901662891473,8.51469007246118,NA,7.76928650922148,NA,NA,6.14137762146216,8.53349787088584,8.41171347725568,9.25102425500402,NA,NA,5.64939807891319,9.52686448066676,NA,NA,NA,8.89883342204182,9.34983371831441,8.22763551415408,8.09464844525633,6.30356175718416,8.02325620552665,NA,NA,7.02879098630919,5.71677331264428,6.97476807644719,7.26093431982557,7.23818440951777,7.5832382678402,7.41086673127819,6.94697858301047,NA,NA,6.76796456099756,6.65226690105966,7.98277265265088,7.33784736968242,NA,NA,8.44686206299937,8.40151170660865,NA,NA,6.63495437943524,7.60117873394884,7.27217614502372,8.18663602959874,8.83961233373428,NA,NA,8.63712816909373,7.1187208697344,NA,8.088302272731,NA,8.63277395708731,8.67573577649305,8.79354455833431,7.83140311176544,8.73381086171826,NA,8.35468939030816,NA,6.75199362673889,NA,NA,8.37046627815994,9.06963112509756,5.90185548981529,NA,NA,9.38908720489298,NA,NA,NA,7.64507747313381,8.55206363203641,8.35468939030816,8.50994956074738,7.63640393641006,NA,6.71951136247729,8.85090304442986,7.27217614502372,5.90185548981529,NA,9.29852850066284,NA,8.87690940172782,NA,8.39638364060333,7.59223638778687,7.24960420722693,NA,9.16619276989472,9.08883178067124,9.27357415877407,NA,NA,NA,NA,8.00315642585853,7.59223638778687,NA,7.69605135464727,NA,NA,NA,8.19256491855089,7.47064165099867,8.02989438069083,8.06909452157641,8.91685232295857,6.3253112985628,NA,6.25905358401718,NA,7.63640393641006,NA,NA,7.92696447036273,7.94814633083862,6.3253112985628,7.01547372250582,NA,7.215069999569,9.36303723972136,NA,7.54667384728249,NA,8.78179404011636,7.77719892774097,NA,7.96902169078763,8.10725765210416,6.14137762146216,8.82823256308109,NA,NA,7.16769960929566,NA,9.51034489477038,9.8698348567207,NA,NA,7.41086673127819,7.96209674555433,9.23674945508363,8.88425448965298,NA,9.29025825369088,NA,8.31175421364844,8.088302272731,8.17470465124372,6.91864327167655,8.25055106103422,NA,NA,6.3253112985628,8.0165873453325,NA,7.32710766501328,7.86148644143638,9.07926339505194,8.9626746510723,8.60636905063519,NA,NA,9.65691825253607,NA,NA,NA,NA,7.91266845784172,7.78506818742956,NA,NA,9.05668723601494,8.92042925350806,NA,7.98277265265088,8.83203580224393,8.72973928464361,8.20435009738149,8.17470465124372,NA,NA,8.13215019045219,8.71333708600365,6.96094023957334,NA,NA,8.85838139151684,"Group1"
"Cell6",NA,8.48294867140142,8.40544954859799,9.51576839475938,NA,NA,NA,8.35136951486767,8.56602506585788,8.35136951486767,NA,8.05240460302628,7.59331599662146,9.11929738719896,6.44422766424291,NA,6.70794533508081,NA,NA,6.94550194203643,NA,NA,NA,NA,NA,5.31006699493076,7.64817737406262,NA,NA,8.96937890290856,5.66959333573923,NA,7.55554735012495,NA,7.71822418979396,7.41498072161151,8.47790959201708,8.32354979208512,NA,6.85511721937344,7.36126350322541,NA,NA,8.66245433622826,7.40439609548968,8.87286680391577,NA,8.51773785108275,7.29404589219704,NA,8.11865519695733,NA,NA,8.73182770489681,NA,NA,8.23671939302289,NA,8.52752545438954,7.350275807899,9.28425111138636,NA,8.3009011956721,8.83000765227285,7.38299098650886,8.58489632873097,6.87058007101357,8.52263995291325,6.40228687877258,NA,NA,8.58489632873097,NA,8.48797021141418,5.83636559235869,6.75868917976283,NA,8.98367014718216,8.13795131244504,NA,8.89949245441885,7.91001263140852,NA,NA,8.93301888338678,8.34584832103385,6.09518559233903,5.89802649899923,NA,NA,5.95715967957897,NA,7.37216814740155,NA,8.42652642590868,NA,8.35136951486767,NA,NA,9.11605757032869,9.04968479326315,8.89571874316447,NA,NA,7.56508261121856,7.13668315693398,8.15067348343515,7.23553518574777,7.93963755665135,NA,7.9971225921572,NA,8.15067348343515,7.87210496227394,NA,NA,7.75201218602518,NA,8.83395698052168,NA,7.09779470385418,NA,NA,NA,8.3179208890596,7.8331743065947,NA,NA,NA,NA,8.41602647691972,NA,NA,7.60260566262409,8.40013186283434,6.70794533508081,8.58957582533314,NA,NA,7.8331743065947,8.79801768020764,6.46474952002646,8.88814157781549,8.40013186283434,8.89949245441885,6.82368526059241,NA,9.31283149253347,NA,NA,8.03878142229877,7.9971225921572,8.78175269935247,9.34085666568829,6.82368526059241,7.0578288883284,8.54208347156194,8.00414980416675,NA,7.39373323879359,7.97583321918049,7.90251036275262,8.53239446756232,7.6301210612094,8.6310219852666,NA,NA,7.45655934497288,7.25922497991344,NA,8.84182335079742,NA,NA,8.38943732559714,7.00275834861961,9.74488806072316,7.82526050533789,NA,5.83636559235869,7.53628565414541,8.03878142229877,NA,8.77355092362212,9.52312532609595,NA,9.01879090318637,NA,8.08591015668771,9.5449736661428,8.64457693430255,NA,NA,7.68362586089426,8.10564623044148,8.33474213734146,8.20657443140527,NA,NA,6.58210391810978,NA,"Group1"
"Cell7",7.70705377248512,NA,8.57022155046276,8.67578596801075,NA,7.67930945183066,6.54743967561428,7.72072838394656,NA,NA,6.74772833633376,NA,NA,9.02896116952007,NA,8.88153229053081,6.54743967561428,9.47458332184896,8.05349682213616,7.06964301628322,NA,NA,9.04535545185358,8.1924707435722,8.1924707435722,5.87553958829579,NA,NA,8.72750038392139,7.08028986592384,6.0803431303974,NA,7.70705377248512,7.81935415869374,NA,NA,7.2689449006189,NA,7.53197151703928,NA,6.53201046368578,8.82883996521657,8.10132446248868,8.96433174312707,7.09085871883502,NA,NA,8.41064745533098,NA,7.0372227581358,8.39367462740246,NA,8.20711727064474,9.21195443362684,NA,4.94720373903749,8.92647922777126,7.45224653747436,NA,7.67228919569427,8.72071129847272,8.93823228899807,8.703597481494,NA,7.76759389676851,9.05348325609231,7.3057022748712,8.8784854472834,NA,NA,8.02622440977147,8.45631865365204,8.44400556811604,8.98430983679207,5.60763143905119,7.54740114327721,6.97011117558443,9.27587373941208,7.64386149060187,8.8723723885913,NA,NA,8.33709195634495,8.32818654114178,NA,NA,5.63677482812511,6.63670238988525,NA,7.45224653747436,5.41920697681085,NA,NA,8.44400556811604,NA,NA,8.71389011359099,NA,NA,NA,9.09869541442081,9.08554416716837,NA,NA,7.7807090972053,7.23122647271833,8.13745759931726,8.0908322802567,NA,6.54743967561428,7.48466710049942,8.32371313421477,8.17767399566772,NA,NA,8.2312024853378,8.05349682213616,8.27819919604207,NA,NA,7.393696059971,6.22168903709049,8.25489220070564,7.86316943632901,NA,8.5815072102373,7.78722225650988,8.20711727064474,NA,7.23122647271833,7.90569315377503,NA,NA,NA,8.18755533725464,NA,9.01515550267452,NA,NA,7.9585870200828,8.71046738872585,6.31479240489884,8.77414993614041,8.41905957199568,8.71389011359099,7.02625205924222,7.393696059971,NA,9.6074928425863,NA,NA,7.79370614375022,8.02622440977147,9.24308407160721,8.75101370350878,7.15269575404955,NA,7.64386149060187,NA,7.16274906692073,8.50454625945213,NA,8.45222595731929,7.93531771192893,NA,NA,8.18755533725464,7.36785682970093,6.36790046850157,7.35913987708138,NA,8.97862998386335,8.50454625945213,7.77416640033493,6.5627056210711,9.74766964505948,8.77414993614041,7.99280205627455,7.35913987708138,NA,7.94699927949222,7.3765214295139,NA,NA,8.76757735739632,NA,7.93531771192893,NA,8.92647922777126,8.64742776275254,8.33709195634495,8.68627821410383,7.44402626586947,7.87544750374996,NA,NA,7.02625205924222,NA,NA,8.99278790732333,"Group1"
"Cell8",7.75191045938454,NA,NA,8.54030368556326,NA,7.87544908564796,7.48849482830098,7.93725134959229,8.10820245906215,NA,6.40103870282233,8.24889105365987,8.38263507839903,8.54527373047744,7.51913114007188,NA,6.1887668289137,9.30042546905756,NA,6.69739453551573,7.72588059817309,8.92670773888457,9.47726534721034,NA,7.99651452161582,6.48620535890105,NA,8.72685055868639,NA,7.40346727837101,5.87809140649474,NA,NA,7.17884406266599,7.32472155144854,NA,NA,8.85646663393936,6.8336337436838,6.6612250610857,6.56662339302335,NA,8.19930441373999,NA,7.50899115097606,NA,NA,NA,7.27771578554683,NA,7.98923839664219,NA,NA,8.73991544693154,NA,4.8710893839034,8.55022671248739,NA,8.09470525018044,7.81088038140112,9.0366726540462,9.09206410102057,8.34322678278968,8.71807443664093,NA,8.7092446012665,7.48849482830098,NA,5.99894433666855,NA,7.90668112849406,8.49478557257621,8.65969018901649,NA,NA,6.62412542014723,NA,9.27072579280274,6.95811018240714,NA,8.70036039101861,NA,8.21809969441915,8.47928803527641,NA,8.1738569685707,6.13703172092479,NA,8.84038194030926,NA,6.08337216500218,NA,9.35805123626139,8.3202148187442,8.82411589364861,7.83543353519626,9.05072116871855,6.73267934736807,NA,NA,9.3150491331148,8.71807443664093,8.74856010187017,6.54693521350322,7.80260225076555,NA,8.20559675354959,8.16742434860792,7.89114962089978,6.52697463150438,7.85157318563601,NA,8.18663679830659,7.81911128329804,NA,NA,7.63555758549125,8.00375413406632,8.93430531969315,5.84622731490242,7.08639830352473,NA,NA,NA,7.79427634626695,8.12157456361655,7.52920035733598,7.74328591661296,6.8336337436838,7.45719379883944,8.56008195363325,6.60521159220114,9.22499744481059,NA,NA,NA,NA,8.39920029542387,8.93808915857258,NA,8.46362221291325,NA,8.57959273931738,NA,NA,NA,NA,9.37210507695257,NA,NA,8.03235467016105,7.41437383900448,7.69937244982169,NA,NA,6.26304897299687,9.0401976285212,NA,8.2670552812737,NA,NA,7.33623752871294,8.67337470927897,7.79427634626695,8.43712845106049,7.66325315477598,8.75286308201761,7.2167194211576,6.60521159220114,7.63555758549125,8.88026235004095,NA,8.47408497282092,7.80260225076555,6.1887668289137,9.98862722763812,NA,8.47928803527641,7.30141010225868,7.85957580320407,7.85157318563601,NA,8.5202504989643,9.56552672199299,8.79102305351284,9.05072116871855,7.80260225076555,NA,8.75715326625827,NA,8.57473972404927,7.9447937519627,7.74328591661296,8.44246626910557,8.16096291868107,NA,NA,8.24278513173843,NA,NA,"Group3"
"Cell9",8.35491540450023,8.62454531381396,NA,NA,8.40220821175288,NA,NA,7.75201320531179,NA,NA,6.18639018404106,NA,8.20740130652822,NA,6.564486629346,9.21161125127125,5.84222733379384,NA,NA,6.90814739827368,8.4850795980989,8.74561040794867,NA,8.49964872469765,NA,NA,NA,8.87974854286018,NA,NA,5.0760044918673,NA,NA,NA,8.08231407506795,7.85758049565439,NA,8.62786490906626,6.80634759267245,6.74652573292255,NA,NA,7.77614920618135,8.72715743291559,NA,NA,NA,8.12991640195388,NA,NA,NA,NA,7.59804804906742,NA,7.91305429386093,5.11437643163849,8.6703386308268,NA,8.55649707365969,7.75808516632754,NA,NA,8.76080961537355,NA,7.97692436423838,9.11319711623319,NA,8.78777107024838,6.11248427557494,NA,NA,NA,NA,8.12052076057767,5.77195217538923,NA,6.87500590028327,9.45903802460884,NA,8.76985286743414,NA,7.95594695789178,NA,8.374809480674,8.56344816144939,8.33474315820662,5.59329864583582,5.97327328992045,NA,NA,6.16826560734855,NA,NA,8.64106743046691,8.84022790385286,NA,NA,NA,7.1397158225941,9.45156387098295,9.19604084535293,NA,9.37855878660268,7.70249497430083,7.79988805177857,7.45586553168091,8.67355462735925,7.54284491441524,NA,NA,7.55684498473478,NA,7.41032689571296,7.52870765348371,7.80576222839047,NA,7.72746653377207,8.29353225675324,NA,6.0934006977054,7.69618395882174,7.0435645746654,NA,6.72188471381468,NA,NA,NA,8.09676041389115,6.81801995824494,7.08279734656901,NA,7.4408451358328,NA,7.65121651203692,NA,NA,8.59432014131423,7.41032689571296,8.72095361586228,8.52479594620115,8.62454531381396,NA,8.67676347086658,NA,9.25304579656493,7.28135700589851,6.81801995824494,NA,9.5440760244676,7.49274627143468,NA,NA,8.59770993485915,9.12499161732958,7.11153726611248,6.73425783085195,8.7302493660137,8.18052634857929,7.5844440265315,7.5498619317849,8.2511094537669,NA,8.48873569610886,NA,8.0129165011473,6.3720392700899,7.22109243949878,7.20340127780375,NA,7.94534275204239,NA,9.35871670115514,8.45922414789322,7.9076019225584,NA,9.9984994791892,NA,8.39832582100517,NA,7.53579360061562,7.69618395882174,NA,8.40608018275627,9.56500777011769,9.04281961618158,9.26801608679946,8.23813548515352,8.2511094537669,NA,8.68952794647107,NA,NA,NA,NA,8.51407219395947,NA,7.3712482327108,NA,6.46405963529043,8.51407219395947,"Group4"
"Cell10",NA,NA,NA,NA,8.74205249005569,7.70684497699849,8.08047426031318,7.20129540288367,8.55335161517415,8.53745274008337,NA,8.36801300719392,8.0583611441044,NA,6.91172487971414,9.14492466100637,5.6555821388307,NA,NA,6.71373381137551,8.7661282606744,NA,9.39920093684871,7.76261592858993,NA,NA,NA,NA,8.71756811322687,NA,5.36261147681101,6.36312568143522,NA,7.42516968548675,NA,7.49268776130229,8.20143918097714,9.06400035269479,NA,6.87424092451201,6.86152668034555,7.85531005699286,NA,NA,7.74887400707015,8.57687615987477,9.81150235530602,8.29896508365357,6.83575702686142,NA,7.90572128522377,7.73499993155603,8.21149384404995,NA,7.41650334100969,4.6249599912643,8.68906750112902,NA,NA,7.92418043329639,NA,NA,NA,8.83928073897563,7.58064935703749,8.73509925192864,7.20129540288367,8.67460323869896,5.97177478166597,6.59586300621472,8.29424223284303,8.43819438283493,NA,NA,5.08485929848476,NA,NA,9.54548071345986,NA,NA,NA,7.7694381136968,NA,7.98405897196171,8.48453695418107,NA,NA,5.62581730455063,8.73858005998155,7.36338271503645,NA,9.10772409043457,NA,8.48867702309344,8.82297787667113,NA,9.12378479051891,7.30823114740512,NA,NA,NA,9.19392419118847,9.00741366150634,7.05262011198765,NA,7.17070092081174,NA,NA,7.37237309460261,NA,NA,8.18111715729215,8.19638544879137,7.43378428148097,7.70684497699849,NA,7.89328265403506,NA,9.01029633417811,5.7688561107129,7.00716694001871,NA,8.59234875081238,NA,8.12902328545581,NA,7.61135080854706,NA,6.01833877447285,7.39901289330735,NA,NA,NA,8.03023441798423,NA,6.9838918112532,8.37697466791442,NA,8.8164047960451,7.89328265403506,NA,NA,8.52943711248281,NA,8.95451564211171,6.62624577022438,6.86152668034555,9.00163097865742,9.620973800245,7.5728708114238,7.82288442579988,NA,NA,8.63779512146728,7.05262011198765,NA,NA,8.0583611441044,7.52529767762139,NA,NA,7.41650334100969,NA,NA,8.28474989400492,6.80951868719849,7.64141250474645,NA,7.67812960874577,8.0188283699032,8.79650393479326,9.21906013489982,8.09140500043635,NA,6.51698300553248,9.8840171637678,NA,NA,6.46749820915284,7.45086067448439,NA,7.23125453395641,NA,9.64713834664188,NA,8.75585923090837,NA,NA,9.13703346538334,8.4594439003313,NA,7.45086067448439,8.08594998259668,8.4122747967703,8.72109142498855,NA,7.08579422105501,NA,6.76924413878855,9.30138779931583,"Group3"
